阿尔巴尼亚,a'er'ba'ni'ya
阿尔及利亚,a'er'ji'li'ya
阿富汗,a'fu'han
阿根廷,a'gen'ting
阿拉伯联合酋长国,a'la'bo'lian'he'qiu'chang'guo
阿曼,a'man
阿塞拜疆,a'sai'bai'jiang
阿森松,a'sen'song
爱尔兰,ai'er'lan
埃及,ai'ji
埃塞俄比亚,ai'sai'e'bi'ya
爱沙尼亚,ai'sha'ni'ya
安道尔共和国,an'dao'er'gong'he'guo
安哥拉,an'ge'la
安圭拉岛,an'gui'la'dao
安提瓜和巴布达,an'ti'gua'he'ba'bu'da
澳大利亚,ao'da'li'ya
奥地利,ao'di'li
澳门,ao'men
巴巴多斯,ba'ba'duo'si
巴布亚新几内亚,ba'bu'ya'xin'ji'nei'ya
巴哈马,ba'ha'ma
巴基斯坦,ba'ji'si'tan
巴拉圭,ba'la'gui
巴林,ba'lin
巴拿马,ba'na'ma
巴西,ba'xi
白俄罗斯,bai'e'luo'si
百慕大群岛,bai'mu'da'qun'dao
保加利亚,bao'jia'li'ya
贝宁,bei'ning
比利时,bi'li'shi
秘鲁,bi'lu
冰岛,bing'dao
博茨瓦纳,bo'ci'wa'na
波多黎各,bo'duo'li'ge
波兰,bo'lan
伯利兹,bo'li'ci
玻利维亚,bo'li'wei'ya
布基纳法索,bu'ji'na'fa'suo
布隆迪,bu'long'di
朝鲜,chao'xian
丹麦,dan'mai
德国,de'guo
东萨摩亚美,dong'sa'mo'ya'mei
多哥,duo'ge
多米尼加共和国,duo'mi'ni'jia'gong'he'guo
厄瓜多尔,e'gua'duo'er
俄罗斯,e'luo'si
法国,fa'guo
法属玻利尼西亚,fa'shu'bo'li'ni'xi'ya
法属圭亚那,fa'shu'gui'ya'na
斐济,fei'ji
菲律宾,fei'lv'bin
芬兰,fen'lan
冈比亚,gang'bi'ya
刚果,gang'guo
格林纳达,ge'lin'na'da
格鲁吉亚,ge'lu'ji'ya
哥伦比亚,ge'lun'bi'ya
哥斯达黎加,ge'si'da'li'jia
古巴,gu'ba
关岛,guan'dao
圭亚那,gui'ya'na
哈萨克斯坦,ha'sa'ke'si'tan
海地,hai'di
韩国,han'guo
荷兰,he'lan
