阿波罗,a'bo'luo
阿布,a'bu
阿布罗迪,a'bu'luo'di
阿尔忒密斯,a'er'te'mi'si
阿尔忒弥斯,a'er'te'mi'si
阿芙罗狄忒,a'fu'luo'di'te
阿格隆,a'ge'long
阿格龙河神谷浩史,a'ge'long'he'shen'gu'hao'shi
阿考鲁巴多,a'kao'lu'ba'duo
阿赖耶识,a'lai'ye'shi
阿鲁贝利希,a'lu'bei'li'xi
阿鲁迪巴,a'lu'di'ba
阿路拉乌娜,a'lu'la'wu'na
阿瑞斯,a'rui'si
阿释密达,a'shi'mi'da
艾奥里奥,ai'ao'li'ao
艾奥里亚,ai'ao'li'ya
埃丁风潮粉碎拳,ai'ding'feng'chao'fen'sui'quan
艾俄洛斯,ai'e'luo'si
艾尔扎克,ai'er'zha'ke
爱丽丝,ai'li'si
艾欧里亚,ai'ou'li'ya
艾欧罗斯,ai'ou'luo'si
艾撒,ai'sa
艾沙,ai'sha
爱神,ai'shen
艾丝美拉达,ai'si'mei'la'da
艾丝特,ai'si'te
艾文斯,ai'wen'si
艾亚哥斯,ai'ya'ge'si
暗黑白鸟,an'hei'bai'niao
暗黑吹雪,an'hei'chui'xue
暗黑凤凰,an'hei'feng'huang
暗黑凤凰幻魔拳,an'hei'feng'huang'huan'mo'quan
暗黑流星拳,an'hei'liu'xing'quan
暗黑圣斗士,an'hei'sheng'dou'shi
暗黑天龙,an'hei'tian'long
暗黑天马,an'hei'tian'ma
暗黑仙女,an'hei'xian'nv
奥丁神剑,ao'ding'shen'jian
奥丁神圣衣,ao'ding'shen'sheng'yi
奥路菲斯,ao'lu'fei'si
巴比隆,ba'bi'long
巴比伦,ba'bi'lun
巴多,ba'duo
巴路隆,ba'lu'long
拜安,bai'an
柏顿,bai'dun
白鲸超鲛拳,bai'jing'chao'jiao'quan
百惊虎吼拳,bai'jing'hu'hou'quan
白玫瑰,bai'mei'gui
白鸟星座圣斗士,bai'niao'xing'zuo'sheng'dou'shi
百万幽灵拳,bai'wan'you'ling'quan
白杨,bai'yang
白羊宫,bai'yang'gong
白羊座,bai'yang'zuo
白银圣斗士,bai'yin'sheng'dou'shi
半人马座,ban'ren'ma'zuo
宝瓶座,bao'ping'zuo
北冰洋,bei'bing'yang
北大西洋,bei'da'xi'yang
北极星,bei'ji'xing
北冕座,bei'mian'zuo
北欧,bei'ou
比尼特那协米伊美,bi'ni'te'na'xie'mi'yi'mei
变色龙座,bian'se'long'zuo
冰河,bing'he
冰凌柩,bing'ling'jiu
波江座,bo'jiang'zuo
波塞冬,bo'se'dong
波塞冬神殿,bo'se'dong'shen'dian
参谋长,can'mou'zhang
苍蝇座,cang'ying'zuo
草尾毅,cao'wei'yi
曾我部和恭,ceng'wo'bu'he'gong
豺狼座,chai'lang'zuo
柴田秀胜,chai'tian'xiu'sheng
柴田由美子,chai'tian'you'mei'zi
长蛇座,chang'she'zuo
超能烈焰拳,chao'neng'lie'yan'quan
辰巳德丸,chen'si'de'wan
城户纱织,cheng'hu'sha'zhi
池田秀一,chi'tian'xiu'yi
处女宫,chu'nv'gong
川村万梨阿,chuan'cun'wan'li'a
川岛千代子,chuan'dao'qian'dai'zi
船底座,chuan'di'zuo
船帆座,chuan'fan'zuo
船尾座,chuan'wei'zuo
春丽,chun'li
大斧粉碎,da'fu'fen'sui
大力神巨风拳,da'li'shen'ju'feng'quan
达拿都斯,da'na'dou'si
大犬座,da'quan'zuo
大熊高吊,da'xiong'gao'diao
大熊座,da'xiong'zuo
大冢芳忠,da'zhong'fang'zhong
大冢明夫,da'zhong'ming'fu
道格拉斯,dao'ge'la'si
岛田敏,dao'tian'min
德多里比托路,de'duo'li'bi'tuo'lu
德尔鲁,de'er'lu
德里密,de'li'mi
德墨忒尔,de'mo'te'er
德伊普,de'yi'pu
地走星,de'zou'xing
登第,deng'di
地暗星,di'an'xing
狄奥,di'ao
第八感,di'ba'gan
地暴星,di'bao'xing
迪布,di'bu
地察星,di'cha'xing
地猖星,di'chang'xing
狄迪斯,di'di'si
地短星,di'duan'xing
狄俄尼索斯,di'e'ni'suo'si
地恶星,di'e'xing
地飞星,di'fei'xing
地辅星,di'fu'xing
地伏星,di'fu'xing
地狗星,di'gou'xing
地孤星,di'gu'xing
地阖星,di'he'xing
地会星,di'hui'xing
地慧星,di'hui'xing
地魂星,di'hun'xing
地羁星,di'ji'xing
地健星,di'jian'xing
地犟星,di'jiang'xing
地角星,di'jiao'xing
地捷星,di'jie'xing
地杰星,di'jie'xing
地进星,di'jin'xing
第九感,di'jiu'gan
地俊星,di'jun'xing
地空星,di'kong'xing
地狂星,di'kuang'xing
地魁星,di'kui'xing
地乐星,di'le'xing
地理星,di'li'xing
地劣星,di'lie'xing
地灵星,di'ling'xing
第六感,di'liu'gan
地满星,di'man'xing
地猛星,di'meng'xing
地明星,di'ming'xing
地魔星,di'mo'xing
地默星,di'mo'xing
地奴星,di'nu'xing
地辟星,di'pi'xing
地僻星,di'pi'xing
地平星,di'ping'xing
第七感,di'qi'gan
地奇星,di'qi'xing
地戚星,di'qi'xing
地巧星,di'qiao'xing
地囚星,di'qiu'xing
地全星,di'quan'xing
地煞星,di'sha'xing
地兽星,di'shou'xing
地数星,di'shu'xing
迪斯,di'si
迪斯马斯克,di'si'ma'si'ke
地速星,di'su'xing
地遂星,di'sui'xing
地损星,di'sun'xing
地退星,di'tui'xing
