阿波罗,a'bo'luo
阿尔戈小英雄,a'er'ge'xiao'ying'xiong
阿伊莎,a'yi'sha
矮人,ai'ren
艾丝,ai'si
艾丝华伦斯坦,ai'si'hua'lun'si'tan
埃伊娜,ai'yi'na
埃伊娜祖尔,ai'yi'na'zu'er
奥塔,ao'ta
八咫白鸟,ba'zhi'bai'niao
八咫黑鸟,ba'zhi'hei'niao
半兽人群,ban'shou'ren'qun
贝尔,bei'er
贝尔克朗尼,bei'er'ke'lang'ni
北街的天灾,bei'jie'de'tian'zai
伯特罗加,bo'te'luo'jia
布都御魂,bu'dou'yu'hun
不冷,bu'leng
残雪,can'xue
处女神,chu'nv'shen
大反攻,da'fan'gong
大和命,da'he'ming
大切断,da'qie'duan
大热斗,da're'dou
大森藤野,da'sen'teng'ye
大西沙织,da'xi'sha'zhi
地下城,di'xia'cheng
东云,dong'yun
都市最强魔导师,du'shi'zui'qiang'mo'dao'shi
独眼的巨师,du'yan'de'ju'shi
蕃茄小子,fan'qie'xiao'zi
反曲刀,fan'qu'dao
芬恩丹纳,fen'en'dan'na
愤化招乱,fen'hua'zhao'luan
风灵疾走,feng'ling'ji'zou
芙蕾雅,fu'lei'ya
弗洛斯维尔特,fu'luo'si'wei'er'te
冈本信彦,gang'ben'xin'yan
赫菲斯托丝,he'fei'si'tuo'si
赫斯缇雅,he'si'ti'ya
赫斯缇雅之刃,he'si'ti'ya'zhi'ren
户松遥,hu'song'yao
弧状射线,hu'zhuang'she'xian
华伦某某君,hua'lun'mou'mou'jun
灰姑娘变身,hui'gu'niang'bian'shen
火焰伏特,huo'yan'fu'te
疾风,ji'feng
加雷斯兰德罗克,jia'lei'si'lan'de'luo'ke
迦尼萨眷族,jia'ni'sa'juan'zu
剑姬,jian'ji
建御雷,jian'yu'lei
精灵之环,jing'ling'zhi'huan
精愈,jing'yu
久保由利香,jiu'bao'you'li'xiang
九魔姬,jiu'mo'ji
巨乳萝莉,ju'ru'luo'li
眷族,juan'zu
绝望之剑,jue'wang'zhi'jian
绝影,jue'ying
克洛佐的魔剑,ke'luo'zuo'de'mo'jian
克罗佐之血,ke'luo'zuo'zhi'xue
狂化招乱,kuang'hua'zhao'luan
狂喜芬布尔之冬,kuang'xi'fen'bu'er'zhi'dong
蓝色丝带,lan'se'si'dai
狼人,lang'ren
蕾菲亚维里德丝,lei'fei'ya'wei'li'de'si
雷瓦汀,lei'wa'ting
莉莉,li'li
莉莉露卡厄德,li'li'lu'ka'e'de
里维莉雅,li'wei'li'ya
里维莉亚琉斯奥尔维,li'wei'li'ya'liu'si'ao'er'wei
连击火枪,lian'ji'huo'qiang
猎人,lie'ren
琉利昂,liu'li'ang
洛基,luo'ji
洛基眷族,luo'ji'juan'zu
萝莉神,luo'li'shen
冒险者,mao'xian'zhe
美之女神,mei'zhi'nv'shen
猛牛杀手,meng'niu'sha'shou
猛者,meng'zhe
迷宫都市,mi'gong'du'shi
米诺陶洛斯,mi'nuo'tao'luo'si
魔导师,mo'dao'shi
魔剑,mo'jian
魔杖,mo'zhang
幕后功臣,mu'hou'gong'chen
内田真礼,nei'tian'zhen'li
牛若丸,niu'ruo'wan
牛若丸贰式,niu'ruo'wan'er'shi
怒蛇,nu'she
女剑士,nv'jian'shi
女神,nv'shen
欧拉丽,ou'la'li
破坏狂,po'huai'kuang
千之精灵,qian'zhi'jing'ling
犬族兽人,quan'zu'shou'ren
日笠阳子,ri'li'yang'zi
三条乃春姬,san'tiao'nai'chun'ji
上神,shang'shen
上神大人,shang'shen'da'ren
神酒,shen'jiu
世界最快兔子,shi'jie'zui'kuai'tu'zi
石上静香,shi'shang'jing'xiang
水濑祈,shui'lai'qi
思慕之情,si'mu'zhi'qing
松冈祯丞,song'gang'zhen'cheng
苏摩眷族,su'mo'juan'zu
缇欧娜席琉提,ti'ou'na'xi'liu'ti
缇欧涅席琉提,ti'ou'nie'xi'liu'ti
天界的锻造神匠,tian'jie'de'duan'zao'shen'jiang
万宝槌,wan'bao'chui
韦尔夫克洛佐,wei'er'fu'ke'luo'zuo
未完新人,wei'wan'xin'ren
乌尔加,wu'er'jia
无形鬼火,wu'xing'gui'huo
希儿福罗瓦,xi'er'fu'luo'wa
细谷佳正,xi'gu'jia'zheng
仙精,xian'jing
小弩炮,xiao'nu'pao
小人族,xiao'ren'zu
幸运,xing'yun
凶狼,xiong'lang
凶猛之魔枪,xiong'meng'zhi'mo'qiang
亚马逊,ya'ma'xun
妖精王族,yao'jing'wang'zu
妖精追奏,yao'jing'zhui'zou
耶梦加得,ye'meng'jia'de
异常抗性,yi'chang'kang'xing
伊丝塔,yi'si'ta
一心憧憬,yi'xin'chong'jing
勇者,yong'zhe
在地下城邂逅迷人女主角,zai'di'xia'cheng'xie'hou'mi'ren'nv'zhu'jue
早见沙织,zao'jian'sha'zhi
炸薯球,zha'shu'qiu
战斧,zhan'fu
支援者,zhi'yuan'zhe
重杰,zhong'jie
宙斯,zhou'si
