埃洛石,ai'luo'shi
白榴石,bai'liu'shi
白铅矿,bai'qian'kuang
白铁矿,bai'tie'kuang
白钨矿,bai'wu'kuang
白云母,bai'yun'mu
白云石,bai'yun'shi
板硫锑铅矿,ban'liu'ti'qian'kuang
斑铜矿,ban'tong'kuang
包头矿,bao'tou'kuang
钡沸石,bei'fei'shi
铋华,bi'hua
铋镍碲钯矿,bi'nie'di'ba'kuang
碧玺,bi'xi
冰长石,bing'chang'shi
彩碧玺,cai'bi'xi
车轮矿,che'lun'kuang
辰砂,chen'sha
赤铁矿,chi'tie'kuang
赤铜矿,chi'tong'kuang
磁赤铁矿,ci'chi'tie'kuang
雌黄,ci'huang
磁黄铁矿,ci'huang'tie'kuang
磁铁矿,ci'tie'kuang
次透辉石,ci'tou'hui'shi
脆硫锑铅矿,cui'liu'ti'qian'kuang
脆硫锑银铅矿,cui'liu'ti'yin'qian'kuang
脆银矿,cui'yin'kuang
脆云母,cui'yun'mu
大隅石,da'yu'shi
蛋白石,dan'bai'shi
淡红银矿,dan'hong'yin'kuang
单斜辉石,dan'xie'hui'shi
碲铋矿,di'bi'kuang
碲铋银矿,di'bi'yin'kuang
迪尔石,di'er'shi
碲金矿,di'jin'kuang
碲金银矿,di'jin'yin'kuang
地开石,di'kai'shi
碲镍矿,di'nie'kuang
碲银矿,di'yin'kuang
电气石,dian'qi'shi
独居石,du'ju'shi
毒砂,du'sha
多硅白云母,duo'gui'bai'yun'mu
方碲金矿,fang'di'jin'kuang
方沸石,fang'fei'shi
方钴矿,fang'gu'kuang
方黄铜矿,fang'huang'tong'kuang
方解石,fang'jie'shi
方硫铁镍矿,fang'liu'tie'nie'kuang
方镁矿,fang'mei'kuang
方铅矿,fang'qian'kuang
方石英,fang'shi'ying
方铁矿,fang'tie'kuang
方黝锡矿,fang'you'xi'kuang
方柱石,fang'zhu'shi
粉晶,fen'jing
富钙铀矿,fu'gai'you'kuang
符山石,fu'shan'shi
氟碳钙铈矿,fu'tan'gai'shi'kuang
氟碳铈矿,fu'tan'shi'kuang
钙长石,gai'chang'shi
钙铝榴石,gai'lv'liu'shi
钙镁橄榄石,gai'mei'gan'lan'shi
钙十字沸石,gai'shi'zi'fei'shi
钙钛铌矿,gai'tai'ni'kuang
钙铁辉石,gai'tie'hui'shi
钙铁榴石,gai'tie'liu'shi
钙霞石,gai'xia'shi
钙铀矿,gai'you'kuang
钙铀云母,gai'you'yun'mu
钙质角闪石,gai'zhi'jiao'shan'shi
杆沸石,gan'fei'shi
橄榄石,gan'lan'shi
刚玉,gang'yu
高岭土,gao'ling'tu
锆石,gao'shi
铬尖晶石,ge'jian'jing'shi
铬铁矿,ge'tie'kuang
铬云母,ge'yun'mu
更长石,geng'chang'shi
古铜辉石,gu'tong'hui'shi
钴土,gu'tu
硅钙石,gui'gai'shi
贵橄榄石,gui'gan'lan'shi
硅灰石,gui'hui'shi
硅孔雀石,gui'kong'que'shi
海绿石,hai'lv'shi
赫碲铋矿,he'di'bi'kuang
褐帘石,he'lian'shi
褐锰矿,he'meng'kuang
褐钇铌矿,he'yi'ni'kuang
黑辰砂,hei'chen'sha
黑锰矿,hei'meng'kuang
黑铜矿,hei'tong'kuang
黑钨矿,hei'wu'kuang
黑稀金矿,hei'xi'jin'kuang
黑硬绿泥石,hei'ying'lv'ni'shi
黑云母,hei'yun'mu
黑柱矿,hei'zhu'kuang
红帘石,hong'lian'shi
红铅铀矿,hong'qian'you'kuang
红砷镍矿,hong'shen'nie'kuang
红锑矿,hong'ti'kuang
红锑镍矿,hong'ti'nie'kuang
红锌矿,hong'xin'kuang
红柱石,hong'zhu'shi
化石,hua'shi
黄长石,huang'chang'shi
黄钾铁矾,huang'jia'tie'fan
黄晶,huang'jing
黄铁矿,huang'tie'kuang
黄银矿,huang'yin'kuang
黄玉,huang'yu
辉铋矿,hui'bi'kuang
辉铋银铅矿,hui'bi'yin'qian'kuang
辉沸石,hui'fei'shi
辉钴矿,hui'gu'kuang
灰硅钙石,hui'gui'gai'shi
灰硫砷铅矿,hui'liu'shen'qian'kuang
辉钼矿,hui'mu'kuang
辉砷钴矿,hui'shen'gu'kuang
辉砷镍矿,hui'shen'nie'kuang
辉石,hui'shi
辉锑矿,hui'ti'kuang
辉锑铅矿,hui'ti'qian'kuang
辉锑铅银矿,hui'ti'qian'yin'kuang
辉锑银矿,hui'ti'yin'kuang
辉铁锑矿,hui'tie'ti'kuang
辉铜矿,hui'tong'kuang
辉银矿,hui'yin'kuang
珲春矿,hun'chun'kuang
火硫锑银矿,huo'liu'ti'yin'kuang
火山玻璃,huo'shan'bo'li
钾长石,jia'chang'shi
假蓝宝石,jia'lan'bao'shi
钾霞石,jia'xia'shi
尖晶石,jian'jing'shi
碱性长石,jian'xing'chang'shi
交沸石,jiao'fei'shi
胶磷矿,jiao'lin'kuang
胶岭石,jiao'ling'shi
胶铝矿,jiao'lv'kuang
角闪石,jiao'shan'shi
金刚石,jin'gang'shi
金红石,jin'hong'shi
堇青石,jin'qing'shi
金银矿,jin'yin'kuang
金云母,jin'yun'mu
镜铁矿,jing'tie'kuang
晶质铀矿,jing'zhi'you'kuang
韭闪石,jiu'shan'shi
绢石,juan'shi
绢云母,juan'yun'mu
柯石英,ke'shi'ying
空晶石,kong'jing'shi
孔雀石,kong'que'shi
块硫砷铜矿,kuai'liu'shen'tong'kuang
块硫锑铜矿,kuai'liu'ti'tong'kuang
拉长石,la'chang'shi
蓝辉铜矿,lan'hui'tong'kuang
蓝晶石,lan'jing'shi
蓝闪石,lan'shan'shi
蓝铜矿,lan'tong'kuang
蓝线石,lan'xian'shi
锂电气石,li'dian'qi'shi
粒硅钙石,li'gui'gai'shi
锂辉石,li'hui'shi
沥青,li'qing
沥青铀矿,li'qing'you'kuang
利蛇纹石,li'she'wen'shi
磷灰石,lin'hui'shi
磷氯铅矿,lin'lv'qian'kuang
鳞石英,lin'shi'ying
菱沸石,ling'fei'shi
菱镁矿,ling'mei'kuang
菱铁矿,ling'tie'kuang
菱锌矿,ling'xin'kuang
硫铋铅矿,liu'bi'qian'kuang
硫铋铜矿,liu'bi'tong'kuang
硫铋铜银铅矿,liu'bi'tong'yin'qian'kuang
硫碲铋矿,liu'di'bi'kuang
硫镉矿,liu'ge'kuang
硫钴矿,liu'gu'kuang
硫锰矿,liu'meng'kuang
硫镍钴矿,liu'nie'gu'kuang
硫镍矿,liu'nie'kuang
硫砷铅矿,liu'shen'qian'kuang
硫砷铜矿,liu'shen'tong'kuang
硫砷铜银矿,liu'shen'tong'yin'kuang
硫锑铅矿,liu'ti'qian'kuang
硫锑铁矿,liu'ti'tie'kuang
硫锑铜银矿,liu'ti'tong'yin'kuang
硫铜钴矿,liu'tong'gu'kuang
硫铜锑矿,liu'tong'ti'kuang
硫锡铁铜矿,liu'xi'tie'tong'kuang
硫银铋矿,liu'yin'bi'kuang
硫银锡矿,liu'yin'xi'kuang
硫银锗矿,liu'yin'zhe'kuang
绿高岭石,lv'gao'ling'shi
铝硅酸盐,lv'gui'suan'yan
绿辉石,lv'hui'shi
绿帘石,lv'lian'shi
铝绿泥石,lv'lv'ni'shi
绿泥石,lv'ni'shi
氯铜矿,lv'tong'kuang
绿脱石,lv'tuo'shi
绿纤石,lv'xian'shi
铝直闪石,lv'zhi'shan'shi
马基诺矿,ma'ji'nuo'kuang
麦硫锑铅矿,mai'liu'ti'qian'kuang
毛矿,mao'kuang
镁橄榄石,mei'gan'lan'shi
镁黄长石,mei'huang'chang'shi
镁尖晶石,mei'jian'jing'shi
镁铝榴石,mei'lv'liu'shi
镁铁尖晶石,mei'tie'jian'jing'shi
镁铁闪石,mei'tie'shan'shi
锰钡矿,meng'bei'kuang
锰钾矿,meng'jia'kuang
锰尖晶石,meng'jian'jing'shi
锰铝榴石,meng'lv'liu'shi
蒙脱石,meng'tuo'shi
蒙皂石,meng'zao'shi
明矾石,ming'fan'shi
默硅镁钙石,mo'gui'mei'gai'shi
莫来石,mo'lai'shi
墨铜矿,mo'tong'kuang
钼华,mu'hua
钠长石,na'chang'shi
钠闪石,na'shan'shi
钠铁矾,na'tie'fan
钠铁闪石,na'tie'shan'shi
钠云母,na'yun'mu
囊脱石,nang'tuo'shi
霓石,ni'shi
