阿德默勒尔蒂群岛,a'de'mo'le'er'di'qun'dao
阿富汗,a'fu'han
阿富汗东南部,a'fu'han'dong'nan'bu
阿富汗塔吉克斯坦边境地区,a'fu'han'ta'ji'ke'si'tan'bian'jing'di'qu
阿富汗兴都库什地区,a'fu'han'xing'dou'ku'shen'di'qu
阿根廷,a'gen'ting
阿根廷圣胡安省,a'gen'ting'sheng'hu'an'sheng
阿森松岛以北,a'sen'song'dao'yi'bei
阿森松岛以北地区,a'sen'song'dao'yi'bei'di'qu
爱得华王子群岛地区,ai'de'hua'wang'zi'qun'dao'di'qu
爱琴海,ai'qin'hai
安达曼群岛,an'da'man'qun'dao
安达曼群岛地区,an'da'man'qun'dao'di'qu
安德烈亚诺夫群岛,an'de'lie'ya'nuo'fu'qun'dao
澳大利亚西北,ao'da'li'ya'xi'bei
奥克兰群岛地区,ao'ke'lan'qun'dao'di'qu
巴布亚新几内亚,ba'bu'ya'xin'ji'nei'ya
巴芬湾,ba'fen'wan
巴基斯坦,ba'ji'si'tan
巴拿马哥斯达黎加边境地区,ba'na'ma'ge'si'da'li'jia'bian'jing'di'qu
巴拿马以南,ba'na'ma'yi'nan
巴拿马以南地区,ba'na'ma'yi'nan'di'qu
巴士海峡,ba'shi'hai'xia
巴西西部,ba'xi'xi'bu
班达海,ban'da'hai
北苏门答腊西海岸远海,bei'su'men'da'la'xi'hai'an'yuan'hai
秘鲁北部,bi'lu'bei'bu
秘鲁北部沿岸近海,bi'lu'bei'bu'yan'an'jin'hai
秘鲁北部沿岸远海,bi'lu'bei'bu'yan'an'yuan'hai
秘鲁厄瓜多尔边境地区,bi'lu'e'gua'duo'er'bian'jing'di'qu
秘鲁沿岸近海,bi'lu'yan'an'jin'hai
俾斯麦海,bi'si'mai'hai
玻利维亚,bo'li'wei'ya
当特尔卡斯托群岛地区,dang'te'er'ka'si'tuo'qun'dao'di'qu
帝汶岛地区,di'wen'dao'di'qu
东俄罗斯东海岸近海,dong'e'luo'si'dong'hai'an'jin'hai
东南印度洋海岭,dong'nan'yin'du'yang'hai'ling
东太平洋海岭南部,dong'tai'ping'yang'hai'ling'nan'bu
东太平洋海岭中部,dong'tai'ping'yang'hai'ling'zhong'bu
多米尼加共和国地区,duo'mi'ni'jia'gong'he'guo'di'qu
厄瓜多尔,e'gua'duo'er
厄瓜多尔沿岸远海,e'gua'duo'er'yan'an'yuan'hai
鄂霍次克海,e'huo'ci'ke'hai
俄罗斯,e'luo'si
俄罗斯贝加尔湖地区,e'luo'si'bei'jia'er'hu'di'qu
俄罗斯东部中国东北边境地区,e'luo'si'dong'bu'zhong'guo'dong'bei'bian'jing'di'qu
俄罗斯萨哈林岛,e'luo'si'sa'ha'lin'dao
俄罗斯西伯利亚东部,e'luo'si'xi'bo'li'ya'dong'bu
俄罗斯西伯利亚东南部,e'luo'si'xi'bo'li'ya'dong'nan'bu
