阿们,a'men
阿摩司,a'mo'si
阿摩司书,a'mo'si'shu
阿尼色弗,a'ni'se'fu
安德烈,an'de'lie
暗利,an'li
安提帕,an'ti'pa
巴多罗买,ba'duo'luo'mai
巴拉巴,ba'la'ba
巴兰,ba'lan
巴撒巴,ba'sa'ba
巴沙,ba'sha
拔示巴,ba'shi'ba
百基拉,bai'ji'la
保罗,bao'luo
保守,bao'shou
本丢彼拉多,ben'diu'bi'la'duo
彼得,bi'de
彼得后书,bi'de'hou'shu
彼得前书,bi'de'qian'shu
比加,bi'jia
比加辖,bi'jia'xia
彼拉多,bi'la'duo
比撒列,bi'sa'lie
彼息氏,bi'xi'shi
便雅悯,bian'ya'min
伯大尼,bo'da'ni
部百流,bu'bai'liu
参孙,can'sun
出埃及记,chu'ai'ji'ji
传道书,chuan'dao'shu
创世记,chuang'shi'ji
大祭司,da'ji'si
大马色,da'ma'se
达太,da'tai
大坍,da'tan
大卫,da'wei
带领,dai'ling
但以理,dan'yi'li
但以理书,dan'yi'li'shu
祷告,dao'gao
底波拉,di'bo'la
底马,di'ma
底米丢,di'mi'diu
丢尼修,diu'ni'xiu
丢特腓,diu'te'fei
读经,du'jing
独一,du'yi
多加,duo'jia
多马,duo'ma
俄巴底亚,e'ba'di'ya
俄巴底亚书,e'ba'di'ya'shu
俄陀聂,e'tuo'nie
法利赛,fa'li'sai
非比,fei'bi
腓利,fei'li
腓力,fei'li
腓立比书,fei'li'bi'shu
腓利门,fei'li'men
腓利门书,fei'li'men'shu
腓力斯,fei'li'si
腓理徒,fei'li'tu
奋锐党,fen'rui'dang
奉主耶稣基督的名,feng'zhu'ye'su'ji'du'de'ming
福徒拿都,fu'tu'na'dou
该亚法,gai'ya'fa
该隐,gai'yin
干大基,gan'da'ji
革来氏,ge'lai'shi
革老丢,ge'lao'diu
歌利亚,ge'li'ya
哥林多后书,ge'lin'duo'hou'shu
哥林多前书,ge'lin'duo'qian'shu
革流巴,ge'liu'ba
歌罗西书,ge'luo'xi'shu
哥尼流,ge'ni'liu
古利奈,gu'li'nai
哈巴谷,ha'ba'gu
哈巴谷书,ha'ba'gu'shu
哈该,ha'gai
哈该书,ha'gai'shu
哈利路亚,ha'li'lu'ya
哈拿,ha'na
何西阿,he'xi'a
何西阿书,he'xi'a'shu
何西亚,he'xi'ya
户勒大,hu'le'da
基甸,ji'dian
基督,ji'du
基督耶稣,ji'du'ye'su
矶法,ji'fa
基哈西,ji'ha'xi
基利司布,ji'li'si'bu
迦得,jia'de
加拉太书,jia'la'tai'shu
迦流,jia'liu
加略,jia'lue
迦玛列,jia'ma'lie
降生,jiang'sheng
敬虔,jing'qian
救赎,jiu'shu
可拉,ke'la
喇合,la'he
拉结,la'jie
拉撒路,la'sa'lu
利百加,li'bai'jia
历代志上,li'dai'zhi'shang
历代志下,li'dai'zhi'xia
利未,li'wei
利未记,li'wei'ji
利亚,li'ya
列王纪上,lie'wang'ji'shang
列王纪下,lie'wang'ji'xia
流便,liu'bian
路得,lu'de
路得记,lu'de'ji
鲁孚,lu'fu
路加,lu'jia
路加福音,lu'jia'fu'yin
罗波安,luo'bo'an
罗大,luo'da
罗得,luo'de
罗马书,luo'ma'shu
罗以,luo'yi
吕底亚,lv'di'ya
吕西亚,lv'xi'ya
马大,ma'da
马可,ma'ke
马可福音,ma'ke'fu'yin
玛拉基,ma'la'ji
玛拉基书,ma'la'ji'shu
马勒古,ma'le'gu
马利亚,ma'li'ya
玛拿西,ma'na'xi
马太,ma'tai
马太福音,ma'tai'fu'yin
马提亚,ma'ti'ya
麦基洗德,mai'ji'xi'de
米非波设,mi'fei'bo'she
米该雅,mi'gai'ya
弥迦,mi'jia
米甲,mi'jia
弥迦书,mi'jia'shu
米利暗,mi'li'an
米拿现,mi'na'xian
民数记,min'shu'ji
抹大拉,mo'da'la
末底改,mo'di'gai
摩西,mo'xi
拿伯,na'bo
拿答,na'da
拿单,na'dan
拿俄米,na'e'mi
拿弗他利,na'fu'ta'li
那鸿,na'hong
那鸿书,na'hong'shu
拿撒勒,na'sa'le
尼哥底母,ni'ge'di'mu
尼迦挪,ni'jia'nuo
尼希米,ni'xi'mi
尼希米记,ni'xi'mi'ji
尼西母,ni'xi'mu
挪亚,nuo'ya
启示,qi'shi
启示录,qi'shi'lu
虔诚,qian'cheng
人巴拿巴,ren'ba'na'ba
撒非喇,sa'fei'la
撒该,sa'gai
撒加利亚,sa'jia'li'ya
撒迦利亚,sa'jia'li'ya
撒迦利亚书,sa'jia'li'ya'shu
撒拉,sa'la
撒罗米,sa'luo'mi
撒母耳,sa'mu'er
撒母耳记上,sa'mu'er'ji'shang
撒母耳记下,sa'mu'er'ji'xia
三位一体,san'wei'yi'ti
三一,san'yi
扫罗,sao'luo
沙得拉,sha'de'la
沙龙,sha'long
上帝,shang'di
赦免,she'mian
申命记,shen'ming'ji
审判,shen'pan
圣父,sheng'fu
圣灵,sheng'ling
圣子,sheng'zi
士基瓦,shi'ji'wa
诗篇,shi'pian
