阿道夫,a'dao'fu
阿尔弗雷德,a'er'fu'lei'de
阿尔杰,a'er'jie
阿尔娃,a'er'wa
阿尔瓦,a'er'wa
阿尔文,a'er'wen
阿芙拉,a'fu'la
阿加莎,a'jia'sha
阿蜜莉,a'mi'li
阿蜜莉雅,a'mi'li'ya
阿姆斯特丹,a'mu'si'te'dan
阿娜丝塔,a'na'si'ta
阿诺,a'nuo
阿诺德,a'nuo'de
阿普顿,a'pu'dun
阿奇柏,a'qi'bai
阿奇尔,a'qi'er
阿瑟,a'se
阿西娜,a'xi'na
艾比盖,ai'bi'gai
艾伯特,ai'bo'te
埃布尔,ai'bu'er
艾布纳,ai'bu'na
艾布特,ai'bu'te
埃达,ai'da
艾德,ai'de
爱德华,ai'de'hua
埃德加,ai'de'jia
爱得拉,ai'de'la
爱得莱德,ai'de'lai'de
艾德里安,ai'de'li'an
埃德蒙,ai'de'meng
埃德温,ai'de'wen
艾德文,ai'de'wen
艾德文娜,ai'de'wen'na
爱迪生,ai'di'sheng
艾狄生,ai'di'sheng
爱尔柏塔,ai'er'bai'ta
埃尔顿,ai'er'dun
埃尔罗伊,ai'er'luo'yi
爱尔玛,ai'er'ma
艾尔玛,ai'er'ma
爱尔莎,ai'er'sha
埃尔韦拉,ai'er'wei'la
埃尔维斯,ai'er'wei'si
艾凡,ai'fan
艾富里,ai'fu'li
爱格伯特,ai'ge'bo'te
爱葛妮丝,ai'ge'ni'si
埃拉,ai'la
艾勒,ai'le
爱勒贝拉,ai'le'bei'la
埃利奥特,ai'li'ao'te
艾丽卡,ai'li'ka
埃里克,ai'li'ke
艾利克,ai'li'ke
爱莉克希亚,ai'li'ke'xi'ya
埃利斯,ai'li'si
爱莉丝,ai'li'si
艾丽斯,ai'li'si
艾琳,ai'lin
艾琳娜,ai'lin'na
艾琳诺,ai'lin'nuo
艾略特,ai'lue'te
艾伦,ai'lun
埃玛,ai'ma
爱玛,ai'ma
爱曼纽,ai'man'niu
艾咪,ai'mi
埃米莉,ai'mi'li
艾娜,ai'na
艾谱莉,ai'pu'li
艾萨克,ai'sa'ke
艾丝翠得,ai'si'cui'de
艾丝特,ai'si'te
艾娃,ai'wa
艾薇,ai'wei
埃文,ai'wen
艾文,ai'wen
艾西,ai'xi
安得烈,an'de'lie
安德烈亚,an'de'lie'ya
安德鲁,an'de'lu
安迪,an'di
安东尼,an'dong'ni
安东尼奥,an'dong'ni'ao
安东妮儿,an'dong'ni'er
安东尼拉,an'dong'ni'la
安格斯,an'ge'si
安娜,an'na
安纳贝尔,an'na'bei'er
安妮,an'ni
安其罗,an'qi'luo
安斯艾尔,an'si'ai'er
安托万,an'tuo'wan
奥布里,ao'bu'li
奥德丽,ao'de'li
奥德里奇,ao'de'li'qi
奥蒂莉亚,ao'di'li'ya
奥蒂列特,ao'di'lie'te
奥狄斯,ao'di'si
奥尔瑟雅,ao'er'se'ya
奥菲莉亚,ao'fei'li'ya
奥格斯格,ao'ge'si'ge
奥古斯汀,ao'gu'si'ting
奥克塔薇,ao'ke'ta'wei
奥劳拉,ao'lao'la
奥利尔,ao'li'er
奥利佛,ao'li'fo
奥丽芙,ao'li'fu
奥利弗,ao'li'fu
奥丽薇亚,ao'li'wei'ya
奥玛,ao'ma
奥斯本,ao'si'ben
奥斯顿,ao'si'dun
奥斯卡,ao'si'ka
奥斯蒙,ao'si'meng
奥斯汀,ao'si'ting
奥斯维得,ao'si'wei'de
奥特,ao'te
芭芭拉,ba'ba'la
巴德,ba'de
巴顿,ba'dun
巴尔克,ba'er'ke
巴克,ba'ke
巴里,ba'li
巴里特,ba'li'te
巴伦,ba'lun
巴洛,ba'luo
巴奈特,ba'nai'te
巴萨罗穆,ba'sa'luo'mu
巴特,ba'te
巴特莱,ba'te'lai
巴泽尔,ba'ze'er
柏得温,bai'de'wen
拜尔德,bai'er'de
百丽,bai'li
拜伦,bai'lun
柏妮丝,bai'ni'si
柏莎,bai'sha
柏特莱姆,bai'te'lai'mu
柏宜斯,bai'yi'si
班杰明,ban'jie'ming
班克罗夫特,ban'ke'luo'fu'te
班奈特,ban'nai'te
班尼迪克,ban'ni'di'ke
班森,ban'sen
鲍伯,bao'bo
鲍里斯,bao'li'si
保罗,bao'luo
贝蒂,bei'di
贝芙丽,bei'fu'li
蓓姬,bei'ji
贝克,bei'ke
贝拉,bei'la
贝琳达,bei'lin'da
贝齐,bei'qi
贝丝,bei'si
本森,ben'sen
碧翠丝,bi'cui'si
彼得,bi'de
比尔,bi'er
比其尔,bi'qi'er
毕维斯,bi'wei'si
毕夏普,bi'xia'pu
比尤莱,bi'you'lai
波比,bo'bi
伯顿,bo'dun
波顿,bo'dun
博格,bo'ge
伯尼,bo'ni
伯骑士,bo'qi'shi
伯特,bo'te
波特,bo'te
波文,bo'wen
布德,bu'de
布拉德利,bu'la'de'li
布拉得里克,bu'la'de'li'ke
布莱恩,bu'lai'en
布莱尔,bu'lai'er
布莱克,bu'lai'ke
布莱兹,bu'lai'zi
布兰登,bu'lan'deng
布兰琪,bu'lan'qi
布兰特,bu'lan'te
布雷迪,bu'lei'di
布里奇特,bu'li'qi'te
布鲁克,bu'lu'ke
布鲁诺,bu'lu'nuo
布鲁斯,bu'lu'si
布伦达,bu'lun'da
布伦特,bu'lun'te
布尼尔,bu'ni'er
布兹,bu'zi
采尼,cai'ni
查德,cha'de
查尔斯,cha'er'si
翠丝特,cui'si'te
翠西,cui'xi
达尔西,da'er'xi
达莲娜,da'lian'na
达伦,da'lun
达内尔,da'nei'er
大卫,da'wei
黛安娜,dai'an'na
黛碧,dai'bi
黛儿,dai'er
黛芙妮,dai'fu'ni
戴里克,dai'li'ke
戴纳,dai'na
黛娜,dai'na
戴维,dai'wei
黛西,dai'xi
丹尼,dan'ni
丹尼尔,dan'ni'er
丹尼丝,dan'ni'si
丹尼斯,dan'ni'si
道格拉斯,dao'ge'la'si
德博拉,de'bo'la
德里克,de'li'ke
德维特,de'wei'te
得文,de'wen
邓肯,deng'ken
邓普斯,deng'pu'si
