按习惯速度装卸,an'xi'guan'su'du'zhuang'xie
板条箱,ban'tiao'xiang
包括理舱费在内的船上交货价,bao'kuo'li'cang'fei'zai'nei'de'chuan'shang'jiao'huo'jia
保税货物,bao'shui'huo'wu
保险费加运费价格,bao'xian'fei'jia'yun'fei'jia'ge
保险凭证,bao'xian'ping'zheng
不计免赔率,bu'ji'mian'pei'lv
差额,cha'e
差异,cha'yi
产地证明书,chan'di'zheng'ming'shu
成本加保费,cheng'ben'jia'bao'fei
成本加运费价格,cheng'ben'jia'yun'fei'jia'ge
承兑后若干天,cheng'dui'hou'ruo'gan'tian
承兑交单,cheng'dui'jiao'dan
承运人不负担装入货车费,cheng'yun'ren'bu'fu'dan'zhuang'ru'huo'che'fei
出口申报单,chu'kou'shen'bao'dan
船边交货价,chuan'bian'jiao'huo'jia
船舶互撞条款,chuan'bo'hu'zhuang'tiao'kuan
船方不负担装船费,chuan'fang'bu'fu'dan'zhuang'chuan'fei
船方不负担装卸费及理舱费,chuan'fang'bu'fu'dan'zhuang'xie'fei'ji'li'cang'fei
船公司,chuan'gong'si
错漏当查,cuo'lou'dang'cha
错漏当改,cuo'lou'dang'gai
错误当查,cuo'wu'dang'cha
错误当改,cuo'wu'dang'gai
单独海损,dan'du'hai'sun
淡水损失,dan'shui'sun'shi
订货时付款,ding'huo'shi'fu'kuan
恶劣气候损坏,e'lie'qi'hou'sun'huai
非整装箱货,fei'zheng'zhuang'xiang'huo
分损不赔,fen'sun'bu'pei
附单据,fu'dan'ju
付款交单,fu'kuan'jiao'dan
附证件,fu'zheng'jian
跟单汇单,gen'dan'hui'dan
共同海损,gong'tong'hai'sun
共同海损不赔,gong'tong'hai'sun'bu'pei
共同海损分摊额,gong'tong'hai'sun'fen'tan'e
公元前,gong'yuan'qian
钩损,gou'sun
光票,guang'piao
国际公路货物运输条约,guo'ji'gong'lu'huo'wu'yun'shu'tiao'yue
国际海事委员会,guo'ji'hai'shi'wei'yuan'hui
海区扩展条款,hai'qu'kuo'zhan'tiao'kuan
海上运输货物保险条款,hai'shang'yun'shu'huo'wu'bao'xian'tiao'kuan
海水损失,hai'shui'sun'shi
海洋运输货物条款,hai'yang'yun'shu'huo'wu'tiao'kuan
海运运输提单,hai'yun'yun'shu'ti'dan
汇票,hui'piao
火车上交货价,huo'che'shang'jiao'huo'jia
货运站,huo'yun'zhan
火灾保险单,huo'zai'bao'xian'dan
集装箱编号场,ji'zhuang'xiang'bian'hao'chang
集装箱堆场,ji'zhuang'xiang'dui'chang
集装箱中转站,ji'zhuang'xiang'zhong'zhuan'zhan
集装箱装箱单,ji'zhuang'xiang'zhuang'xiang'dan
见票后若干天付款,jian'piao'hou'ruo'gan'tian'fu'kuan
仅保战争险,jin'bao'zhan'zheng'xian
金衡盎司,jin'heng'ang'si
空舱费,kong'cang'fei
立方英尺,li'fang'ying'chi
联合运输单据,lian'he'yun'shu'dan'ju
联合运输经营人,lian'he'yun'shu'jing'ying'ren
联合运输提单,lian'he'yun'shu'ti'dan
领事发票,ling'shi'fa'piao
领事签证,ling'shi'qian'zheng
领事签证发票,ling'shi'qian'zheng'fa'piao
伦敦协会保险条款,lun'dun'xie'hui'bao'xian'tiao'kuan
码头交货,ma'tou'jiao'huo
码头内运输车,ma'tou'nei'yun'shu'che
免赔率,mian'pei'lv
目的地,mu'di'di
目的港,mu'di'gang
欧洲共同体,ou'zhou'gong'tong'ti
抛弃或落水损失,pao'qi'huo'luo'shui'sun'shi
碰撞条款,peng'zhuang'tiao'kuan
琵琶桶,pi'pa'tong
平安险,ping'an'xian
平板车装运集装箱,ping'ban'che'zhuang'yun'ji'zhuang'xiang
蒲式耳,pu'shi'er
上好可销品质,shang'hao'ke'xiao'pin'zhi
商会,shang'hui
商品目录,shang'pin'mu'lu
渗漏及破碎,shen'lou'ji'po'sui
誊本,teng'ben
提单,ti'dan
贴现票据,tie'xian'piao'ju
托收单据,tuo'shou'dan'ju
无限制性的转船,wu'xian'zhi'xing'de'zhuan'chuan
先付款后交单,xian'fu'kuan'hou'jiao'dan
新集装箱运输,xin'ji'zhuang'xiang'yun'shu
信托收据,xin'tuo'shou'ju
银行汇票,yin'hang'hui'piao
银行业务,yin'hang'ye'wu
佣金价格,yong'jin'jia'ge
油损,you'sun
预保单,yu'bao'dan
预计交货时间,yu'ji'jiao'huo'shi'jian
预计开装时间,yu'ji'kai'zhuang'shi'jian
预计离港时间,yu'ji'li'gang'shi'jian
预计卸完时间,yu'ji'xie'wan'shi'jian
预计装完时间,yu'ji'zhuang'wan'shi'jian
约克安特卫普规则,yue'ke'an'te'wei'pu'gui'ze
运费价,yun'fei'jia
运费加汇费的价格,yun'fei'jia'hui'fei'de'jia'ge
运费加利息的价格,yun'fei'jia'li'xi'de'jia'ge
载重吨,zai'zhong'dun
暂保单,zan'bao'dan
战争险,zhan'zheng'xian
战争险不保条款,zhan'zheng'xian'bu'bao'tiao'kuan
证明书,zheng'ming'shu
直达港口,zhi'da'gang'kou
中国商品检验局,zhong'guo'shang'pin'jian'yan'ju
转下,zhuan'xia
总括保险单,zong'kuo'bao'xian'dan
租船契约,zu'chuan'qi'yue
