百货大楼,bai'huo'da'lou
白马城,bai'ma'cheng
北村,bei'cun
北村北,bei'cun'bei
北方家园,bei'fang'jia'yuan
北区,bei'qu
北魏鹿苑,bei'wei'lu'yuan
北馨花园,bei'xin'hua'yuan
北榆涧,bei'yu'jian
玻璃厂,bo'li'chang
堡子湾,bu'zi'wan
操场城东,cao'chang'cheng'dong
操场城街,cao'chang'cheng'jie
长途汽车站,chang'tu'qi'che'zhan
长途新站,chang'tu'xin'zhan
长途站,chang'tu'zhan
厂西口,chang'xi'kou
车管所,che'guan'suo
陈庄,chen'zhuang
城区分局,cheng'qu'fen'ju
齿轮厂,chi'lun'chang
大北沟,da'bei'gou
大北门,da'bei'men
大斗沟,da'dou'gou
大南门,da'nan'men
大庆路,da'qing'lu
大沙沟桥,da'sha'gou'qiao
大十字,da'shi'zi
大唐路口,da'tang'lu'kou
大同宾馆,da'tong'bin'guan
大同大学,da'tong'da'xue
大同公园,da'tong'gong'yuan
大同机场,da'tong'ji'chang
大同生殖医院,da'tong'sheng'zhi'yi'yuan
大同师范,da'tong'shi'fan
大同职院,da'tong'zhi'yuan
大西机务段,da'xi'ji'wu'duan
大修厂,da'xiu'chang
大运路口,da'yun'lu'kou
电力技校,dian'li'ji'xiao
电视大楼,dian'shi'da'lou
东方罗马城,dong'fang'luo'ma'cheng
东风东街,dong'feng'dong'jie
东关,dong'guan
东井巷,dong'jing'xiang
东门,dong'men
东西大院,dong'xi'da'yuan
东肖河,dong'xiao'he
东信,dong'xin
二电厂,er'dian'chang
二工区,er'gong'qu
二机厂,er'ji'chang
二农机公司,er'nong'ji'gong'si
二区,er'qu
儿童公园,er'tong'gong'yuan
二医院,er'yi'yuan
凤凰城,feng'huang'cheng
福康里,fu'kang'li
富卓商城,fu'zhuo'shang'cheng
甘河村,gan'he'cun
甘河桥,gan'he'qiao
甘新河村,gan'xin'he'cun
钢厂,gang'chang
钢丝绳厂,gang'si'sheng'chang
高庄村,gao'zhuang'cun
高庄新村,gao'zhuang'xin'cun
公交二公司,gong'jiao'er'gong'si
工人俱乐部,gong'ren'ju'le'bu
公用局,gong'yong'ju
古店,gu'dian
鼓楼,gu'lou
孤山,gu'shan
观光园,guan'guang'yuan
观音堂,guan'yin'tang
海力村,hai'li'cun
郝家寺,hao'jia'si
和平街,he'ping'jie
恒泰陵园,heng'tai'ling'yuan
红旗广场,hong'qi'guang'chang
湖东机务段,hu'dong'ji'wu'duan
湖东生活区,hu'dong'sheng'huo'qu
化工厂,hua'gong'chang
华林超市,hua'lin'chao'shi
华林商厦,hua'lin'shang'sha
黄花街,huang'hua'jie
火车站,huo'che'zhan
机厂,ji'chang
机车厂,ji'che'chang
机车厂后门,ji'che'chang'hou'men
建材市场,jian'cai'shi'chang
姜家湾矿,jiang'jia'wan'kuang
教场街西口,jiao'chang'jie'xi'kou
焦化厂,jiao'hua'chang
交警二队,jiao'jing'er'dui
交警一队,jiao'jing'yi'dui
晋华宫,jin'hua'gong
金牛装饰城,jin'niu'zhuang'shi'cheng
金三环,jin'san'huan
金穗支行,jin'sui'zhi'hang
警校,jing'xiao
酒厂,jiu'chang
九龙壁,jiu'long'bi
九中,jiu'zhong
局前街,ju'qian'jie
