八角楼,ba'jiao'lou
百川报告厅,bai'chuan'bao'gao'ting
百川讲堂,bai'chuan'jiang'tang
百合山庄,bai'he'shan'zhuang
半导体技术学院,ban'dao'ti'ji'shu'xue'yuan
办公室,ban'gong'shi
报爷,bao'ye
北门,bei'men
北山生活区,bei'shan'sheng'huo'qu
苯环楼,ben'huan'lou
比特网络工作室,bi'te'wang'luo'gong'zuo'shi
伯川,bo'chuan
伯川书院,bo'chuan'shu'yuan
伯川图书馆,bo'chuan'tu'shu'guan
博留公寓,bo'liu'gong'yu
部长,bu'zhang
彩虹桥,cai'hong'qiao
材料馆,cai'liao'guan
材料科学与工程学部,cai'liao'ke'xue'yu'gong'cheng'xue'bu
常葆荣,chang'bao'rong
长春书院,chang'chun'shu'yuan
程耿东,cheng'geng'dong
城市规划系,cheng'shi'gui'hua'xi
城市学院,cheng'shi'xue'yuan
出观众,chu'guan'zhong
船舶工程学院,chuan'bo'gong'cheng'xue'yuan
船舶制造国家工程研究中心,chuan'bo'zhi'zao'guo'jia'gong'cheng'yan'jiu'zhong'xin
传媒部,chuan'mei'bu
创服,chuang'fu
创新实验学院,chuang'xin'shi'yan'xue'yuan
创新园大厦,chuang'xin'yuan'da'sha
大超,da'chao
大服楼,da'fu'lou
大工,da'gong
大黑楼,da'hei'lou
大黑山,da'hei'shan
大连大学工学院,da'lian'da'xue'gong'xue'yuan
大连工学院,da'lian'gong'xue'yuan
大连理工大学,da'lian'li'gong'da'xue
大连理工大学高级经理学院,da'lian'li'gong'da'xue'gao'ji'jing'li'xue'yuan
大连理工大学国家大学科技园,da'lian'li'gong'da'xue'guo'jia'da'xue'ke'ji'yuan
大连理工大学国家技术转移中心,da'lian'li'gong'da'xue'guo'jia'ji'shu'zhuan'yi'zhong'xin
大物,da'wu
大学生超市,da'xue'sheng'chao'shi
大学生创业服务中心,da'xue'sheng'chuang'ye'fu'wu'zhong'xin
电气工程学院,dian'qi'gong'cheng'xue'yuan
电子科学与技术学院,dian'zi'ke'xue'yu'ji'shu'xue'yuan
电子信息与电气工程学部,dian'zi'xin'xi'yu'dian'qi'gong'cheng'xue'bu
东财,dong'cai
东门,dong'men
段玉明,duan'yu'ming
饿了么,e'le'me
二馆,er'guan
副部,fu'bu
福合园,fu'he'yuan
福佳体育场,fu'jia'ti'yu'chang
服务科学与工程系,fu'wu'ke'xue'yu'gong'cheng'xi
负责人,fu'ze'ren
干事,gan'shi
高数,gao'shu
高占先,gao'zhan'xian
工程力学系,gong'cheng'li'xue'xi
公共管理与法学学院,gong'gong'guan'li'yu'fa'xue'xue'yuan
工商管理学院,gong'shang'guan'li'xue'yuan
工训中心,gong'xun'zhong'xin
工业设计系,gong'ye'she'ji'xi
管理科学与工程学院,guan'li'ke'xue'yu'gong'cheng'xue'yuan
管理与经济学部,guan'li'yu'jing'ji'xue'bu
郭东明,guo'dong'ming
国防教育学院,guo'fang'jiao'yu'xue'yuan
国际教育学院,guo'ji'jiao'yu'xue'yuan
国家示范性软件学院,guo'jia'shi'fan'xing'ruan'jian'xue'yuan
国教,guo'jiao
海岸和近海工程国家重点实验室,hai'an'he'jin'hai'gong'cheng'guo'jia'zhong'dian'shi'yan'shi
海纳百川,hai'na'bai'chuan
海事大学,hai'shi'da'xue
海洋科学与技术学院,hai'yang'ke'xue'yu'ji'shu'xue'yuan
航空航天学院,hang'kong'hang'tian'xue'yuan
好望角,hao'wang'jiao
合唱,he'chang
红十字会,hong'shi'zi'hui
弘远篮球场,hong'yuan'lan'qiu'chang
弘远网球场,hong'yuan'wang'qiu'chang
厚德笃学,hou'de'du'xue
侯毓汾,hou'yu'fen
侯中华,hou'zhong'hua
化工机械学院,hua'gong'ji'xie'xue'yuan
化工实验楼,hua'gong'shi'yan'lou
化工学院,hua'gong'xue'yuan
化工与环境生命学部,hua'gong'yu'huan'jing'sheng'ming'xue'bu
华为厅,hua'wei'ting
化学学院,hua'xue'xue'yuan
化综,hua'zong
环境学院,huan'jing'xue'yuan
活动,huo'dong
基础教学部,ji'chu'jiao'xue'bu
计算机科学与技术学院,ji'suan'ji'ke'xue'yu'ji'shu'xue'yuan
机械工程学院,ji'xie'gong'cheng'xue'yuan
机械工程与材料能源学部,ji'xie'gong'cheng'yu'cai'liao'neng'yuan'xue'bu
机械馆,ji'xie'guan
建馆,jian'guan
建设工程学部,jian'she'gong'cheng'xue'bu
建设管理系,jian'she'guan'li'xi
蹇锡高,jian'xi'gao
建筑系,jian'zhu'xi
建筑与艺术学院,jian'zhu'yu'yi'shu'xue'yuan
姜德学,jiang'de'xue
江湖,jiang'hu
讲坛部,jiang'tan'bu
蒋志刚,jiang'zhi'gang
交通运输学院,jiao'tong'yun'shu'xue'yuan
教育中心,jiao'yu'zhong'xin
锦屏山,jin'ping'shan
金同稷,jin'tong'ji
经济学院,jing'ji'xue'yuan
经理学院,jing'li'xue'yuan
精细化工国家重点实验室,jing'xi'hua'gong'guo'jia'zhong'dian'shi'yan'shi
开发区校区,kai'fa'qu'xiao'qu
科创部,ke'chuang'bu
科技实践部,ke'ji'shi'jian'bu
科技园大厦,ke'ji'yuan'da'sha
肯德基,ken'de'ji
控制科学与工程学院,kong'zhi'ke'xue'yu'gong'cheng'xue'yuan
雷天岳,lei'tian'yue
李成恩,li'cheng'en
理工宾馆,li'gong'bin'guan
理工附高,li'gong'fu'gao
李俊杰,li'jun'jie
理论研究会,li'lun'yan'jiu'hui
立命馆大学国际信息与软件学院,li'ming'guan'da'xue'guo'ji'xin'xi'yu'ruan'jian'xue'yuan
李一氓,li'yi'mang
李志义,li'zhi'yi
连理,lian'li
两组,liang'zu
辽宁省大连市甘井子区凌工路号,liao'ning'sheng'da'lian'shi'gan'jing'zi'qu'ling'gong'lu'hao
林安西,lin'an'xi
林皋,lin'gao
凌工路,ling'gong'lu
凌工路号,ling'gong'lu'hao
凌水超市,ling'shui'chao'shi
凌水河,ling'shui'he
令希大酒店,ling'xi'da'jiu'dian
令希书院,ling'xi'shu'yuan
令希图书馆,ling'xi'tu'shu'guan
刘长春体育场,liu'chang'chun'ti'yu'chang
六舍小广场,liu'she'xiao'guang'chang
六维,liu'wei
刘昱,liu'yu
卢中昌,lu'zhong'chang
吕振羽,lv'zhen'yu
