阿昭,a'zhao
白无相,bai'wu'xiang
白衣祸世,bai'yi'huo'shi
半月国,ban'yue'guo
北方武神,bei'fang'wu'shen
地师,di'shi
地师仪,di'shi'yi
东方武神,dong'fang'wu'shen
东南武神,dong'nan'wu'shen
厄命,e'ming
芳心国师,fang'xin'guo'shi
飞升四景,fei'sheng'si'jing
风师青玄,feng'shi'qing'xuan
风信,feng'xin
扶摇,fu'yao
公主自刎,gong'zhu'zi'wen
蛊城,gu'cheng
鬼界四害,gui'jie'si'hai
鬼市,gui'shi
鬼新郎,gui'xin'lang
黑水沉舟,hei'shui'chen'zhou
黑水玄鬼,hei'shui'xuan'gui
红衣鬼火烧文武三十三神庙,hong'yi'gui'huo'shao'wen'wu'san'shi'san'shen'miao
花城,hua'cheng
花冠武神,hua'guan'wu'shen
花花,hua'hua
花将军,hua'jiang'jun
花老三,hua'lao'san
花三郎,hua'san'lang
花谢,hua'xie
极乐坊,ji'yue'fang
将军折剑,jiang'jun'zhe'jian
俱阳殿,ju'yang'dian
巨阳殿,ju'yang'dian
绝境鬼王,jue'jing'gui'wang
君吾,jun'wu
刻磨,ke'mo
郎千秋,lang'qian'qiu
郎萤,lang'ying
怜怜,lian'lian
灵文,ling'wen
灵文殿,ling'wen'dian
灵文元君,ling'wen'yuan'jun
灵文真君,ling'wen'zhen'jun
明光,ming'guang
明光真君,ming'guang'zhen'jun
明仪,ming'yi
慕情,mu'qing
南风,nan'feng
南阳殿,nan'yang'dian
南阳将军,nan'yang'jiang'jun
你是人间正道你是世界中心,ni'shi'ren'jian'zheng'dao'ni'shi'shi'jie'zhong'xin
女鬼宣姬,nv'gui'xuan'ji
裴茗,pei'ming
裴宿,pei'su
菩荠,pu'ji
菩荠观,pu'ji'guan
奇英殿,qi'ying'dian
青灯夜游,qing'deng'ye'you
青鬼戚容,qing'gui'qi'rong
权一真,quan'yi'zhen
人面疫,ren'mian'yi
若邪,ruo'xie
若邪绫,ruo'xie'ling
三毒瘤,san'du'liu
三郎,san'lang
善月草,shan'yue'cao
少君倾酒,shao'jun'qing'jiu
神武大帝,shen'wu'da'di
神武殿,shen'wu'dian
身在无间心在桃源,shen'zai'wu'jian'xin'zai'tao'yuan
师青玄,shi'qing'xuan
水师,shui'shi
水师水横天,shui'shi'shui'heng'tian
水师无渡,shui'shi'wu'du
死灵蝶,si'ling'die
泰华殿,tai'hua'dian
太子谢怜,tai'zi'xie'lian
太子悦神,tai'zi'yue'shen
天生,tian'sheng
铜炉山,tong'lu'shan
土埋面,tu'mai'mian
弯刀厄命,wan'dao'e'ming
西方武神,xi'fang'wu'shen
西南武神,xi'nan'wu'shen
仙乐太子,xian'yue'tai'zi
相逢小店,xiang'feng'xiao'dian
小裴将军,xiao'pei'jiang'jun
小萤,xiao'ying
谢怜,xie'lian
蝎尾蛇,xie'wei'she
玄真殿,xuan'zhen'dian
玄真将军,xuan'zhen'jiang'jun
血洗鎏金宴,xue'xi'liu'jin'yan
血雨探花,xue'yu'tan'hua
引玉前任,yin'yu'qian'ren
永安太子,yong'an'tai'zi
与君山,yu'jun'shan
罪人坑,zui'ren'keng
