白冰,bai'bing
宝婕仪,bao'jie'yi
北朝,bei'chao
北朝离国公主,bei'chao'li'guo'gong'zhu
冰蓝纱,bing'lan'sha
采茵,cai'yin
常亨,chang'heng
陈众孚,chen'zhong'fu
成城,cheng'cheng
承恩,cheng'en
春香,chun'xiang
德顺,de'shun
丁凯,ding'kai
丁克勇,ding'ke'yong
丁一,ding'yi
丁子峻,ding'zi'jun
冬儿,dong'er
杜若,du'ruo
杜之初,du'zhi'chu
凤凰无双,feng'huang'wu'shuang
凤凰星,feng'huang'xing
凤凰星圣女,feng'huang'xing'sheng'nv
高冬雨,gao'dong'yu
高嫣,gao'yan
高洋,gao'yang
顾清鸿,gu'qing'hong
管轩,guan'xuan
鬼娇,gui'jiao
国君,guo'jun
郭怡然,guo'yi'ran
海波,hai'bo
韩与诺,han'yu'nuo
何建泽,he'jian'ze
何彦霓,he'yan'ni
胡洋,hu'yang
黄天崎,huang'tian'qi
纪泠希,ji'ling'xi
纪宁,ji'ning
季柔桑,ji'rou'sang
季峥,ji'zheng
姜宏波,jiang'hong'bo
娇童,jiao'tong
靳孟楠,jin'meng'nan
兰国,lan'guo
兰国皇后,lan'guo'huang'hou
兰国太后,lan'guo'tai'hou
郎月婷,lang'yue'ting
李公公,li'gong'gong
李果,li'guo
离国,li'guo
离国国君,li'guo'guo'jun
李俊豪,li'jun'hao
李政阳,li'zheng'yang
梁王,liang'wang
林公公,lin'gong'gong
林靖喆,lin'jing'zhe
凌嬷嬷,ling'mo'mo
刘佳,liu'jia
刘美含,liu'mei'han
刘亚迪,liu'ya'di
刘音,liu'yin
吕星辰,lv'xing'chen
马春瑞,ma'chun'rui
马进,ma'jin
缪夫人,miu'fu'ren
缪明鹄,miu'ming'hu
缪芊芊,miu'qian'qian
缪卫城,miu'wei'cheng
母其弥雅,mu'qi'mi'ya
南朝兰国皇帝,nan'chao'lan'guo'huang'di
南笙,nan'sheng
能量石,neng'liang'shi
聂无双,nie'wu'shuang
平行,ping'xing
倩美人,qian'mei'ren
清远,qing'yuan
秋子,qiu'zi
任婉婧,ren'wan'jing
荣梓杉,rong'zi'shan
柔芳,rou'fang
三皇子,san'huang'zi
邵晓江,shao'xiao'jiang
石敏,shi'min
石洋子,shi'yang'zi
淑妃,shu'fei
树先生,shu'xian'sheng
素绢,su'juan
苏克武,su'ke'wu
苏茂,su'mao
孙公公,sun'gong'gong
唐文琦,tang'wen'qi
天泪,tian'lei
宛美人,wan'mei'ren
王春,wang'chun
王丽坤,wang'li'kun
王全有,wang'quan'you
王僧辩,wang'seng'bian
王世杰,wang'shi'jie
王太后,wang'tai'hou
王田野,wang'tian'ye
王亭文,wang'ting'wen
王晓杰,wang'xiao'jie
王新民,wang'xin'min
吴德鑫,wu'de'xin
吴谨言,wu'jin'yan
夏兰,xia'lan
夏铭浩,xia'ming'hao
小凤溟,xiao'feng'ming
萧凤溟,xiao'feng'ming
萧凤青,xiao'feng'qing
小高嫣,xiao'gao'yan
小凰青,xiao'huang'qing
肖辉,xiao'hui
小金子,xiao'jin'zi
小芊芊,xiao'qian'qian
萧昱,xiao'yu
熊乃瑾,xiong'nai'jin
许还山,xu'huan'shan
许皇后,xu'huang'hou
徐薏雯,xu'yi'wen
薛壁,xue'bi
薛辉,xue'hui
雪珂,xue'ke
薛明义,xue'ming'yi
雅美人,ya'mei'ren
杨立达,yang'li'da
杨苏,yang'su
杨彤,yang'tong
杨直,yang'zhi
叶庭,ye'ting
拥抱月的太阳,yong'bao'yue'de'tai'yang
玉嫔,yu'pin
玉霄,yu'xiao
袁媛,yuan'yuan
月影,yue'ying
云妃,yun'fei
云乐,yun'le
张敏敏,zhang'min'min
张晓龙,zhang'xiao'long
赵恒,zhao'heng
赵科,zhao'ke
郑元畅,zheng'yuan'chang
周斌,zhou'bin
周宁,zhou'ning
周中和,zhou'zhong'he
朱泳腾,zhu'yong'teng
庄纯雁,zhuang'chun'yan
紫鹃,zi'juan
子琰,zi'yan
