板机,ban'ji
蹦喽,beng'lou
比吃货,bi'chi'huo
逼刀刀,bi'dao'dao
逼都,bi'dou
逼斗油子,bi'dou'you'zi
逼麻,bi'ma
拨拉,bo'la
拨来,bo'lai
不带老,bu'dai'lao
不机迷,bu'ji'mi
不赖,bu'lai
不起烂山,bu'qi'lan'shan
不起山,bu'qi'shan
不球行,bu'qiu'xing
不惜烂吃,bu'xi'lan'chi
不歇擦,bu'xie'ca
不咋地,bu'za'di
不杂地,bu'za'di
凑付,cou'fu
搓莽,cuo'mang
大圪节,da'ge'jie
搭伙计,da'huo'ji
逮货,dai'huo
带见,dai'jian
得脑,de'nao
跌把,die'ba
跌马马,die'ma'ma
多蛋,duo'dan
额们,e'men
二不楞,er'bu'leng
二竿子,er'gan'zi
干哈呀,gan'ha'ya
干甚了,gan'shen'le
圪蹴,ge'cu
咯撮打蛋,ge'cuo'da'dan
圪揽,ge'lan
圪牢牢,ge'lao'lao
个棱子,ge'leng'zi
割料,ge'liao
圪僚,ge'liao
哥溜拐弯,ge'liu'guai'wan
圪鲁子,ge'lu'zi
圪台台,ge'tai'tai
隔桃虫,ge'tao'chong
圪替魁,ge'ti'kui
圪姿,ge'zi
光眯俊眼儿,guang'mi'jun'yan'er
哈术,ha'shu
呵嘈唔烂,he'cao'wu'lan
合浪浪,he'lang'lang
黑糙烂五,hei'cao'lan'wu
黑眯洼脸,hei'mi'wa'lian
猴鸡圪缩,hou'ji'ge'suo
灰鬼,hui'gui
活撩,huo'liao
机米,ji'mi
绝板子,jue'ban'zi
绝死我咧,jue'si'wo'lie
砍川,kan'chuan
砍穿,kan'chuan
砍牛,kan'niu
拉黑牛,la'hei'niu
拉米三道,la'mi'san'dao
老公家,lao'gong'jia
老鬼,lao'gui
立马,li'ma
量黄米,liang'huang'mi
流舔,liu'tian
麻巧,ma'qiao
毛鬼神,mao'gui'shen
冒唠,mao'lao
么出烂息,me'chu'lan'xi
么点哈术,me'dian'ha'shu
没啦咧,mei'la'lie
没油烂水,mei'you'lan'shui
迷倒胡,mi'dao'hu
瞄弧,miao'hu
那儿达,na'er'da
耐哥揽,nai'ge'lan
乃球,nai'qiu
闹老哇,nao'lao'wa
闹甚了,nao'shen'le
你到哪阁来,ni'dao'na'ge'lai
你就能跌码码,ni'jiu'neng'die'ma'ma
你再人真洼了,ni'zai'ren'zhen'wa'le
牛牛,niu'niu
农咯揽,nong'ge'lan
爬爬虫,pa'pa'chong
瞥逼砍蛋,pie'bi'kan'dan
泼散,po'san
起山,qi'shan
切蹭蹭,qie'ceng'ceng
切它,qie'ta
勤紧,qin'jin
求呼玛擦,qiu'hu'ma'ca
球毛鬼胎,qiu'mao'gui'tai
球眯性眼,qiu'mi'xing'yan
球式,qiu'shi
热倒,re'dao
热怪,re'guai
热哄,re'hong
热里八脏,re'li'ba'zang
热脏,re'zang
肉头性脑,rou'tou'xing'nao
嗓货,sang'huo
死逼赖脸,si'bi'lai'lian
死眯处眼,si'mi'chu'yan
死米三道,si'mi'san'dao
思谋,si'mou
酸抛烂气,suan'pao'lan'qi
讨债鬼,tao'zhai'gui
土坷拉,tu'ke'la
外货,wai'huo
外就算老哇,wai'jiu'suan'lao'wa
外虽,wai'sui
问子,wen'zi
窝几哥囊,wo'ji'ge'nang
卧来,wo'lai
舞玩一哈,wu'wan'yi'ha
西番四,xi'fan'si
恓惶,xi'huang
稀荒,xi'huang
喜人,xi'ren
歇心,xie'xin
眼气,yan'qi
夭夭,yao'yao
嘢天,ye'tian
一扑溜,yi'pu'liu
咋地咧,za'di'lie
杂啦,za'la
增桑了,zeng'sang'le
这儿达,zhe'er'da
坐水,zuo'shui
