阿玛尼,a'ma'ni
阿森戴维森,a'sen'dai'wei'sen
爱彼,ai'bi
安娜苏,an'na'su
奥迪,ao'di
奥克利,ao'ke'li
奥斯卡德拉伦塔,ao'si'ka'de'la'lun'ta
巴宝莉,ba'bao'li
巴黎世家,ba'li'shi'jia
百达翡丽,bai'da'fei'li
百加得,bai'jia'de
宝格丽,bao'ge'li
宝玑,bao'ji
宝马,bao'ma
保时捷,bao'shi'jie
宝诗龙,bao'shi'long
比尔布拉斯,bi'er'bu'la'si
宾利,bin'li
伯爵,bo'jue
伯亮,bo'liang
博士,bo'shi
布加迪,bu'jia'di
绰美,chuo'mei
大卫杜夫,da'wei'du'fu
蒂埃利爱马仕,di'ai'li'ai'ma'shi
蒂埃里穆勒,di'ai'li'mu'le
迪奥,di'ao
帝舵,di'duo
蒂芬妮,di'fen'ni
蒂柔,di'rou
法拉利,fa'la'li
范思哲,fan'si'zhe
费拉格慕,fei'la'ge'mu
芬迪,fen'di
高斯巴,gao'si'ba
古奇,gu'qi
悍马,han'ma
豪雅,hao'ya
华特曼,hua'te'man
皇家礼炮,huang'jia'li'pao
纪梵希,ji'fan'xi
积家,ji'jia
江诗丹顿,jiang'shi'dan'dun
娇兰,jiao'lan
捷豹,jie'bao
杰克丹尼,jie'ke'dan'ni
杰尼亚,jie'ni'ya
绝对伏特加,jue'dui'fu'te'jia
卡地亚,ka'di'ya
卡尔文克莱恩,ka'er'wen'ke'lai'en
凯迪拉克,kai'di'la'ke
克里斯汀拉克鲁瓦,ke'li'si'ting'la'ke'lu'wa
寇兹,kou'zi
拉尔夫劳伦,la'er'fu'lao'lun
兰博基尼,lan'bo'ji'ni
兰蔻,lan'kou
兰文,lan'wen
郎格,lang'ge
朗万,lang'wan
劳力士,lao'li'shi
劳斯莱斯,lao'si'lai'si
酪悦香槟,lao'yue'xiang'bin
丽嘉酒店,li'jia'jiu'dian
莲娜丽姿,lian'na'li'zi
林肯,lin'ken
凌志,ling'zhi
龙兮,long'xi
路威酩轩,lu'wei'ming'xuan
路易威登,lu'yi'wei'deng
马爹利,ma'die'li
马喜尔,ma'xi'er
迈尼赫,mai'ni'he
美国运通,mei'guo'yun'tong
美卡芬艾,mei'ka'fen'ai
梅塞德斯,mei'sai'de'si
米索尼,mi'suo'ni
名士表,ming'shi'biao
酩悦香槟,ming'yue'xiang'bin
摩根,mo'gen
莫斯奇诺,mo'si'qi'nuo
欧巴德,ou'ba'de
欧米茄,ou'mi'jia
帕格尼,pa'ge'ni
派克,pai'ke
沛纳海,pei'na'hai
普拉达,pu'la'da
乾祥,qian'xiang
乾祥服饰,qian'xiang'fu'shi
切瑞蒂,qie'rui'di
酋长宫殿,qiu'zhang'gong'dian
人头马,ren'tou'ma
赛琳,sai'lin
三宅一生,san'zhai'yi'sheng
圣达特,sheng'da'te
圣罗兰,sheng'luo'lan
世爵,shi'jue
双棕榈树酒店,shuang'zong'lv'shu'jiu'dian
四季酒店,si'ji'jiu'dian
索尼亚里基尔,suo'ni'ya'li'ji'er
唐那凯伦,tang'na'kai'lun
瓦伦蒂诺,wa'lun'di'nuo
万宝龙,wan'bao'long
万国,wan'guo
万豪,wan'hao
威尔永锋,wei'er'yong'feng
希尔顿集团,xi'er'dun'ji'tuan
香港君悦酒店,xiang'gang'jun'yue'jiu'dian
香奈儿,xiang'nai'er
轩尼诗,xuan'ni'shi
雅顿,ya'dun
雅诗兰黛,ya'shi'lan'dai
炎焱妖,yan'yan'yao
炎焱妖服饰,yan'yan'yao'fu'shi
伊夫圣洛郎,yi'fu'sheng'luo'lang
伊丽莎白酒店,yi'li'sha'bai'jiu'dian
伊泰莲娜,yi'tai'lian'na
真利时,zhen'li'shi
芝柏,zhi'bai
芝华士,zhi'hua'shi
珠迪丝雷伯,zhu'di'si'lei'bo
资生堂,zi'sheng'tang
