阿夜,a'ye
爱上你的眼睛,ai'shang'ni'de'yan'jing
爸爸和妈妈的回忆,ba'ba'he'ma'ma'de'hui'yi
悲伤的圣诞节前夜,bei'shang'de'sheng'dan'jie'qian'ye
边里,bian'li
边里唯世,bian'li'wei'shi
变身,bian'shen
不得不爱,bu'de'bu'ai
长仓拓哉,chang'cang'tuo'zai
初恋的婚礼蛋糕,chu'lian'de'hun'li'dan'gao
春天却要告别,chun'tian'que'yao'gao'bie
大地,da'di
大骚乱,da'sao'luan
戴雅,dai'ya
第四个守护蛋,di'si'ge'shou'hu'dan
二阶堂,er'jie'tang
二阶堂悠,er'jie'tang'you
方块,fang'kuai
复活社,fu'huo'she
抚子,fu'zi
干掉坏甜心,gan'diao'huai'tian'xin
高兴而害羞的初次约会,gao'xing'er'hai'xiu'de'chu'ci'yue'hui
歌呗,ge'bai
海里,hai'li
后篇,hou'pian
滑雪场和守护甜心,hua'xue'chang'he'shou'hu'tian'xin
坏甜心,huai'tian'xin
黄金王子,huang'jin'wang'zi
绘琉,hui'liu
几斗,ji'dou
讲谈社,jiang'tan'she
解开心灵之锁,jie'kai'xin'ling'zhi'suo
结木,jie'mu
结木弥耶,jie'mu'mi'ye
阶砖,jie'zhuan
鸠羽雪,jiu'yu'xue
空海,kong'hai
库塔,ku'ta
啦啦队大活跃,la'la'dui'da'huo'yue
拉米拉,la'mi'la
璃茉,li'mo
璃舞,li'wu
理想的自己,li'xiang'de'zi'ji
铃木,ling'mu
美琪,mei'qi
弥耶,mi'ye
那家伙和我,na'jia'huo'he'wo
鸟居美冬,niao'ju'mei'dong
皮皮,pi'pi
飘浮的,piao'fu'de
漂亮的宝宝大骚动,piao'liang'de'bao'bao'da'sao'dong
奇迹,qi'ji
千钧一发,qian'jun'yi'fa
前篇,qian'pian
请交给小丝,qing'jiao'gei'xiao'si
日奈森,ri'nai'sen
日奈森纺,ri'nai'sen'fang
日奈森绿,ri'nai'sen'lv
日奈森亚美,ri'nai'sen'ya'mei
日奈森亚梦,ri'nai'sen'ya'meng
日奈森亚实,ri'nai'sen'ya'shi
若菜,ruo'cai
三条,san'tiao
三条海里,san'tiao'hai'li
三条由加里,san'tiao'you'jia'li
山吹沙绫,shan'chui'sha'ling
射门,she'men
守护蛋,shou'hu'dan
守护甜心,shou'hu'tian'xin
守护甜心被诱拐,shou'hu'tian'xin'bei'you'guai
守护甜心诞生,shou'hu'tian'xin'dan'sheng
守护甜心救出大作战,shou'hu'tian'xin'jiu'chu'da'zuo'zhan
守护者,shou'hu'zhe
手鞠,shou'ju
刷刷的,shua'shua'de
送给你的礼物,song'gei'ni'de'li'wu
藤咲,teng'xiao
藤咲抚子,teng'xiao'fu'zi
藤咲家的七大不可思议,teng'xiao'jia'de'qi'da'bu'ke'si'yi
天河司,tian'he'si
甜心,tian'xin
唯世,wei'shi
我是王牌,wo'shi'wang'pai
武藏,wu'zang
嘻嘻,xi'xi
相马,xiang'ma
相马空海,xiang'ma'kong'hai
小兰,xiao'lan
小丝,xiao'si
小小的蛋,xiao'xiao'de'dan
新的守护者登场,xin'de'shou'hu'zhe'deng'chang
心灵之蛋,xin'ling'zhi'dan
新年演唱会,xin'nian'yan'chang'hui
心之写生,xin'zhi'xie'sheng
星名奏子,xing'ming'zou'zi
星那,xing'na
星那歌呗,xing'na'ge'bai
形象改造,xing'xiang'gai'zao
星组对月组,xing'zu'dui'yue'zu
修来亚,xiu'lai'ya
雪贝,xue'bei
雪贝登场,xue'bei'deng'chang
雪山的休假,xue'shan'de'xiu'jia
雪原的大攻防,xue'yuan'de'da'gong'fang
亚美,ya'mei
亚梦,ya'meng
冴木信子,ya'mu'xin'zi
亚实,ya'shi
演讲比赛,yan'jiang'bi'sai
羊田美美子,yang'tian'mei'mei'zi
钥匙和锁,yao'shi'he'suo
依琉,yi'liu
幽灵屋大冒险,you'ling'wu'da'mao'xian
月咏,yue'yong
月咏歌呗,yue'yong'ge'bai
月咏或斗,yue'yong'huo'dou
月咏几斗,yue'yong'ji'dou
崭新的开始,zhan'xin'de'kai'shi
真城,zhen'cheng
真城璃茉,zhen'cheng'li'mo
真城璃舞,zhen'cheng'li'wu
姫川舞香,zhen'chuan'wu'xiang
真奈美,zhen'nai'mei
真正的自我,zhen'zheng'de'zi'wo
拯救雪贝,zheng'jiu'xue'bei
最终的决战,zui'zhong'de'jue'zhan
