安科余良卿,an'ke'yu'liang'qing
安菱商城,an'ling'shang'cheng
安庆大酒店,an'qing'da'jiu'dian
安庆大学,an'qing'da'xue
安庆卫校,an'qing'wei'xiao
安庆职业技术学校,an'qing'zhi'ye'ji'shu'xue'xiao
安庆职业技术学院,an'qing'zhi'ye'ji'shu'xue'yuan
安师院,an'shi'yuan
白莲畈,bai'lian'fan
白鳍豚天桥,bai'qi'tun'tian'qiao
白水泥厂,bai'shui'ni'chang
白水泥厂罗冲,bai'shui'ni'chang'luo'chong
白泽,bai'ze
白泽中学,bai'ze'zhong'xue
北火车站,bei'huo'che'zhan
北正街,bei'zheng'jie
长风,chang'feng
车管所,che'guan'suo
程墩路,cheng'dun'lu
大枫,da'feng
大枫中学,da'feng'zhong'xue
大观楼,da'guan'lou
大观商城,da'guan'shang'cheng
大观商城司下坡,da'guan'shang'cheng'si'xia'po
大观亭,da'guan'ting
大观亭街,da'guan'ting'jie
大龙山镇信用社,da'long'shan'zhen'xin'yong'she
大龙山镇政府,da'long'shan'zhen'zheng'fu
大轮码头,da'lun'ma'tou
大南门,da'nan'men
大桥,da'qiao
大王庙,da'wang'miao
大修厂,da'xiu'chang
氮肥厂,dan'fei'chang
德宽路,de'kuan'lu
帝伯格茨五里墩,di'bo'ge'ci'wu'li'dun
地质新村,di'zhi'xin'cun
电厂,dian'chang
电厂横江集团,dian'chang'heng'jiang'ji'tuan
渡口,du'kou
段山,duan'shan
二棉厂,er'mian'chang
纺织厂,fang'zhi'chang
干休所,gan'xiu'suo
钢材大市场,gang'cai'da'shi'chang
港口,gang'kou
高井头,gao'jing'tou
高岭,gao'ling
高塘,gao'tang
公交公司,gong'jiao'gong'si
拐角头,guai'jiao'tou
光彩北站,guang'cai'bei'zhan
光彩大卖场,guang'cai'da'mai'chang
光彩大市场,guang'cai'da'shi'chang
光彩广场,guang'cai'guang'chang
光彩西大门,guang'cai'xi'da'men
光明,guang'ming
国泰花园,guo'tai'hua'yuan
和平商店,he'ping'shang'dian
横水塘,heng'shui'tang
红光汽车城南站,hong'guang'qi'che'cheng'nan'zhan
红旗水泥厂,hong'qi'shui'ni'chang
