安大,an'da
安康监狱,an'kang'jian'yu
安铁分局,an'tie'fen'ju
安铁医院,an'tie'yi'yuan
安旬路,an'xun'lu
安旬路口,an'xun'lu'kou
安运司,an'yun'si
巴山卷纺厂,ba'shan'juan'fang'chang
滨江大道,bin'jiang'da'dao
长江医院,chang'jiang'yi'yuan
长岭水泥厂,chang'ling'shui'ni'chang
长兴,chang'xing
长兴小区,chang'xing'xiao'qu
朝阳小区,chao'yang'xiao'qu
二厂,er'chang
二桥,er'qiao
二师范,er'shi'fan
二院加油站,er'yuan'jia'you'zhan
付家河,fu'jia'he
府苑小区,fu'yuan'xiao'qu
高速客运站,gao'su'ke'yun'zhan
供电局,gong'dian'ju
工业园区,gong'ye'yuan'qu
鼓楼街,gu'lou'jie
果园小区,guo'yuan'xiao'qu
汉滨区城建局,han'bin'qu'cheng'jian'ju
汉滨区公汽司,han'bin'qu'gong'qi'si
汉滨区疾病控制中心,han'bin'qu'ji'bing'kong'zhi'zhong'xin
汉江饭店,han'jiang'fan'dian
红卫桥,hong'wei'qiao
后张岭,hou'zhang'ling
黄沟村,huang'gou'cun
火车站,huo'che'zhan
机关,ji'guan
建民中学,jian'min'zhong'xue
健平水泥厂,jian'ping'shui'ni'chang
江北饭店,jiang'bei'fan'dian
解放路,jie'fang'lu
解放路口,jie'fang'lu'kou
金堂寺,jin'tang'si
锦绣花园,jin'xiu'hua'yuan
酒厂,jiu'chang
雷神殿,lei'shen'dian
马坎,ma'kan
民航酒店,min'hang'jiu'dian
培新街,pei'xin'jie
汽车站,qi'che'zhan
缫丝厂,sao'si'chang
市防疫站,shi'fang'yi'zhan
市工商局,shi'gong'shang'ju
世纪新村,shi'ji'xin'cun
市招待所,shi'zhao'dai'suo
市政府,shi'zheng'fu
市中心医院,shi'zhong'xin'yi'yuan
市中医院,shi'zhong'yi'yuan
水电厂,shui'dian'chang
太平洋音响世界,tai'ping'yang'yin'xiang'shi'jie
铁路医院,tie'lu'yi'yuan
铁五处,tie'wu'chu
卫校,wei'xiao
文昌路,wen'chang'lu
五星街,wu'xing'jie
香溪路,xiang'xi'lu
信合广场,xin'he'guang'chang
信和广场,xin'he'guang'chang
新华市场,xin'hua'shi'chang
新华书店,xin'hua'shu'dian
兴安门,xing'an'men
兴安西路,xing'an'xi'lu
兴华小区,xing'hua'xiao'qu
堰台市场,yan'tai'shi'chang
晏台市场,yan'tai'shi'chang
阳光城,yang'guang'cheng
银河电脑公司,yin'he'dian'nao'gong'si
影剧院,ying'ju'yuan
育才西路,yu'cai'xi'lu
园沟大桥,yuan'gou'da'qiao
张沟桥,zhang'gou'qiao
张岭医院,zhang'ling'yi'yuan
中心广场,zhong'xin'guang'chang
中银大厦,zhong'yin'da'sha
