阿杰,a'jie
安吉尔,an'ji'er
鞍拉伯,an'la'bo
暗影闪电,an'ying'shan'dian
暗影天马,an'ying'tian'ma
澳宝,ao'bao
奥塔维雅,ao'ta'wei'ya
白金公主,bai'jin'gong'zhu
白马王子,bai'ma'wang'zi
白银勺勺,bai'yin'shao'shao
爆火,bao'huo
宝蓝莎莎,bao'lan'sha'sha
宝马王子,bao'ma'wang'zi
贝儿,bei'er
杯糕,bei'gao
碧琪,bi'qi
变形虫,bian'xing'chong
飚风,biao'feng
布丁头总理,bu'ding'tou'zong'li
布雷本,bu'lei'ben
布鲁姆伯,bu'lu'mu'bo
彩虹工厂,cai'hong'gong'chang
彩虹小马,cai'hong'xiao'ma
采妮,cai'ni
菜鸟先生,cai'niao'xian'sheng
超伟大超神奇崔茜,chao'wei'da'chao'shen'qi'cui'qian
车厘子,che'li'zi
虫茧女王,chong'jian'nv'wang
臭臭钱,chou'chou'qian
臭钱,chou'qian
雏菊,chu'ju
刺儿头,ci'er'tou
聪聪,cong'cong
聪明曲奇,cong'ming'qu'qi
崔克茜,cui'ke'qian
翠丝,cui'si
大奔驰庆典,da'ben'chi'qing'dian
大麦,da'mai
大屁股公主,da'pi'gu'gong'zhu
呆小多,dai'xiao'duo
蛋糕夫人,dan'gao'fu'ren
蛋糕太太,dan'gao'tai'tai
蛋糕先生,dan'gao'xian'sheng
冬季大扫除,dong'ji'da'sao'chu
豆丁,dou'ding
噩梦之夜,e'meng'zhi'ye
方糖角落,fang'tang'jiao'luo
方糖甜点屋,fang'tang'tian'dian'wu
飞板璐,fei'ban'lu
吠城,fei'cheng
飞火,fei'huo
菲利达菲亚,fei'li'da'fei'ya
菲洛米娜,fei'luo'mi'na
菲尼斯小姐,fei'ni'si'xiao'jie
嘎米,ga'mi
高飞,gao'fei
果汁季,guo'zhi'ji
孩之宝,hai'zhi'bao
孩之婊,hai'zhi'biao
豪尔威斯,hao'er'wei'si
轰隆,hong'long
鸿羽,hong'yu
花花短裤,hua'hua'duan'ku
幻形灵,huan'xing'ling
幻形族,huan'xing'zu
霍伊特托伊特,huo'yi'te'tuo'yi'te
吉尔达,ji'er'da
剪剪,jian'jian
焦糖仔,jiao'tang'zai
姐妹连心联谊会,jie'mei'lian'xin'lian'yi'hui
姐妹游园会,jie'mei'you'yuan'hui
金色丰收孩之宝,jin'se'feng'shou'hai'zhi'bao
纠纠,jiu'jiu
坎特拉城,kan'te'la'cheng
坎特拉高中,kan'te'la'gao'zhong
坎特洛特,kan'te'luo'te
可爱标记童子军,ke'ai'biao'ji'tong'zi'jun
可爱军团,ke'ai'jun'tuan
可拉,ke'la
狂躁呆瓜毛驴,kuang'zao'dai'gua'mao'lv
蓝宝石秀儿,lan'bao'shi'xiu'er
蓝血王子,lan'xue'wang'zi
烙印哥,lao'yin'ge
雷蹄酋长,lei'ti'qiu'zhang
雷纹,lei'wen
列兵三色堇,lie'bing'san'se'jin
流星,liu'xing
六月虫,liu'yue'chong
露娜,lu'na
露娜公主,lu'na'gong'zhu
萝卜蛋糕,luo'bo'dan'gao
萝卜尖,luo'bo'jian
骡莉亚迈尔德,luo'li'ya'mai'er'de
落日霞光,luo'ri'xia'guang
玛蒂尔达,ma'di'er'da
马哈顿,ma'ha'dun
麦大哥,mai'da'ge
麦金塔大哥,mai'jin'ta'da'ge
麦什托,mai'shen'tuo
麦托什,mai'tuo'shen
梦魇之月,meng'yan'zhi'yue
米米,mi'mi
魔法公主,mo'fa'gong'zhu
暮光闪闪,mu'guang'shan'shan
暮暮,mu'mu
奶油蛋糕,nai'you'dan'gao
南瓜蛋糕,nan'gua'dan'gao
妞妞,niu'niu
暖炉节,nuan'lu'jie
欧泊,ou'bo
欧波,ou'bo
喷火,pen'huo
蓬蓬,peng'peng
皮皮,pi'pi
翩飞,pian'fei
苹果伯格,ping'guo'bo'ge
苹果花,ping'guo'hua
苹果嘉儿,ping'guo'jia'er
苹果杰克,ping'guo'jie'ke
苹果丽丽,ping'guo'li'li
萍琪,ping'qi
奇奇,qi'qi
蔷薇,qiang'wei
青苹果奶奶,qing'ping'guo'nai'nai
驱寒节,qu'han'jie
柔柔,rou'rou
