按地,an'di
俺木有,an'mu'you
按窝,an'wo
拔腚,ba'ding
巴棍子,ba'gun'zi
巴了头,ba'le'tou
扒水,ba'shui
把瞎,ba'xia
白姑用,bai'gu'yong
摆坏,bai'huai
白活,bai'huo
白这样,bai'zhe'yang
半吊,ban'diao
半福,ban'fu
板正的,ban'zheng'de
帮和,bang'he
棒子秸,bang'zi'jie
悲苦,bei'ku
北直,bei'zhi
崩木根儿,beng'mu'gen'er
鼻个巴,bi'ge'ba
鼻哥了,bi'ge'le
鼻孔眼了,bi'kong'yan'le
比丘眼了,bi'qiu'yan'le
比呀,bi'ya
比样操的,bi'yang'cao'de
彪乎乎,biao'hu'hu
彪来来,biao'lai'lai
彪了,biao'le
彪样,biao'yang
彪子,biao'zi
憋了气,bie'le'qi
博了盖,bo'le'gai
波楼儿,bo'lou'er
不得闲,bu'de'xian
不嘎,bu'ga
不赶趟,bu'gan'tang
步捻,bu'nian
补土杠烟,bu'tu'gang'yan
不稀说你,bu'xi'shuo'ni
不熨帖,bu'yu'tie
材坏,cai'huai
才将忙,cai'jiang'mang
才摸,cai'mo
参撵,can'nian
草鸡了,cao'ji'le
操拢,cao'long
操人,cao'ren
草眼底,cao'yan'di
掺约,chan'yue
嘲巴,chao'ba
潮巴,chao'ba
哧篓花,chi'lou'hua
出条,chu'tiao
戳以子,chuo'yi'zi
次搭,ci'da
呲毛乎,ci'mao'hu
刺毛决定,ci'mao'jue'ding
刺挠,ci'nao
跐着,ci'zhe
攒的慌,cuan'de'huang
窜门子,cuan'men'zi
搭把手,da'ba'shou
大不瞧得,da'bu'qiao'de
打搐搐,da'chu'chu
大大,da'da
打个盹儿,da'ge'dun'er
打戈里,da'ge'li
打哈哈,da'ha'ha
大凝,da'ning
逮饭,dai'fan
歹来歹,dai'lai'dai
蛋了毛,dan'le'mao
单文儿云儿地,dan'wen'er'yun'er'di
挡害,dang'hai
当央,dang'yang
当央窝哈,dang'yang'wo'ha
捣鼓,dao'gu
道划儿人,dao'hua'er'ren
刀螂,dao'lang
倒猛,dao'meng
得济,de'ji
得劲,de'jin
得为,de'wei
嘚为的,de'wei'de
得以,de'yi
地包,di'bao
颠罕儿,dian'han'er
点呼,dian'hu
屌劲,diao'jin
跌了,die'le
腚门子,ding'men'zi
腚片,ding'pian
锭眼,ding'yan
腚眼孩子,ding'yan'hai'zi
腚眼了,ding'yan'le
恶了藏,e'le'cang
恶了拐带,e'le'guai'dai
恶样的人,e'yang'de'ren
恶样人,e'yang'ren
恶鹰人,e'ying'ren
二杵,er'chu
耳刀,er'dao
儿的也,er'de'ye
儿地不,er'di'bu
儿地也,er'di'ye
耳瓜子呼你,er'gua'zi'hu'ni
二虎,er'hu
二虎八道,er'hu'ba'dao
而利,er'li
二皮脸,er'pi'lian
二胰子,er'yi'zi
发丧,fa'sang
发呓瘴,fa'yi'zhang
飞听听,fei'ting'ting
福秸,fu'jie
伏九,fu'jiu
嘎儿,ga'er
嘎伙,ga'huo
噶鸡窝,ga'ji'wo
嘎拉小嫚,ga'la'xiao'man
嘎拉油子,ga'la'you'zi
盖提,gai'ti
赶缠人,gan'chan'ren
干恨么,gan'hen'me
干绳么,gan'sheng'me
赶趟,gan'tang
赶趟儿,gan'tang'er
干熊,gan'xiong
干熊的,gan'xiong'de
干月,gan'yue
干哕人,gan'yue'ren
高低,gao'di
搞油,gao'you
胳拉半儿,ge'la'ban'er
隔了拜子,ge'le'bai'zi
各了拜子,ge'le'bai'zi
个了绷子,ge'le'beng'zi
格勒枝,ge'le'zhi
硌磨,ge'mo
革气,ge'qi
割气,ge'qi
个样,ge'yang
个样人,ge'yang'ren
个躁,ge'zao
格支,ge'zhi
狗乱,gou'luan
够呛,gou'qiang
鼓捣,gu'dao
姑也,gu'ye
顾拥,gu'yong
咕雍,gu'yong
拐固,guai'gu
怪能来,guai'neng'lai
管多,guan'duo
咣当,guang'dang
哈大了,ha'da'le
哈酒,ha'jiu
哈水,ha'shui
哈贼了,ha'zei'le
海蛎了,hai'li'le
海沿儿,hai'yan'er
憨熊,han'xiong
喝豆腐汤,he'dou'fu'tang
喝糖茶,he'tang'cha
黑雀子,hei'qiao'zi
洪上,hong'shang
后儿,hou'er
猴毛哆嗦孙儿,hou'mao'duo'suo'sun'er
齁咸,hou'xian
侯咸,hou'xian
胡而马约,hu'er'ma'yue
胡哕哕,hu'hui'hui
混账,hun'zhang
和稀泥,huo'xi'ni
几到,ji'dao
鸡嘎子,ji'ga'zi
鸡了,ji'le
挤落,ji'luo
圾游,ji'you
煎柠,jian'ning
将将,jiang'jiang
将媳妇,jiang'xi'fu
焦猜焦猜,jiao'cai'jiao'cai
狡刺,jiao'ci
角个劳,jiao'ge'lao
焦黄,jiao'huang
接都,jie'dou
接己,jie'ji
截就,jie'jiu
解了子,jie'le'zi
接留猴子,jie'liu'hou'zi
街痞孩子,jie'pi'hai'zi
筋骨,jin'gu
紧自,jin'zi
揪地,jiu'di
酒猫子,jiu'mao'zi
举贱,ju'jian
觉脖了,jue'bo'le
绝捞,jue'lao
厥丫子,jue'ya'zi
觉业,jue'ye
觉子盖了,jue'zi'gai'le
卡拉,ka'la
可奥了,ke'ao'le
磕碜,ke'chen
坷垃头子,ke'la'tou'zi
柯了头子,ke'le'tou'zi
吭人,keng'ren
快当点,kuai'dang'dian
狂唠,kuang'lao
狂炎,kuang'yan
阔伤了,kuo'shang'le
啦呱,la'gua
拉呱,la'gua
赖尻,lai'kao
老播干,lao'bo'gan
捞么,lao'me
老灭,lao'mie
老时节,lao'shi'jie
力巴,li'ba
立愣,li'leng
立棱,li'leng
连哩的,lian'li'de
凉渗,liang'shen
列熊,lie'xiong
列熊了,lie'xiong'le
溜地,liu'di
溜溜钻,liu'liu'zuan
龙弯,long'wan
撸叶子,lu'ye'zi
啰啰,luo'luo
落落嘛,luo'luo'ma
马古蛋了,ma'gu'dan'le
吗几样了,ma'ji'yang'le
麻朗的,ma'lang'de
麻利地,ma'li'di
马泡,ma'pao
麻堂,ma'tang
嘛也,ma'ye
买儿卖儿,mai'er'mai'er
买卖,mai'mai
麦穰,mai'rang
毛儿包,mao'er'bao
毛哥,mao'ge
猫猴子,mao'hou'zi
冒噗喽,mao'pu'lou
茅屎坑,mao'shi'keng
茅死坑,mao'si'keng
茅子,mao'zi
么叨,me'dao
么个,me'ge
么子,me'zi
没滋拉味,mei'zi'la'wei
迷汉,mi'han
迷勒狗子,mi'le'gou'zi
迷楞,mi'leng
绵绵呼子,mian'mian'hu'zi
面鱼儿,mian'yu'er
摸乱,mo'luan
莫强了,mo'qiang'le
莫用,mo'yong
莫有,mo'you
拇量,mu'liang
木乱,mu'luan
木木哒哒,mu'mu'da'da
那没来,na'mei'lai
哪门,na'men
奶了,nai'le
南妈来,nan'ma'lai
脑了哈了,nao'le'ha'le
脑了疼,nao'le'teng
内妈来,nei'ma'lai
嫩拜先,nen'bai'xian
能噻,neng'sai
妮儿,ni'er
泥浓铺嚓,ni'nong'pu'cha
腻歪,ni'wai
念宁,nian'ning
尿瀡,niao'sui
牛比,niu'bi
牛逼哄哄,niu'bi'hong'hong
侬的慌,nong'de'huang
爬虾,pa'xia
皮艮,pi'gen
片片,pian'pian
瓢扁,piao'bian
七叶子,qi'ye'zi
妻侄羔子,qi'zhi'gao'zi
前儿里,qian'er'li
欠砸了,qian'za'le
青酱,qing'jiang
糗了,qiu'le
黢盒黢盒的,qu'he'qu'he'de
黢黑,qu'hei
去黑,qu'hei
曲黑,qu'hei
曲了拐弯,qu'le'guai'wan
曲溜,qu'liu
曲溜拐弯,qu'liu'guai'wan
群亮,qun'liang
儒了子,ru'le'zi
腮帮子,sai'bang'zi
傻白,sha'bai
沙白,sha'bai
傻屄,sha'bi
上赛,shang'sai
晌午头,shang'wu'tou
烧包,shao'bao
什么荒子,shen'me'huang'zi
圣人蛋,sheng'ren'dan
拾漏冒儿,shi'lou'mao'er
是味,shi'wei
手子盖了,shou'zi'gai'le
秫米,shu'mi
耍彪,shua'biao
私孩子,si'hai'zi
死嚼了,si'jiao'le
死眉塌哈眼,si'mei'ta'ha'yan
丝孬,si'nao
死孙,si'sun
踢滑,ti'hua
剔亮,ti'liang
踢溜滑,ti'liu'hua
涕溜圆,ti'liu'yuan
添腚眼子官,tian'ding'yan'zi'guan
甜么索的,tian'me'suo'de
舔莫,tian'mo
挑播的,tiao'bo'de
条除,tiao'chu
挑乎,tiao'hu
铁挫了,tie'cuo'le
贴轩,tie'xuan
头副,tou'fu
崴泥,wai'ni
亡命,wang'ming
卧了,wo'le
喔了盖,wo'le'gai
窝门儿,wo'men'er
我一脚派死你,wo'yi'jiao'pai'si'ni
勿滥,wu'lan
乌喽牛,wu'lou'niu
乌喽牛子,wu'lou'niu'zi
西不癞了,xi'bu'lai'le
稀松,xi'song
西甜,xi'tian
下巴壳子,xia'ba'ke'zi
瞎包,xia'bao
下衫烂,xia'shan'lan
瞎晚儿,xia'wan'er
闲唬,xian'hu
献浅子,xian'qian'zi
小儿,xiao'er
小哥,xiao'ge
小归宁,xiao'gui'ning
小嫚,xiao'man
小小儿,xiao'xiao'er
小小蜂,xiao'xiao'feng
小小子,xiao'xiao'zi
歇班,xie'ban
歇班儿,xie'ban'er
懈儿咣当,xie'er'guang'dang
歇呼,xie'hu
蝎虎帘子,xie'hu'lian'zi
蝎虎子,xie'hu'zi
蟹了,xie'le
歇酸,xie'suan
信划,xin'hua
行行子,xing'xing'zi
熊呼,xiong'hu
熊黄子,xiong'huang'zi
熊人,xiong'ren
熊样,xiong'yang
秀米,xiu'mi
续壶,xu'hu
嘘嘹,xu'liao
许清,xu'qing
丫巴,ya'ba
眼刺,yan'ci
盐猫虎子,yan'mao'hu'zi
焉幽,yan'you
洋车子,yang'che'zi
洋乎,yang'hu
洋火,yang'huo
洋茄子气球,yang'qie'zi'qi'qiu
洋烧,yang'shao
洋柿子,yang'shi'zi
洋司了,yang'si'le
仰外登,yang'wai'deng
痒痒挠,yang'yang'nao
咬憋嘴,yao'bie'zui
舀子,yao'zi
叶来,ye'lai
夜了盖,ye'le'gai
叶揍,ye'zou
已了,yi'le
一闷儿,yi'men'er
一霎,yi'sha
意子,yi'zi
用脚排你,yong'jiao'pai'ni
又熊又不老实,you'xiong'you'bu'lao'shi
愚道,yu'dao
愚道贩了,yu'dao'fan'le
玉福枯,yu'fu'ku
淤了,yu'le
迂默,yu'mo
迂磨,yu'mo
淤末,yu'mo
芋头,yu'tou
芋头母子,yu'tou'mu'zi
芋头秧子,yu'tou'yang'zi
玉做,yu'zuo
怨叶,yuan'ye
月匙,yue'chi
月刺,yue'ci
咂嘛,za'ma
臧文,zang'wen
早活儿,zao'huo'er
造业,zao'ye
扎古,zha'gu
咋呼,zha'hu
炸腮,zha'sai
涨包,zhang'bao
这护的,zhe'hu'de
这黄子,zhe'huang'zi
这窝哈,zhe'wo'ha
真草鸡了,zhen'cao'ji'le
真熊了,zhen'xiong'le
真恣,zhen'zi
挣命,zheng'ming
纸胳呗儿,zhi'ge'bei'er
吱歪,zhi'wai
著煎,zhu'jian
主贱,zhu'jian
猪油,zhu'you
转嗝喽,zhuan'ge'lou
装彪卖傻,zhuang'biao'mai'sha
滋的跟屁呲的样,zi'de'gen'pi'ci'de'yang
揍嘛地,zou'ma'di
奏绳么的,zou'sheng'me'de
揍实,zou'shi
作死,zuo'si
作业,zuo'ye
