阿米尔,a'mi'er
艾力克,ai'li'ke
安塔尔,an'ta'er
巴克维奇,ba'ke'wei'qi
巴力斯塔,ba'li'si'ta
巴辛,ba'xin
查尔斯,cha'er'si
崔鹏,cui'peng
丹,dan
丹尼斯,dan'ni'si
丹丘内斯库,dan'qiu'nei'si'ku
耽钰杰,dan'yu'jie
德拉干,de'la'gan
邓程,deng'cheng
邓乐军,deng'le'jun
冯建国,feng'jian'guo
弗拉多,fu'la'duo
高尧,gao'yao
耿,geng
耿晓峰,geng'xiao'feng
韩鹏,han'peng
郝伟,hao'wei
荷赛,he'sai
侯志强,hou'zhi'qiang
基里亚,ji'li'ya
基里亚科夫,ji'li'ya'ke'fu
基里亚奇,ji'li'ya'qi
加里,jia'li
加里奇,jia'li'qi
姜,jiang
姜勇,jiang'yong
卡洛斯,ka'luo'si
卡西亚诺,ka'xi'ya'nuo
兰普蒂,lan'pu'di
兰谱提,lan'pu'ti
兰普提,lan'pu'ti
李斌,li'bin
李波,li'bo
李金羽,li'jin'yu
李雷雷,li'lei'lei
李明,li'ming
李青山,li'qing'shan
李霄鹏,li'xiao'peng
李小鹏,li'xiao'peng
林学,lin'xue
林学斌,lin'xue'bin
刘金东,liu'jin'dong
刘越,liu'yue
鲁西,lu'xi
鲁西达,lu'xi'da
洛达,luo'da
罗迈多,luo'mai'duo
罗麦多,luo'mai'duo
罗梅多,luo'mei'duo
马科斯,ma'ke'si
马龙,ma'long
马兴煜,ma'xing'yu
门多萨,men'duo'sa
米利安,mi'li'an
莫雷诺,mo'lei'nuo
尼古拉,ni'gu'la
帕拉哈提,pa'la'ha'ti
日夫科维奇,ri'fu'ke'wei'qi
萨莎,sa'sha
邵,shao
邵镤亮,shao'pu'liang
邵延杰,shao'yan'jie
舒畅,shu'chang
宿茂臻,su'mao'zhen
孙,sun
孙雷,sun'lei
孙晓东,sun'xiao'dong
唐,tang
唐明,tang'ming
唐晓程,tang'xiao'cheng
王超,wang'chao
王建,wang'jian
王军,wang'jun
王凯,wang'kai
王亮,wang'liang
王晓龙,wang'xiao'long
王永珀,wang'yong'po
吴刚,wu'gang
吴昊,wu'hao
西切罗,xi'qie'luo
夏宁宁,xia'ning'ning
谢尔盖,xie'er'gai
邢宁,xing'ning
邢锐,xing'rui
徐,xu
徐峰,xu'feng
徐阳,xu'yang
杨程,yang'cheng
伊格尔,yi'ge'er
于绍波,yu'shao'bo
于帅,yu'shuai
于远伟,yu'yuan'wei
苑维玮,yuan'wei'wei
张,zhang
张驰,zhang'chi
张海涛,zhang'hai'tao
张蓬生,zhang'peng'sheng
张晓宇,zhang'xiao'yu
郑铮,zheng'zheng
郑智,zheng'zhi
周海滨,zhou'hai'bin
