阿波罗御庭酒店,a'bo'luo'yu'ting'jiu'dian
爱尔眼科医院,ai'er'yan'ke'yi'yuan
艾家堡,ai'jia'bao
安居园,an'ju'yuan
巴陵公车路口,ba'ling'gong'che'lu'kou
巴陵公司,ba'ling'gong'si
巴陵桥西,ba'ling'qiao'xi
巴陵桥下,ba'ling'qiao'xia
巴陵设计院,ba'ling'she'ji'yuan
巴陵油脂,ba'ling'you'zhi
八字门,ba'zi'men
八字门大酒楼,ba'zi'men'da'jiu'lou
八字门社区,ba'zi'men'she'qu
八字门小学,ba'zi'men'xiao'xue
百港桥南,bai'gang'qiao'nan
白鹤公墓,bai'he'gong'mu
白马服饰广场,bai'ma'fu'shi'guang'chang
百盛购物广场,bai'sheng'gou'wu'guang'chang
百盛购物中心,bai'sheng'gou'wu'zhong'xin
白石岭,bai'shi'ling
白石岭公安分局,bai'shi'ling'gong'an'fen'ju
白石岭居民点,bai'shi'ling'ju'min'dian
白杨坡路口,bai'yang'po'lu'kou
白字门驾校,bai'zi'men'jia'xiao
北大青鸟,bei'da'qing'niao
北大青鸟海纳,bei'da'qing'niao'hai'na
北港路口,bei'gang'lu'kou
蓓雷幼儿园,bei'lei'you'er'yuan
北门渡口,bei'men'du'kou
汴河街,bian'he'jie
滨湖村,bin'hu'cun
滨水新景界,bin'shui'xin'jing'jie
博文外语学校,bo'wen'wai'yu'xue'xiao
步行街,bu'xing'jie
步行街北辅道,bu'xing'jie'bei'fu'dao
菜家村,cai'jia'cun
长城市场,chang'cheng'shi'chang
长动医院,chang'dong'yi'yuan
长动医院东,chang'dong'yi'yuan'dong
长虹路口,chang'hong'lu'kou
长炼小区,chang'lian'xiao'qu
长山陵园,chang'shan'ling'yuan
长委九处,chang'wei'jiu'chu
陈家坡,chen'jia'po
城陵矶,cheng'ling'ji
城陵矶港,cheng'ling'ji'gang
船厂,chuan'chang
大王组,da'wang'zu
党家墩,dang'jia'dun
党校路口,dang'xiao'lu'kou
德胜门村,de'sheng'men'cun
邓婆桥,deng'po'qiao
电信大楼,dian'xin'da'lou
电信花园,dian'xin'hua'yuan
东城医药商场,dong'cheng'yi'yao'shang'chang
洞氮,dong'dan
洞氮油库,dong'dan'you'ku
洞纺厂,dong'fang'chang
东方红小学,dong'fang'hong'xiao'xue
东风村,dong'feng'cun
东风广场,dong'feng'guang'chang
东风日产,dong'feng'ri'chan
洞口,dong'kou
东茅岭,dong'mao'ling
东茅岭步行街,dong'mao'ling'bu'xing'jie
东升小学,dong'sheng'xiao'xue
洞庭茶厂,dong'ting'cha'chang
洞庭大桥,dong'ting'da'qiao
洞庭大桥东,dong'ting'da'qiao'dong
洞庭大桥西,dong'ting'da'qiao'xi
洞庭大桥下,dong'ting'da'qiao'xia
洞庭汽车站,dong'ting'qi'che'zhan
洞庭新天地,dong'ting'xin'tian'di
洞庭渔都,dong'ting'yu'du
二分场,er'fen'chang
二工区,er'gong'qu
二师范,er'shi'fan
房产大厦,fang'chan'da'sha
方天大酒店,fang'tian'da'jiu'dian
方正期货,fang'zheng'qi'huo
方正证券,fang'zheng'zheng'quan
分水垄,fen'shui'long
枫木段,feng'mu'duan
枫桥湖路口,feng'qiao'hu'lu'kou
枫桥湖医院,feng'qiao'hu'yi'yuan
枫树新村,feng'shu'xin'cun
富川,fu'chuan
福寿山庄,fu'shou'shan'zhuang
福泰花园,fu'tai'hua'yuan
福泰新村,fu'tai'xin'cun
妇幼保健院,fu'you'bao'jian'yuan
高城,gao'cheng
高架桥北,gao'jia'qiao'bei
公交三公司,gong'jiao'san'gong'si
公交总公司,gong'jiao'zong'gong'si
公路物资处,gong'lu'wu'zi'chu
工人文化宫,gong'ren'wen'hua'gong
挂号保险墩,gua'hao'bao'xian'dun
挂口,gua'kou
冠红电子厂,guan'hong'dian'zi'chang
光宏山庄,guang'hong'shan'zhuang
广济医院,guang'ji'yi'yuan
龟山,gui'shan
国大,guo'da
郭镇,guo'zhen
哈福外语学校,ha'fu'wai'yu'xue'xiao
航空服务职业学校,hang'kong'fu'wu'zhi'ye'xue'xiao
濠河村,hao'he'cun
濠河中学,hao'he'zhong'xue
何家组,he'jia'zu
恒立集团,heng'li'ji'tuan
弘都华佗酒业,hong'dou'hua'tuo'jiu'ye
红光村,hong'guang'cun
红光村果园,hong'guang'cun'guo'yuan
红光村路口,hong'guang'cun'lu'kou
鸿景园,hong'jing'yuan
红日机械厂,hong'ri'ji'xie'chang
洪山,hong'shan
弘毅中学,hong'yi'zhong'xue
洪源机械厂,hong'yuan'ji'xie'chang
湖滨二工区,hu'bin'er'gong'qu
湖滨路口,hu'bin'lu'kou
湖滨血防站,hu'bin'xue'fang'zhan
湖滨镇,hu'bin'zhen
胡家,hu'jia
湖景花园西,hu'jing'hua'yuan'xi
湖南理工南院,hu'nan'li'gong'nan'yuan
湖南理工学院,hu'nan'li'gong'xue'yuan
湖南普丰冷链,hu'nan'pu'feng'leng'lian
花板桥,hua'ban'qiao
花果畈,hua'guo'fan
华能,hua'neng
华能电厂,hua'neng'dian'chang
华能路口,hua'neng'lu'kou
华日汽车城,hua'ri'qi'che'cheng
化纤厂,hua'xian'chang
华洋舞校,hua'yang'wu'xiao
黄泥沟,huang'ni'gou
皇庭大酒店,huang'ting'da'jiu'dian
汇沣家居博览中心,hui'feng'jia'ju'bo'lan'zhong'xin
会展中心,hui'zhan'zhong'xin
火车东站,huo'che'dong'zhan
火车东站桥头,huo'che'dong'zhan'qiao'tou
