阿尔罕不拉宫,a'er'han'bu'la'gong
阿拉伯建筑,a'la'bo'jian'zhu
爱奥尼克柱式,ai'ao'ni'ke'zhu'shi
埃及,ai'ji
艾斯现场,ai'si'xian'chang
巴黎凯旋门,ba'li'kai'xuan'men
巴洛克式,ba'luo'ke'shi
巴塞罗那,ba'sai'luo'na
巴特略公寓,ba'te'lue'gong'yu
百尺为形,bai'chi'wei'xing
白底上的黑色方块,bai'di'shang'de'hei'se'fang'kuai
保尔顿,bao'er'dun
包豪斯,bao'hao'si
保和殿,bao'he'dian
彼得贝伦斯,bi'de'bei'lun'si
彼得披乌斯,bi'de'pi'wu'si
变废为宝,bian'fei'wei'bao
表面处理知识,biao'mian'chu'li'zhi'shi
表现技法,biao'xian'ji'fa
勃兰登堡门,bo'lan'deng'bao'men
玻璃,bo'li
波洛克,bo'luo'ke
波普艺术,bo'pu'yi'shu
博依斯,bo'yi'si
财产保险,cai'chan'bao'xian
材料,cai'liao
材料与工艺,cai'liao'yu'gong'yi
材质,cai'zhi
产品安全认证,chan'pin'an'quan'ren'zheng
产品材料与加工工艺,chan'pin'cai'liao'yu'jia'gong'gong'yi
产品开发流程,chan'pin'kai'fa'liu'cheng
产品快速表现,chan'pin'kuai'su'biao'xian
产品设计,chan'pin'she'ji
产品设计方法,chan'pin'she'ji'fang'fa
产品设计设计理论,chan'pin'she'ji'she'ji'li'lun
产品设计师,chan'pin'she'ji'shi
成本核算,cheng'ben'he'suan
重檐,chong'yan
抽象表现艺术作品,chou'xiang'biao'xian'yi'shu'zuo'pin
抽象海报设计,chou'xiang'hai'bao'she'ji
抽象艺术,chou'xiang'yi'shu
创意,chuang'yi
创造论,chuang'zao'lun
创造性,chuang'zao'xing
创造性思维训练,chuang'zao'xing'si'wei'xun'lian
达达主义,da'da'zhu'yi
大地艺术,da'di'yi'shu
大学计算机基础三个代表,da'xue'ji'suan'ji'ji'chu'san'ge'dai'biao
丹麦设计,dan'mai'she'ji
德国设计,de'guo'she'ji
德语,de'yu
第三国际纪念塔,di'san'guo'ji'ji'nian'ta
第十四号椅,di'shi'si'hao'yi
地域产业,di'yu'chan'ye
地域振兴,di'yu'zhen'xing
电脑,dian'nao
雕塑,diao'su
斗拱,dou'gong
读写能力,du'xie'neng'li
端门,duan'men
多立克柱式,duo'li'ke'zhu'shi
多媒体制作,duo'mei'ti'zhi'zuo
多学科的交流,duo'xue'ke'de'jiao'liu
多元文化意识,duo'yuan'wen'hua'yi'shi
法古斯工厂,fa'gu'si'gong'chang
法规,fa'gui
法国,fa'guo
发明与创新,fa'ming'yu'chuang'xin
发现形式构成之美,fa'xian'xing'shi'gou'cheng'zhi'mei
凡尔赛宫,fan'er'sai'gong
方尖碑,fang'jian'bei
分析,fen'xi
风格,feng'ge
风格收集,feng'ge'shou'ji
符号学,fu'hao'xue
弗兰克盖里,fu'lan'ke'gai'li
概念,gai'nian
概念草图,gai'nian'cao'tu
概念模型制作,gai'nian'mo'xing'zhi'zuo
概念设计,gai'nian'she'ji
概念艺术,gai'nian'yi'shu
感觉训练,gan'jue'xun'lian
高东尼奥高蒂,gao'dong'ni'ao'gao'di
哥萨克骑兵,ge'sa'ke'qi'bing
哥特式,ge'te'shi
哥特式家具,ge'te'shi'jia'ju
哥特式建筑,ge'te'shi'jian'zhu
哥特式教堂,ge'te'shi'jiao'tang
工程技术,gong'cheng'ji'shu
工程学,gong'cheng'xue
宫崎清,gong'qi'qing
拱券,gong'xuan
工学,gong'xue
工业设计,gong'ye'she'ji
工业设计工科,gong'ye'she'ji'gong'ke
工业设计工科一班,gong'ye'she'ji'gong'ke'yi'ban
工业设计史,gong'ye'she'ji'shi
工业设计师,gong'ye'she'ji'shi
工业设计文科,gong'ye'she'ji'wen'ke
工业设计专业,gong'ye'she'ji'zhuan'ye
工作样机制作,gong'zuo'yang'ji'zhi'zuo
构成,gou'cheng
构成主义,gou'cheng'zhu'yi
构图号,gou'tu'hao
估算,gu'suan
观点,guan'dian
观念艺术,guan'nian'yi'shu
赫尔库兰姆遗址,he'er'ku'lan'mu'yi'zhi
红黄蓝的构成,hong'huang'lan'de'gou'cheng
环境意识,huan'jing'yi'shi
环境因素,huan'jing'yin'su
基础管理设计,ji'chu'guan'li'she'ji
基础设计,ji'chu'she'ji
计划,ji'hua
技能,ji'neng
技术,ji'shu
计算机辅助工程设计,ji'suan'ji'fu'zhu'gong'cheng'she'ji
计算机辅助工业设计,ji'suan'ji'fu'zhu'gong'ye'she'ji
计算机生成图象,ji'suan'ji'sheng'cheng'tu'xiang
计算机图形表达,ji'suan'ji'tu'xing'biao'da
机械工程,ji'xie'gong'cheng
机械原理,ji'xie'yuan'li
机械制图术,ji'xie'zhi'tu'shu
即兴号,ji'xing'hao
机智设计,ji'zhi'she'ji
加工工艺,jia'gong'gong'yi
加工现场管理,jia'gong'xian'chang'guan'li
家用电器,jia'yong'dian'qi
驾照,jia'zhao
建模,jian'mo
简约,jian'yue
建筑的人机工程学,jian'zhu'de'ren'ji'gong'cheng'xue
建筑与室内设计基础,jian'zhu'yu'shi'nei'she'ji'ji'chu
江南大学,jiang'nan'da'xue
交互设计,jiao'hu'she'ji
教师证,jiao'shi'zheng
交通工具,jiao'tong'gong'ju
结构评估,jie'gou'ping'gu
结构设计,jie'gou'she'ji
借景的应用,jie'jing'de'ying'yong
界面环境设计,jie'mian'huan'jing'she'ji
界面设计师,jie'mian'she'ji'shi
金罗盘奖,jin'luo'pan'jiang
金属,jin'shu
经济学,jing'ji'xue
卷棚,juan'peng
开花的苹果树,kai'hua'de'ping'guo'shu
柯布西埃,ke'bu'xi'ai
柯拉尔斯,ke'la'er'si
克里斯的靠椅,ke'li'si'de'kao'yi
可用性测试,ke'yong'xing'ce'shi
口头及书面的表达,kou'tou'ji'shu'mian'de'biao'da
快速成型,kuai'su'cheng'xing
快速可视化,kuai'su'ke'shi'hua
赖特,lai'te
浪漫时期,lang'man'shi'qi
浪漫主义,lang'man'zhu'yi
雷蒙设计,lei'meng'she'ji
立体构成,li'ti'gou'cheng
立体主义,li'ti'zhu'yi
伦理学,lun'li'xue
洛可可式,luo'ke'ke'shi
马列维奇,ma'lie'wei'qi
毛泽东思想邓小平理论和三个代表重要思想概论,mao'ze'dong'si'xiang'deng'xiao'ping'li'lun'he'san'ge'dai'biao'zhong'yao'si'xiang'gai'lun
美国白宫,mei'guo'bai'gong
美国国会大厦,mei'guo'guo'hui'da'sha
美国设计,mei'guo'she'ji
美国制造体系,mei'guo'zhi'zao'ti'xi
美学,mei'xue
蒙德上的,meng'de'shang'de
米拉公寓,mi'la'gong'yu
米罗,mi'luo
米斯,mi'si
明代家具,ming'dai'jia'ju
模型结构,mo'xing'jie'gou
模型结构认识,mo'xing'jie'gou'ren'shi
模型制作,mo'xing'zhi'zuo
木质,mu'zhi
欧洲家具发展阶段,ou'zhou'jia'ju'fa'zhan'jie'duan
帕提农神庙,pa'ti'nong'shen'miao
庞贝遗址,pang'bei'yi'zhi
评估,ping'gu
平面,ping'mian
平面构成,ping'mian'gou'cheng
平面设计,ping'mian'she'ji
企业实习,qi'ye'shi'xi
企业形象设计,qi'ye'xing'xiang'she'ji
千尺为势,qian'chi'wei'shi
乾清门,qian'qing'men
千叶大学,qian'ye'da'xue
切普代尔,qie'pu'dai'er
切伍德,qie'wu'de
情人们听鸟儿算命,qing'ren'men'ting'niao'er'suan'ming
青蛙设计,qing'wa'she'ji
趣味,qu'wei
全尺寸模型制作,quan'chi'cun'mo'xing'zhi'zuo
人机工程学,ren'ji'gong'cheng'xue
人际交往,ren'ji'jiao'wang
人体测量与作业分析,ren'ti'ce'liang'yu'zuo'ye'fen'xi
人体工程学,ren'ti'gong'cheng'xue
人投鸟石子,ren'tou'niao'shi'zi
认知与消费心理,ren'zhi'yu'xiao'fei'xin'li
日本,ri'ben
日本设计,ri'ben'she'ji
日用生活品,ri'yong'sheng'huo'pin
日语,ri'yu
三大柱式,san'da'zhu'shi
三维造型,san'wei'zao'xing
色彩,se'cai
色彩构成,se'cai'gou'cheng
社会学基础理论,she'hui'xue'ji'chu'li'lun
设计,she'ji
设计表现,she'ji'biao'xian
设计大师,she'ji'da'shi
设计方法,she'ji'fang'fa
设计管理,she'ji'guan'li
设计管理人员,she'ji'guan'li'ren'yuan
设计开发,she'ji'kai'fa
设计理论,she'ji'li'lun
设计文案表达,she'ji'wen'an'biao'da
设计艺术学,she'ji'yi'shu'xue
设计战略,she'ji'zhan'lue
设计专利,she'ji'zhuan'li
设计作品,she'ji'zuo'pin
摄影,she'ying
神圣家族大教堂,shen'sheng'jia'zu'da'jiao'tang
十八世纪家具,shi'ba'shi'ji'jia'ju
市场,shi'chang
市场营销,shi'chang'ying'xiao
市场营销实践,shi'chang'ying'xiao'shi'jian
时间,shi'jian
时间管理,shi'jian'guan'li
实施,shi'shi
实用,shi'yong
手绘,shou'hui
手绘表达,shou'hui'biao'da
数理知识,shu'li'zhi'shi
属性研究水,shu'xing'yan'jiu'shui
硕士,shuo'shi
宋代瓷器,song'dai'ci'qi
塑料,su'liao
泰国设计,tai'guo'she'ji
太和殿,tai'he'dian
陶瓷,tao'ci
条款,tiao'kuan
听觉味觉心情的视觉化,ting'jue'wei'jue'xin'qing'de'shi'jue'hua
外语,wai'yu
弯木工艺,wan'mu'gong'yi
维也纳咖啡馆椅,wei'ye'na'ka'fei'guan'yi
文化论,wen'hua'lun
文学,wen'xue
庑殿,wu'dian
庑殿顶,wu'dian'ding
屋檐,wu'yan
西班牙巴鄂,xi'ban'ya'ba'e
西班牙设计,xi'ban'ya'she'ji
西班牙文化,xi'ban'ya'wen'hua
希腊,xi'la
西欧,xi'ou
西欧设计,xi'ou'she'ji
系统论,xi'tong'lun
现代艺术,xian'dai'yi'shu
现代主义,xian'dai'zhu'yi
香榭丽舍大街,xiang'xie'li'she'da'jie
消费电子产品,xiao'fei'dian'zi'chan'pin
效果图,xiao'guo'tu
歇山,xie'shan
写生,xie'sheng
新古典主义,xin'gu'dian'zhu'yi
