阿不都热希提,a'bu'dou're'xi'ti
阿茨,a'ci
阿次,a'ci
阿尔金山,a'er'jin'shan
阿尔金山脉,a'er'jin'shan'mai
阿尔勒,a'er'le
阿尔曼超市,a'er'man'chao'shi
阿尔先,a'er'xian
阿凡提物流,a'fan'ti'wu'liu
阿格尔,a'ge'er
阿洪口,a'hong'kou
阿吉买里,a'ji'mai'li
阿克,a'ke
阿克艾日克,a'ke'ai'ri'ke
阿克艾日克村,a'ke'ai'ri'ke'cun
阿克布拉克,a'ke'bu'la'ke
阿克布拉克村,a'ke'bu'la'ke'cun
阿克墩,a'ke'dun
阿克墩村,a'ke'dun'cun
阿克库勒,a'ke'ku'le
阿克恰勒,a'ke'qia'le
阿克山,a'ke'shan
阿克苏普乡,a'ke'su'pu'xiang
阿克塔格,a'ke'ta'ge
阿克塔木,a'ke'ta'mu
阿克塔木村,a'ke'ta'mu'cun
阿克塔什,a'ke'ta'shen
阿克塔什村,a'ke'ta'shen'cun
阿克提坎,a'ke'ti'kan
阿克提坎墩,a'ke'ti'kan'dun
阿克提坎墩乡,a'ke'ti'kan'dun'xiang
阿克亚,a'ke'ya
阿克亚村,a'ke'ya'cun
阿克亚苏,a'ke'ya'su
阿库木,a'ku'mu
阿拉干,a'la'gan
阿拉沟,a'la'gou
阿拉塔格,a'la'ta'ge
阿伦渠村,a'lun'qu'cun
阿其克,a'qi'ke
阿恰塔格,a'qia'ta'ge
阿羌乡,a'qiang'xiang
阿热勒乡,a're'le'xiang
阿热买里,a're'mai'li
阿日希,a'ri'xi
阿日西村,a'ri'xi'cun
阿胜牛氏辈,a'sheng'niu'shi'bei
阿斯干,a'si'gan
阿瓦特,a'wa'te
阿瓦提村,a'wa'ti'cun
阿瓦提农场,a'wa'ti'nong'chang
阿瓦提乡,a'wa'ti'xiang
阿吾提,a'wu'ti
阿西来,a'xi'lai
阿牙克村,a'ya'ke'cun
阿依丁,a'yi'ding
阿依莲,a'yi'lian
爱登堡,ai'deng'bao
艾顶,ai'ding
艾尔宾,ai'er'bin
艾尔肯,ai'er'ken
艾克拉姆,ai'ke'la'mu
艾兰巴格,ai'lan'ba'ge
艾兰巴格村,ai'lan'ba'ge'cun
艾力斯,ai'li'si
艾列克,ai'lie'ke
爱买超市,ai'mai'chao'shi
艾日克,ai'ri'ke
艾吾拉,ai'wu'la
爱心超市,ai'xin'chao'shi
艾则孜,ai'ze'zi
安东石油,an'dong'shi'you
安民山,an'min'shan
安踏体育,an'ta'ti'yu
昂格特勒克,ang'ge'te'le'ke
奥尔曼,ao'er'man
奥康,ao'kang
奥特拉克,ao'te'la'ke
奥依库如克,ao'yi'ku'ru'ke
奥依亚依拉克乡,ao'yi'ya'yi'la'ke'xiang
八大队,ba'da'dui
八道沟,ba'dao'gou
芭蒂娜,ba'di'na
巴格,ba'ge
巴格艾日克,ba'ge'ai'ri'ke
巴格艾日克乡,ba'ge'ai'ri'ke'xiang
巴格托格拉克,ba'ge'tuo'ge'la'ke
