阿尼林油,a'ni'lin'you
阿西通,a'xi'tong
氨基苯,an'ji'ben
氨基丙烷,an'ji'bing'wan
氨基磺酸,an'ji'huang'suan
氨基甲酸钾,an'ji'jia'suan'jia
氨基甲烷,an'ji'jia'wan
氨基三乙酸,an'ji'san'yi'suan
氨基塑料,an'ji'su'liao
氨基戊二酸,an'ji'wu'er'suan
氨基乙醇,an'ji'yi'chun
氨基乙烷,an'ji'yi'wan
桉树醇,an'shu'chun
桉树脑,an'shu'nao
氨水,an'shui
安息香酸,an'xi'xiang'suan
安息香酸钠,an'xi'xiang'suan'na
桉叶油素,an'ye'you'su
白垩,bai'e
白矾,bai'fan
白口铁,bai'kou'tie
白口铸铁,bai'kou'zhu'tie
白铅粉,bai'qian'fen
白炭黑,bai'tan'hei
柏油,bai'you
白云石,bai'yun'shi
宝石蓝,bao'shi'lan
保险粉,bao'xian'fen
钡餐,bei'can
焙碱,bei'jian
苯胺,ben'an
苯并噻唑次磺酰胺,ben'bing'sai'zuo'ci'huang'xian'an
苯醋酸,ben'cu'suan
苯二胺,ben'er'an
苯酚,ben'fen
苯酐,ben'gan
苯基,ben'ji
苯基醋酸,ben'ji'cu'suan
苯基甲烷,ben'ji'jia'wan
苯基腈,ben'ji'jing
苯甲醇,ben'jia'chun
苯甲腈,ben'jia'jing
苯甲酸,ben'jia'suan
苯甲酸甲酯,ben'jia'suan'jia'zhi
苯甲酸钠,ben'jia'suan'na
苯三酚,ben'san'fen
苯氧树脂,ben'yang'shu'zhi
苯乙腈,ben'yi'jing
苯乙酸,ben'yi'suan
苯乙烯,ben'yi'xi
苯用酰氯,ben'yong'xian'lv
吡啶,bi'ding
蓖麻油,bi'ma'you
苄醇,bian'chun
变色硅胶,bian'se'gui'jiao
变压器油,bian'ya'qi'you
苄酯,bian'zhi
鳔胶,biao'jiao
表面活性剂,biao'mian'huo'xing'ji
丙醇,bing'chun
丙醇酸,bing'chun'suan
冰醋酸,bing'cu'suan
丙二胺,bing'er'an
丙二醇,bing'er'chun
冰晶石,bing'jing'shi
丙三醇,bing'san'chun
