冰积土,bing'ji'tu
残积土,can'ji'tu
冲积土,chong'ji'tu
粗砂,cu'sha
粉砂,fen'sha
粉土,fen'tu
粉质黏土,fen'zhi'nian'tu
风积土,feng'ji'tu
洪积土,hong'ji'tu
混合土,hun'he'tu
角砾,jiao'li
块石,kuai'shi
老沉积土,lao'chen'ji'tu
砾砂,li'sha
卵石,luan'shi
泥炭,ni'tan
泥炭质土,ni'tan'zhi'tu
黏土,nian'tu
黏质粉土,nian'zhi'fen'tu
漂石,piao'shi
坡积土,po'ji'tu
砂质粉土,sha'zhi'fen'tu
碎石,sui'shi
碎石土,sui'shi'tu
无机土,wu'ji'tu
细砂,xi'sha
新近沉积土,xin'jin'chen'ji'tu
有机质土,you'ji'zhi'tu
淤积土,yu'ji'tu
淤泥,yu'ni
淤泥质粉质黏土,yu'ni'zhi'fen'zhi'nian'tu
淤泥质黏土,yu'ni'zhi'nian'tu
淤泥质土,yu'ni'zhi'tu
圆砾,yuan'li
中砂,zhong'sha
