凹缘菱纹叶蝉,ao'yuan'ling'wen'ye'chan
八点广翅蜡蝉,ba'dian'guang'chi'la'chan
八点灰灯蛾,ba'dian'hui'deng'e
白蛾蜡蝉,bai'e'la'chan
白粉病,bai'fen'bing
白囊蓑蛾,bai'nang'suo'e
斑须蝽,ban'xu'chun
碧蛾蜡蝉,bi'e'la'chan
扁刺蛾,bian'ci'e
薄球蜗牛,bo'qiu'wo'niu
草地螟,cao'di'ming
侧多食跗线螨,ce'duo'shi'fu'xian'man
侧多食附线螨,ce'duo'shi'fu'xian'man
茶白毒蛾,cha'bai'du'e
茶白星病,cha'bai'xing'bing
茶斑蛾,cha'ban'e
茶饼病,cha'bing'bing
茶材小蠹,cha'cai'xiao'du
茶蚕,cha'can
茶长卷叶蛾,cha'chang'juan'ye'e
茶橙瘿螨,cha'cheng'ying'man
茶尺蠖,cha'chi'huo
茶赤叶斑病,cha'chi'ye'ban'bing
茶胴枯病,cha'dong'ku'bing
茶短须螨,cha'duan'xu'man
茶二叉蚜,cha'er'cha'ya
茶发毛病,cha'fa'mao'bing
茶膏药病,cha'gao'yao'bing
茶根癌病,cha'gen'ai'bing
茶棍蓟马,cha'gun'ji'ma
茶褐色叶斑病,cha'he'se'ye'ban'bing
茶褐蓑蛾,cha'he'suo'e
茶黑毒蛾,cha'hei'du'e
茶红根腐病,cha'hong'gen'fu'bing
茶红颈天牛,cha'hong'jing'tian'niu
茶红螨,cha'hong'man
茶红锈藻病,cha'hong'xiu'zao'bing
茶黄蓟马,cha'huang'ji'ma
茶黄硬蓟马,cha'huang'ying'ji'ma
茶角盲蝽,cha'jiao'mang'chun
茶角胸叶甲,cha'jiao'xiong'ye'jia
茶卷叶蛾,cha'juan'ye'e
茶梨蚧,cha'li'jie
茶丽纹象甲,cha'li'wen'xiang'jia
茶轮斑病,cha'lun'ban'bing
茶毛虫,cha'mao'chong
茶煤病,cha'mei'bing
茶苗白绢病,cha'miao'bai'juan'bing
茶苗根结线虫病,cha'miao'gen'jie'xian'chong'bing
茶牡蛎蚧,cha'mu'li'jie
茶树苔藓地衣,cha'shu'tai'xian'di'yi
茶蓑蛾,cha'suo'e
茶炭疽病,cha'tan'ju'bing
茶天牛,cha'tian'niu
茶菟丝子,cha'tu'si'zi
茶网饼病,cha'wang'bing'bing
茶网蝽,cha'wang'chun
茶细蛾,cha'xi'e
茶线腐病,cha'xian'fu'bing
茶小卷叶蛾,cha'xiao'juan'ye'e
茶芽枯病,cha'ya'ku'bing
茶芽瘿蚊,cha'ya'ying'wen
茶叶瘿螨,cha'ye'ying'man
茶银尺蠖,cha'yin'chi'huo
茶圆赤星病,cha'yuan'chi'xing'bing
茶云纹叶枯病,cha'yun'wen'ye'ku'bing
茶藻斑病,cha'zao'ban'bing
茶枝黑痣病,cha'zhi'hei'zhi'bing
茶枝镰蛾,cha'zhi'lian'e
茶枝梢黑点病,cha'zhi'shao'hei'dian'bing
茶紫纹羽病,cha'zi'wen'yu'bing
长白蚧,chang'bai'jie
长额负蝗,chang'e'fu'huang
赤须盲蝽,chi'xu'mang'chun
吹绵蚧,chui'mian'jie
春尺蠖,chun'chi'huo
翠纹金刚钻,cui'wen'jin'gang'zuan
大灰象甲,da'hui'xiang'jia
大麻白斑病,da'ma'bai'ban'bing
大麻白星病,da'ma'bai'xing'bing
大麻霉斑病,da'ma'mei'ban'bing
大麻霜霉病,da'ma'shuang'mei'bing
大麻跳甲,da'ma'tiao'jia
大麻小食心虫,da'ma'xiao'shi'xin'chong
大螟,da'ming
大青叶蝉,da'qing'ye'chan
大蓑蛾,da'suo'e
大造桥虫,da'zao'qiao'chong
盗毒蛾,dao'du'e
稻棘缘蝽,dao'ji'yuan'chun
稻绿蝽,dao'lv'chun
稻象甲,dao'xiang'jia
点绿蝽,dian'lv'chun
鼎点金刚钻,ding'dian'jin'gang'zuan
短额负蝗,duan'e'fu'huang
二斑叶螨,er'ban'ye'man
非洲蝼蛄,fei'zhou'lou'gu
粉纹夜蛾,fen'wen'ye'e
柑橘粉虱,gan'ju'fen'shi
甘蓝夜蛾,gan'lan'ye'e
甘蔗白螟,gan'zhe'bai'ming
甘蔗白条病,gan'zhe'bai'tiao'bing
甘蔗白叶病,gan'zhe'bai'ye'bing
甘蔗扁角飞虱,gan'zhe'bian'jiao'fei'shi
甘蔗长蝽,gan'zhe'chang'chun
甘蔗赤腐病,gan'zhe'chi'fu'bing
甘蔗二点螟,gan'zhe'er'dian'ming
甘蔗凤梨病,gan'zhe'feng'li'bing
甘蔗褐条病,gan'zhe'he'tiao'bing
甘蔗黑穗病,gan'zhe'hei'sui'bing
甘蔗红粉蚧,gan'zhe'hong'fen'jie
甘蔗虎斑病,gan'zhe'hu'ban'bing
甘蔗花叶病,gan'zhe'hua'ye'bing
甘蔗黄斑病,gan'zhe'huang'ban'bing
甘蔗灰粉蚧,gan'zhe'hui'fen'jie
甘蔗蓟马,gan'zhe'ji'ma
甘蔗轮斑病,gan'zhe'lun'ban'bing
甘蔗绵蚜,gan'zhe'mian'ya
甘蔗梢腐病,gan'zhe'shao'fu'bing
甘蔗霜霉病,gan'zhe'shuang'mei'bing
甘蔗宿根矮化病,gan'zhe'su'gen'ai'hua'bing
甘蔗褪绿条纹病,gan'zhe'tui'lv'tiao'wen'bing
甘蔗线虫病,gan'zhe'xian'chong'bing
甘蔗锈病,gan'zhe'xiu'bing
甘蔗眼斑病,gan'zhe'yan'ban'bing
甘蔗叶萎病,gan'zhe'ye'wei'bing
高粱条螟,gao'liang'tiao'ming
高粱蚜,gao'liang'ya
沟金针虫,gou'jin'zhen'chong
广露螽蟖,guang'lu'zhong'si
龟蜡蚧,gui'la'jie
褐边绿刺蛾,he'bian'lv'ci'e
褐刺蛾,he'ci'e
黑翅土白蚁,hei'chi'tu'bai'yi
黑刺粉虱,hei'ci'fen'shi
黑点银纹夜蛾,hei'dian'yin'wen'ye'e
黑绒金龟,hei'rong'jin'gui
黑绒金龟子,hei'rong'jin'gui'zi
红蜡蚧,hong'la'jie
红麻斑点病,hong'ma'ban'dian'bing
红麻根结线虫病,hong'ma'gen'jie'xian'chong'bing
红麻黄麻立枯病,hong'ma'huang'ma'li'ku'bing
红麻灰霉病,hong'ma'hui'mei'bing
红麻炭疽病,hong'ma'tan'ju'bing
红麻腰折病,hong'ma'yao'zhe'bing
红麻叶霉病,hong'ma'ye'mei'bing
红缘灯蛾,hong'yuan'deng'e
红棕灰夜蛾,hong'zong'hui'ye'e
华北蝼蛄,hua'bei'lou'gu
花蓟马,hua'ji'ma
花生蚜,hua'sheng'ya
黄草地螟,huang'cao'di'ming
黄刺蛾,huang'ci'e
黄蓟马,huang'ji'ma
黄肩绿蝽,huang'jian'lv'chun
黄卷叶蛾,huang'juan'ye'e
黄麻根腐病,huang'ma'gen'fu'bing
黄麻根结线虫病,huang'ma'gen'jie'xian'chong'bing
黄麻褐斑病,huang'ma'he'ban'bing
黄麻黑点炭疽病,huang'ma'hei'dian'tan'ju'bing
黄麻茎斑病,huang'ma'jing'ban'bing
黄麻茎腐病,huang'ma'jing'fu'bing
黄麻枯腐病,huang'ma'ku'fu'bing
黄麻枯萎病,huang'ma'ku'wei'bing
黄麻立枯病,huang'ma'li'ku'bing
黄麻苗枯病,huang'ma'miao'ku'bing
黄麻桥夜蛾,huang'ma'qiao'ye'e
黄麻炭疽病,huang'ma'tan'ju'bing
黄麻细菌性斑点病,huang'ma'xi'jun'xing'ban'dian'bing
黄麻叶枯病,huang'ma'ye'ku'bing
黄曲条跳甲,huang'qu'tiao'tiao'jia
黄星天牛,huang'xing'tian'niu
灰巴蜗牛,hui'ba'wo'niu
假眼小绿叶蝉,jia'yan'xiao'lv'ye'chan
角蜡蚧,jiao'la'jie
焦条丽夜蛾,jiao'tiao'li'ye'e
截形叶螨,jie'xing'ye'man
锦葵丽夜蛾,jin'kui'li'ye'e
桔黄粉虱,ju'huang'fen'shi
咖啡木蠹蛾,ka'fei'mu'du'e
咖啡小爪螨,ka'fei'xiao'zhao'man
可可广翅蜡蝉,ke'ke'guang'chi'la'chan
枯萎病,ku'wei'bing
蓝尾迷萤叶甲,lan'wei'mi'ying'ye'jia
立枯病,li'ku'bing
丽绿刺蛾,li'lv'ci'e
列当,lie'dang
绿鳞象甲,lv'lin'xiang'jia
绿盲蝽,lv'mang'chun
绿象甲,lv'xiang'jia
麻天牛,ma'tian'niu
美国白蛾,mei'guo'bai'e
蒙古灰象甲,meng'gu'hui'xiang'jia
棉长管蚜,mian'chang'guan'ya
棉大卷叶螟,mian'da'juan'ye'ming
棉根天牛,mian'gen'tian'niu
棉根蚜,mian'gen'ya
棉褐带卷蛾,mian'he'dai'juan'e
棉黑根腐病,mian'hei'gen'fu'bing
棉黑蚜,mian'hei'ya
棉红蝽,mian'hong'chun
棉红铃虫,mian'hong'ling'chong
棉花根结线虫病,mian'hua'gen'jie'xian'chong'bing
棉花褐斑病,mian'hua'he'ban'bing
棉花红腐病,mian'hua'hong'fu'bing
棉花红黄叶枯病,mian'hua'hong'huang'ye'ku'bing
棉花弧丽金龟,mian'hua'hu'li'jin'gui
棉花黄萎病,mian'hua'huang'wei'bing
棉花角斑病,mian'hua'jiao'ban'bing
棉花茎枯病,mian'hua'jing'ku'bing
棉花枯萎病,mian'hua'ku'wei'bing
棉花轮纹病,mian'hua'lun'wen'bing
棉花纽带线虫病,mian'hua'niu'dai'xian'chong'bing
棉花肾形线虫病,mian'hua'shen'xing'xian'chong'bing
棉花炭疽病,mian'hua'tan'ju'bing
棉花叶烧病,mian'hua'ye'shao'bing
棉花疫病,mian'hua'yi'bing
棉蝗,mian'huang
棉尖象,mian'jian'xiang
棉茎木蠹蛾,mian'jing'mu'du'e
棉铃虫,mian'ling'chong
棉铃黑果病,mian'ling'hei'guo'bing
棉铃红粉病,mian'ling'hong'fen'bing
棉铃灰霉病,mian'ling'hui'mei'bing
