除尘风机,chu'chen'feng'ji
除尘器,chu'chen'qi
除盐水箱,chu'yan'shui'xiang
除氧器,chu'yang'qi
电动闸板阀,dian'dong'zha'ban'fa
对位装置,dui'wei'zhuang'zhi
二次除尘器,er'ci'chu'chen'qi
发电机,fa'dian'ji
副省煤器,fu'sheng'mei'qi
干熄焦,gan'xi'jiao
干熄焦本体设备,gan'xi'jiao'ben'ti'she'bei
干熄焦锅炉系统,gan'xi'jiao'guo'lu'xi'tong
干熄炉本体,gan'xi'lu'ben'ti
干熄炉鼓风装置,gan'xi'lu'gu'feng'zhuang'zhi
给水泵类设备,gei'shui'beng'lei'she'bei
刮板机,gua'ban'ji
锅炉的主要功能,guo'lu'de'zhu'yao'gong'neng
锅炉的主要结构,guo'lu'de'zhu'yao'jie'gou
锅炉给水系统,guo'lu'gei'shui'xi'tong
锅炉供水设备,guo'lu'gong'shui'she'bei
环境除尘机及输灰设备,huan'jing'chu'chen'ji'ji'shu'hui'she'bei
加湿机,jia'shi'ji
加药装置,jia'yao'zhuang'zhi
焦罐台车,jiao'guan'tai'che
排焦装置,pai'jiao'zhuang'zhi
皮带机,pi'dai'ji
汽轮机,qi'lun'ji
气体循环设备,qi'ti'xun'huan'she'bei
提升机,ti'sheng'ji
旋转焦罐,xuan'zhuan'jiao'guan
旋转密封阀,xuan'zhuan'mi'feng'fa
循环风机,xun'huan'feng'ji
一次除尘器,yi'ci'chu'chen'qi
余热锅炉,yu're'guo'lu
余热锅炉的日常点检及维护,yu're'guo'lu'de'ri'chang'dian'jian'ji'wei'hu
振动给料器,zhen'dong'gei'liao'qi
蒸汽发电设备,zheng'qi'fa'dian'she'bei
正压输灰装置,zheng'ya'shu'hui'zhuang'zhi
装焦设备,zhuang'jiao'she'bei
装入装置,zhuang'ru'zhuang'zhi
