八角庙,ba'jiao'miao
八十五队,ba'shi'wu'dui
百货公司,bai'huo'gong'si
包装厂,bao'zhuang'chang
北辰办事处,bei'chen'ban'shi'chu
北辰水郡,bei'chen'shui'jun
北辰小学,bei'chen'xiao'xue
北门口,bei'men'kou
蚕种场,can'zhong'chang
城北客运总站,cheng'bei'ke'yun'zong'zhan
城北体育场,cheng'bei'ti'yu'chang
城南公安分局,cheng'nan'gong'an'fen'ju
城南客运中心,cheng'nan'ke'yun'zhong'xin
绸厂,chou'chang
春天花园,chun'tian'hua'yuan
大寨村,da'zhai'cun
氮肥厂,dan'fei'chang
邓家码头,deng'jia'ma'tou
佛手山,fo'shou'shan
福泽花园,fu'ze'hua'yuan
高岩,gao'yan
工业园区出口,gong'ye'yuan'qu'chu'kou
广安大酒店,guang'an'da'jiu'dian
广二中,guang'er'zhong
广福加油站,guang'fu'jia'you'zhan
广福市场,guang'fu'shi'chang
广花路口,guang'hua'lu'kou
广宁市场,guang'ning'shi'chang
广武路口,guang'wu'lu'kou
洪州大市场,hong'zhou'da'shi'chang
厚街,hou'jie
环城路口,huan'cheng'lu'kou
火柴街,huo'chai'jie
火柴街口,huo'chai'jie'kou
急救中心,ji'jiu'zhong'xin
建华路中段,jian'hua'lu'zhong'duan
建兴街口,jian'xing'jie'kou
交警二大队,jiao'jing'er'da'dui
界坡村,jie'po'cun
金广村,jin'guang'cun
奎阁办事处,kui'ge'ban'shi'chu
利民市场,li'min'shi'chang
龙马广场,long'ma'guang'chang
麻纺厂,ma'fang'chang
民安上街,min'an'shang'jie
民安上街市场,min'an'shang'jie'shi'chang
木桥村,mu'qiao'cun
南门市场,nan'men'shi'chang
农发行,nong'fa'hang
农机局,nong'ji'ju
农资宾馆,nong'zi'bin'guan
牌坊新村,pai'fang'xin'cun
区财保公司,qu'cai'bao'gong'si
区财政局,qu'cai'zheng'ju
区工行宿舍,qu'gong'hang'su'she
区建行,qu'jian'hang
区治安执法大队,qu'zhi'an'zhi'fa'da'dui
人工湖,ren'gong'hu
人民医院新院,ren'min'yi'yuan'xin'yuan
人事局,ren'shi'ju
三八蚕房,san'ba'can'fang
三桥村,san'qiao'cun
商业街,shang'ye'jie
时代晶华,shi'dai'jing'hua
市二人民医院,shi'er'ren'min'yi'yuan
世纪饭店,shi'ji'fan'dian
世纪花园,shi'ji'hua'yuan
市教育局,shi'jiao'yu'ju
市经贸委,shi'jing'mao'wei
市农发行,shi'nong'fa'hang
市农机局,shi'nong'ji'ju
石桥村,shi'qiao'cun
市图书馆,shi'tu'shu'guan
市委,shi'wei
市卫生局,shi'wei'sheng'ju
市畜牧局,shi'xu'mu'ju
实验小学,shi'yan'xiao'xue
市运管处,shi'yun'guan'chu
市政府,shi'zheng'fu
市政府裙楼,shi'zheng'fu'qun'lou
书香苑,shu'xiang'yuan
丝绸花园,si'chou'hua'yuan
四九滩电站,si'jiu'tan'dian'zhan
四十米大街,si'shi'mi'da'jie
思源广场,si'yuan'guang'chang
塑料厂,su'liao'chang
团堡山,tuan'bao'shan
万新四街,wan'xin'si'jie
万新一街,wan'xin'yi'jie
武警支队,wu'jing'zhi'dui
洗脚溪,xi'jiao'xi
西溪花园,xi'xi'hua'yuan
小城镇,xiao'cheng'zhen
小平故里,xiao'ping'gu'li
协兴市场,xie'xing'shi'chang
新华书店,xin'hua'shu'dian
新南门,xin'nan'men
兴亚酒店,xing'ya'jiu'dian
亚都酒店,ya'du'jiu'dian
移动公司,yi'dong'gong'si
迎宾馆,ying'bin'guan
友谊中学,you'yi'zhong'xue
友谊中学后门,you'yi'zhong'xue'hou'men
枣山,zao'shan
枣山村,zao'shan'cun
枣山客运站,zao'shan'ke'yun'zhan
政府大道,zheng'fu'da'dao
植物油厂,zhi'wu'you'chang
制药厂,zhi'yao'chang
职业技术学院,zhi'ye'ji'shu'xue'yuan
中桥,zhong'qiao
中桥建材市场,zhong'qiao'jian'cai'shi'chang
种子公司,zhong'zi'gong'si
紫金花园,zi'jin'hua'yuan
综合食品厂,zong'he'shi'pin'chang
