嗌交,ai'jiao
揼扁你,beng'bian'ni
俾你,bi'ni
抦镬你,bing'huo'ni
嘈交,cao'jiao
唓唓,che'che
出嚟,chu'li
氹氹转,dang'dang'zhuan
氹人,dang'ren
到咗未,dao'zuo'wei
得嘁,de'qi
睇下,di'xia
屙尿,e'niao
呃人,e'ren
屙屎,e'shi
瞓觉,fen'jiao
旮旯底,ga'la'di
咁啱,gan'yan
搞掂,gao'dian
憨居居,han'ju'ju
好攰,hao'gui
鸡乸,ji'na
拣嘢,jian'ye
冚家铲,kan'jia'chan
啃唔落啖气,ken'wu'luo'dan'qi
邋遢,la'ta
老懵懂,lao'meng'dong
叻仔,le'zai
靓爆镜,liang'bao'jing
靓女,liang'nv
冧死,lin'si
拎住,lin'zhu
攞住,luo'zhu
矇查查,meng'cha'cha
懵剩剩,meng'sheng'sheng
踎低,mou'di
嗱嗱声,na'na'sheng
唸住,nian'zhu
嬲爆,niao'bao
悭钱,qian'qian
倾偈,qing'ji
傻閪閪,sha'se'se
衰嘢,shuai'ye
闩门,shuan'men
揾食,wen'shi
呷醋,xia'cu
啱啱,yan'yan
一嚿嚿,yi'huo'huo
一氽水,yi'tun'shui
啫点,ze'dian
掟死你,zheng'si'ni
窒住晒,zhi'zhu'shai
