捱得,ai'de
磅水,bang'shui
爆大镬,bao'da'huo
搏大雾,bo'da'wu
菠萝鸡,bo'luo'ji
残鸡,can'ji
炒起,chao'qi
撑台脚,cheng'tai'jiao
出猫,chu'mao
大石砸死蟹,da'shi'za'si'xie
掟煲,ding'bao
炖冬菇,dun'dong'gu
二五仔,er'wu'zai
飞起,fei'qi
腐女,fu'nv
够僵,gou'jiang
箍煲,gu'bao
滚友,gun'you
好寙,hao'yu
坚嘢,jian'ye
金笸箩,jin'po'luo
惊青,jing'qing
冧女,lin'nv
灵擎,ling'qing
流嘢,liu'ye
摞命搏,luo'ming'bo
埋堆,mai'dui
拏棱,na'leng
拗手瓜,niu'shou'gua
杀你,sha'ni
食死猫,shi'si'mao
死撑,si'cheng
劏猪凳,tang'zhu'deng
网顶,wang'ding
乌里单刀,wu'li'dan'dao
响朵,xiang'duo
应棍,ying'gun
油炸蟹,you'zha'xie
杂巴冷,za'ba'leng
揸拿,zha'na
宅男,zhai'nan
着草,zhe'cao
执笠,zhi'li
执死鸡,zhi'si'ji
