阿青,a'qing
安沟,an'gou
安河,an'he
安家渠,an'jia'qu
白虎,bai'hu
白家,bai'jia
白家川,bai'jia'chuan
白家河,bai'jia'he
白家角,bai'jia'jiao
白家山,bai'jia'shan
白家窑科,bai'jia'yao'ke
白俭,bai'jian
柏塔,bai'ta
白腰,bai'yao
北阳,bei'yang
鼻头,bi'tou
堡子,bu'zi
茶壶塬,cha'hu'yuan
岔口,cha'kou
柴村坪,chai'cun'ping
车村,che'cun
陈旗,chen'qi
赤江,chi'jiang
丛座,cong'zuo
大花,da'hua
大路,da'lu
大雅,da'ya
党屯,dang'tun
德夫,de'fu
滴水岸,di'shui'an
佃子塬,dian'zi'yuan
丁旗,ding'qi
东村,dong'cun
董家河,dong'jia'he
董家角,dong'jia'jiao
董家芽塬,dong'jia'ya'yuan
东源头,dong'yuan'tou
东卓,dong'zhuo
杜家沟,du'jia'gou
多海,duo'hai
二圪台,er'ge'tai
发旗,fa'qi
樊家圪台,fan'jia'ge'tai
凡家山,fan'jia'shan
房家塬,fang'jia'yuan
封家,feng'jia
封家河,feng'jia'he
冯家塬,feng'jia'yuan
佛古塬,fo'gu'yuan
佛光,fo'guang
佛家,fo'jia
付家塬,fu'jia'yuan
芙蓉,fu'rong
高花河,gao'hua'he
高家川,gao'jia'chuan
高家河,gao'jia'he
高家塬,gao'jia'yuan
髙万,gao'wan
高掌坪,gao'zhang'ping
圪垛,ge'duo
葛家圪台,ge'jia'ge'tai
葛家洼,ge'jia'wa
古道,gu'dao
管村,guan'cun
关子口,guan'zi'kou
郭家,guo'jia
郭家河,guo'jia'he
郭家塬,guo'jia'yuan
郭旗,guo'qi
郭旗沟,guo'qi'gou
韩家村,han'jia'cun
郝才,hao'cai
郝家沟,hao'jia'gou
贺家川,he'jia'chuan
贺家沟,he'jia'gou
贺台,he'tai
黑家堡,hei'jia'bao
红火渠,hong'huo'qu
后陈家沟,hou'chen'jia'gou
后段,hou'duan
后河,hou'he
后山,hou'shan
呼家,hu'jia
呼家川,hu'jia'chuan
胡家村,hu'jia'cun
胡家河,hu'jia'he
呼家山,hu'jia'shan
花吧咀,hua'ba'ju
滑里河,hua'li'he
槐里坪,huai'li'ping
黄古塬,huang'gu'yuan
火炎山,huo'yan'shan
贾家塬,jia'jia'yuan
焦村,jiao'cun
交口,jiao'kou
界家山,jie'jia'shan
接子坪,jie'zi'ping
金盆,jin'pen
巨林,ju'lin
咀头,ju'tou
康家沟,kang'jia'gou
康家坪,kang'jia'ping
可丰,ke'feng
克苏,ke'su
克亚,ke'ya
可也,ke'ye
兰地,lan'di
兰杆,lan'gan
兰街,lan'jie
兰窑科,lan'yao'ke
老沟湾,lao'gou'wan
老井头,lao'jing'tou
老人仓,lao'ren'cang
老石,lao'shi
雷赤,lei'chi
雷多,lei'duo
雷家,lei'jia
利壁,li'bi
李家砭,li'jia'bian
黎家河,li'jia'he
李家坪,li'jia'ping
李家山,li'jia'shan
李家湾,li'jia'wan
李库,li'ku
李台,li'tai
良俭,liang'jian
林合山,lin'he'shan
岭上,ling'shang
岭石山,ling'shi'shan
岭头,ling'tou
岭于,ling'yu
刘党,liu'dang
刘古塬,liu'gu'yuan
刘管村塬,liu'guan'cun'yuan
刘家疙瘩,liu'jia'ge'da
刘家河,liu'jia'he
刘塔,liu'ta
碌础塬,lu'chu'yuan
鹿角,lu'jiao
罗家川,luo'jia'chuan
罗家圪台,luo'jia'ge'tai
罗家河,luo'jia'he
罗坪,luo'ping
罗子山,luo'zi'shan
罗子塬,luo'zi'yuan
麻池河,ma'chi'he
马家,ma'jia
马家村,ma'jia'cun
马家沟,ma'jia'gou
马家河,ma'jia'he
马山,ma'shan
门山,men'shan
糜草洼,mi'cao'wa
觅太,mi'tai
庙良,miao'liang
木斗,mu'dou
母生,mu'sheng
乃木河,nai'mu'he
南河,nan'he
南河沟,nan'he'gou
南山,nan'shan
南湾,nan'wan
南掌,nan'zhang
南庄,nan'zhuang
泥河口,ni'he'kou
埝坡,nian'po
埝曲,nian'qu
碾义沟,nian'yi'gou
彭家圪台,peng'jia'ge'tai
坪塬,ping'yuan
普儿,pu'er
普河,pu'he
七里村,qi'li'cun
前陈家沟,qian'chen'jia'gou
前段,qian'duan
前河,qian'he
前山,qian'shan
前王家河,qian'wang'jia'he
强家塬,qiang'jia'yuan
桥沟,qiao'gou
曲木,qu'mu
屈台,qu'tai
散岔,san'cha
沙滩坪,sha'tan'ping
山圪垛,shan'ge'duo
山树坪,shan'shu'ping
尚家,shang'jia
上加官,shang'jia'guan
上鲁,shang'lu
尚罗,shang'luo
上吕,shang'lv
上畔,shang'pan
上西渠,shang'xi'qu
舍里庄,she'li'zhuang
神头,shen'tou
石佛,shi'fo
石马科,shi'ma'ke
石邱,shi'qiu
书贝,shu'bei
寺儿,si'er
孙吉屯,sun'ji'tun
孙家河,sun'jia'he
孙家塬,sun'jia'yuan
太留,tai'liu
谭家河,tan'jia'he
谭石塬,tan'shi'yuan
天心掌,tian'xin'zhang
铁村,tie'cun
通地,tong'di
桐居,tong'ju
土莫,tu'mo
驮甫,tuo'fu
瓦村,wa'cun
瓦石头,wa'shi'tou
瓦庄,wa'zhuang
王仓,wang'cang
王怀子沟,wang'huai'zi'gou
王良沟,wang'liang'gou
