暗藏灯带,an'cang'deng'dai
刨痕,bao'hen
苯磺酰氯,ben'huang'xian'lv
扁钢,bian'gang
边缘吻合,bian'yuan'wen'he
变赭,bian'zhe
编制依据,bian'zhi'yi'ju
标准一览表,biao'zhun'yi'lan'biao
玻璃丝布,bo'li'si'bu
材料分配存放,cai'liao'fen'pei'cun'fang
仓库搭建,cang'ku'da'jian
操行可移动架,cao'xing'ke'yi'dong'jia
测量吊杆,ce'liang'diao'gan
测量放线,ce'liang'fang'xian
侧面垂直度,ce'mian'chui'zhi'du
插座,cha'zuo
掺合料,chan'he'liao
坼架子,che'jia'zi
承载龙骨,cheng'zai'long'gu
抽查射钉,chou'cha'she'ding
穿线工程,chuan'xian'gong'cheng
窗楣,chuang'mei
锤印,chui'yin
搭架子,da'jia'zi
搭建,da'jian
大理石拼花工艺,da'li'shi'pin'hua'gong'yi
大理石铺切,da'li'shi'pu'qie
大平锹,da'ping'qiao
单元板分配,dan'yuan'ban'fen'pei
灯槽,deng'cao
灯具,deng'ju
灯盘,deng'pan
灯箱片,deng'xiang'pian
涤纶无纺布,di'lun'wu'fang'bu
地面波化,di'mian'bo'hua
地面地砖铺砌,di'mian'di'zhuan'pu'qi
地面工程,di'mian'gong'cheng
滴水线,di'shui'xian
地砖,di'zhuan
电刨,dian'bao
电锤,dian'chui
电剪刀,dian'jian'dao
电锯,dian'ju
电气配关,dian'qi'pei'guan
垫铅垫,dian'qian'dian
电钻,dian'zuan
吊顶面板,diao'ding'mian'ban
吊挂件,diao'gua'jian
掉角,diao'jiao
吊筋,diao'jin
跌级造型,die'ji'zao'xing
叠级造型,die'ji'zao'xing
鼎峙铝板,ding'zhi'lv'ban
镀铬龙头,du'ge'long'tou
断裂,duan'lie
蹲式大便器,dun'shi'da'bian'qi
阀门安装,fa'men'an'zhuang
泛白,fan'bai
泛黄发花,fan'huang'fa'hua
防潮层,fang'chao'ceng
房间吊顶,fang'jian'diao'ding
防雾车边境,fang'wu'che'bian'jing
防锈处理,fang'xiu'chu'li
分格条,fen'ge'tiao
粉线包,fen'xian'bao
干挂大理石,gan'gua'da'li'shi
干手器,gan'shou'qi
杠横,gang'heng
钢龙骨,gang'long'gu
钢丝刷,gang'si'shua
高密度板,gao'mi'du'ban
隔墙封纸,ge'qiang'feng'zhi
隔墙轻龙骨,ge'qiang'qing'long'gu
公共走道,gong'gong'zou'dao
勾缝,gou'feng
固定件,gu'ding'jian
刮腻子,gua'ni'zi
管钳子,guan'qian'zi
柜对角线,gui'dui'jiao'xian
硅胶,gui'jiao
阂留缝,he'liu'feng
黑金沙麻石,hei'jin'sha'ma'shi
横管弯曲度,heng'guan'wan'qu'du
烘手器,hong'shou'qi
虹吸喷射,hong'xi'pen'she
花岗岩,hua'gang'yan
花岗岩铺砌,hua'gang'yan'pu'qi
化学螺栓,hua'xue'luo'shuan
缓凝剂,huan'ning'ji
基层木龙骨,ji'ceng'mu'long'gu
基层清理,ji'ceng'qing'li
给排水,ji'pai'shui
监管工程师,jian'guan'gong'cheng'shi
监控安装,jian'kong'an'zhuang
建设部令,jian'she'bu'ling
建筑主体,jian'zhu'zhu'ti
胶合板,jiao'he'ban
角磨机,jiao'mo'ji
脚手架,jiao'shou'jia
交验,jiao'yan
胶渍,jiao'zi
接缝高低偏差,jie'feng'gao'di'pian'cha
接缝平直,jie'feng'ping'zhi
金属板开孔,jin'shu'ban'kai'kong
经纬仪,jing'wei'yi
精装工程,jing'zhuang'gong'cheng
聚氨脂,ju'an'zhi
聚氨脂防,ju'an'zhi'fang
可光情况,ke'guang'qing'kuang
空鼓,kong'gu
空压机,kong'ya'ji
筷子笔,kuai'zi'bi
框架结构,kuang'jia'jie'gou
矿棉,kuang'mian
矿棉板,kuang'mian'ban
矿渣水泥,kuang'zha'shui'ni
捆扎牢固,kun'za'lao'gu
拉结力,la'jie'li
磷酸,lin'suan
令便器,ling'bian'qi
流坠,liu'zhui
拢规矩,long'gui'ju
楼梯扶手,lou'ti'fu'shou
楼梯踏步,lou'ti'ta'bu
楼装饰改造,lou'zhuang'shi'gai'zao
铝板材,lv'ban'cai
铝格栅,lv'ge'shan
铝合金板吊顶,lv'he'jin'ban'diao'ding
铝扣板,lv'kou'ban
铝塑板安装,lv'su'ban'an'zhuang
铝塑料,lv'su'liao
毛刺,mao'ci
门厅前踏步,men'ting'qian'ta'bu
米黄石,mi'huang'shi
面石膏板,mian'shi'gao'ban
抹底层灰,mo'di'ceng'hui
抹滴水线,mo'di'shui'xian
抹灰饼,mo'hui'bing
抹灰工,mo'hui'gong
木基层,mu'ji'ceng
内墙釉面砖,nei'qiang'you'mian'zhuan
排气扇,pai'qi'shan
配电箱,pei'dian'xiang
喷壶,pen'hu
棚顶内管线,peng'ding'nei'guan'xian
膨胀螺丝,peng'zhang'luo'si
平尺板,ping'chi'ban
平直偏差,ping'zhi'pian'cha
破化砖,po'hua'zhuan
气钉枪,qi'ding'qiang
起分格条,qi'fen'ge'tiao
起毛,qi'mao
戗槎,qiang'cha
墙桂阳角,qiang'gui'yang'jiao
墙面刮腻子,qiang'mian'gua'ni'zi
墙面贴瓷砖,qiang'mian'tie'ci'zhuan
墙面砖,qiang'mian'zhuan
墙面装饰工程,qiang'mian'zhuang'shi'gong'cheng
切割机,qie'ge'ji
轻钢,qing'gang
轻钢龙骨,qing'gang'long'gu
清扫打蜡,qing'sao'da'la
缺棱,que'leng
人货梯卸架子,ren'huo'ti'xie'jia'zi
乳胶漆,ru'jiao'qi
软毛刷,ruan'mao'shua
弱电配管,ruo'dian'pei'guan
筛子,shai'zi
扇翘,shan'qiao
上下水支管,shang'xia'shui'zhi'guan
射钉枪,she'ding'qiang
设计方案,she'ji'fang'an
设计效果图,she'ji'xiao'guo'tu
渗色,shen'se
石材纲龙骨,shi'cai'gang'long'gu
石材勾缝,shi'cai'gou'feng
石膏板,shi'gao'ban
施工管理经验,shi'gong'guan'li'jing'yan
施工实施,shi'gong'shi'shi
施工图,shi'gong'tu
石灰淋制,shi'hui'lin'zhi
手动试压泵,shou'dong'shi'ya'beng
