捕获,bu'huo
不可重复读,bu'ke'chong'fu'du
参数,can'shu
程序集,cheng'xu'ji
重载,chong'zai
抽象方法,chou'xiang'fang'fa
抽象类,chou'xiang'lei
触发器,chu'fa'qi
纯虚方法,chun'xu'fang'fa
存储过程,cun'chu'guo'cheng
堆栈,dui'zhan
多态,duo'tai
返回类型,fan'hui'lei'xing
反射,fan'she
泛型,fan'xing
方法,fang'fa
封装,feng'zhuang
封装字段,feng'zhuang'zi'duan
覆盖,fu'gai
父类,fu'lei
幻象读,huan'xiang'du
继承,ji'cheng
集合类,ji'he'lei
基类,ji'lei
接口,jie'kou
离线数据库,li'xian'shu'ju'ku
命名空间,ming'ming'kong'jian
派生类,pai'sheng'lei
抛出,pao'chu
事件,shi'jian
实现接口,shi'xian'jie'kou
数据适配器,shu'ju'shi'pei'qi
属性,shu'xing
提取接口,ti'qu'jie'kou
吞吐量,tun'tu'liang
委托,wei'tuo
修饰符,xiu'shi'fu
虚方法,xu'fang'fa
异常,yi'chang
只读,zhi'du
自动回收,zi'dong'hui'shou
字段,zi'duan
子类,zi'lei
