氨水站,an'shui'zhan
百塔,bai'ta
白衣阁,bai'yi'ge
包公祠,bao'gong'ci
包公西湖南岸,bao'gong'xi'hu'nan'an
北道门,bei'dao'men
北官庄,bei'guan'zhuang
北郊乡,bei'jiao'xiang
北门外,bei'men'wai
北书店街,bei'shu'dian'jie
北孙庄,bei'sun'zhuang
北辛庄,bei'xin'zhuang
北正门,bei'zheng'men
边村,bian'cun
汴京饭店,bian'jing'fan'dian
汴京公园,bian'jing'gong'yuan
汴京桥,bian'jing'qiao
汴京水表厂,bian'jing'shui'biao'chang
汴西新区二号路,bian'xi'xin'qu'er'hao'lu
汴西新区三号路,bian'xi'xin'qu'san'hao'lu
汴西新区四号路,bian'xi'xin'qu'si'hao'lu
汴西新区五号路,bian'xi'xin'qu'wu'hao'lu
汴西新区一号路,bian'xi'xin'qu'yi'hao'lu
滨河路中段,bin'he'lu'zhong'duan
博物馆,bo'wu'guan
部队,bu'dui
卜里寨,bu'li'zhai
曹门,cao'men
柴油机厂,chai'you'ji'chang
车管所,che'guan'suo
陈坟,chen'fen
城东粮食储备库,cheng'dong'liang'shi'chu'bei'ku
城隍庙后街,cheng'huang'miao'hou'jie
程娘庄,cheng'niang'zhuang
城西办事处,cheng'xi'ban'shi'chu
大宏世纪新城,da'hong'shi'ji'xin'cheng
大花园,da'hua'yuan
大梁门,da'liang'men
大梁职专,da'liang'zhi'zhuan
大马圈,da'ma'quan
大南门,da'nan'men
大庆路,da'qing'lu
大庆路南口,da'qing'lu'nan'kou
单寨,dan'zhai
迪臣世纪豪苑,di'chen'shi'ji'hao'yuan
第二人民医院,di'er'ren'min'yi'yuan
电视塔,dian'shi'ta
东湖,dong'hu
东司门,dong'si'men
东站路口,dong'zhan'lu'kou
豆腐营,dou'fu'ying
豆芽街,dou'ya'jie
渡口,du'kou
二十七中,er'shi'qi'zhong
二十五中,er'shi'wu'zhong
儿童村,er'tong'cun
儿童医院,er'tong'yi'yuan
法院街,fa'yuan'jie
凤凰城,feng'huang'cheng
缝纫机厂,feng'ren'ji'chang
钢材市场,gang'cai'shi'chang
高楼,gao'lou
高速连接线,gao'su'lian'jie'xian
高屯油库,gao'tun'you'ku
供电公司,gong'dian'gong'si
