财智密码,cai'zhi'mi'ma
城市大行销力实操班,cheng'shi'da'xing'xiao'li'shi'cao'ban
重庆新女报社总编辑左建中,chong'qing'xin'nv'bao'she'zong'bian'ji'zuo'jian'zhong
打造卓越精英团队训练营,da'zao'zhuo'yue'jing'ying'tuan'dui'xun'lian'ying
的危机管理训练营,de'wei'ji'guan'li'xun'lian'ying
工作背景,gong'zuo'bei'jing
广告策划与媒体投放技巧训练营,guang'gao'ce'hua'yu'mei'ti'tou'fang'ji'qiao'xun'lian'ying
海南特区报副总编辑史莉萍,hai'nan'te'qu'bao'fu'zong'bian'ji'shi'li'ping
核心课程,he'xin'ke'cheng
黑龙江农商银行,hei'long'jiang'nong'shang'yin'hang
基业长青,ji'ye'chang'qing
竞争力国际控股集团联席董事长,jing'zheng'li'guo'ji'kong'gu'ji'tuan'lian'xi'dong'shi'zhang
客户评价,ke'hu'ping'jia
领导力正能量,ling'dao'li'zheng'neng'liang
年度中国最具影响力媒体经理人,nian'du'zhong'guo'zui'ju'ying'xiang'li'mei'ti'jing'li'ren
年荣获亚洲十大培训师称号,nian'rong'huo'ya'zhou'shi'da'pei'xun'shi'cheng'hao
年荣获中国培训育才杰出贡献奖,nian'rong'huo'zhong'guo'pei'xun'yu'cai'jie'chu'gong'xian'jiang
其他课程,qi'ta'ke'cheng
荣誉称号,rong'yu'cheng'hao
三友集团行政总裁李子明,san'you'ji'tuan'xing'zheng'zong'cai'li'zi'ming
擅长领域,shan'chang'ling'yu
团队竞争力模式,tuan'dui'jing'zheng'li'mo'shi
危机管理模式,wei'ji'guan'li'mo'shi
销售系统排毒技巧训练营,xiao'shou'xi'tong'pai'du'ji'qiao'xun'lian'ying
行销力管控模式,xing'xiao'li'guan'kong'mo'shi
行销力国际教育集团董事长,xing'xiao'li'guo'ji'jiao'yu'ji'tuan'dong'shi'zhang
盈利模式,ying'li'mo'shi
赢在传媒团队竞争力模式训练营,ying'zai'chuan'mei'tuan'dui'jing'zheng'li'mo'shi'xun'lian'ying
赢在媒体应对实战技巧特训营,ying'zai'mei'ti'ying'dui'shi'zhan'ji'qiao'te'xun'ying
宇宙大智慧,yu'zhou'da'zhi'hui
中国企业新闻写作技巧训练营,zhong'guo'qi'ye'xin'wen'xie'zuo'ji'qiao'xun'lian'ying
中国式广告销售实战技巧特训练,zhong'guo'shi'guang'gao'xiao'shou'shi'zhan'ji'qiao'te'xun'lian
中华广告媒介行销力研究院院长,zhong'hua'guang'gao'mei'jie'xing'xiao'li'yan'jiu'yuan'yuan'zhang
卓越大客户行销力特训练营,zhuo'yue'da'ke'hu'xing'xiao'li'te'xun'lian'ying
卓越领导力从领导到领袖,zhuo'yue'ling'dao'li'cong'ling'dao'dao'ling'xiu
资质背景,zi'zhi'bei'jing
总裁训练营,zong'cai'xun'lian'ying
总裁卓越行销力总裁班,zong'cai'zhuo'yue'xing'xiao'li'zong'cai'ban
