阿蒙,a'meng
阿娜,a'na
阿秀,a'xiu
艾颂扬,ai'song'yang
八触,ba'chu
白毛,bai'mao
白少流,bai'shao'liu
毕明俊,bi'ming'jun
毕然,bi'ran
避水珠,bi'shui'zhu
不净观,bu'jing'guan
曹邝,cao'kuang
成天乐,cheng'tian'le
初禅,chu'chan
初禅未到地定,chu'chan'wei'dao'di'ding
禇无用,chu'wu'yong
打神拳,da'shen'quan
大药,da'yao
定生喜乐,ding'sheng'xi'le
动触,dong'chu
兑振华,dui'zhen'hua
樊师父,fan'shi'fu
方周梓,fang'zhou'zi
绯寒,fei'han
绯焱,fei'yan
凤凰桥,feng'huang'qiao
风君子,feng'jun'zi
葛举吉赞,ge'ju'ji'zan
谷儿,gu'er
广教寺,guang'jiao'si
鬼股,gui'gu
还转,hai'zhuan
何军,he'jun
何卓秀,he'zhuo'xiu
花膘膘,hua'biao'biao
黄健锋,huang'jian'feng
黄裳,huang'shang
季晓雨,ji'xiao'yu
加百列,jia'bai'lie
金汤,jin'tang
句水河,ju'shui'he
苦海,ku'hai
李轻水,li'qing'shui
李万,li'wan
炼精化气,lian'jing'hua'qi
炼形,lian'xing
灵丹,ling'dan
六成就法,liu'cheng'jiu'fa
六道轮回,liu'dao'lun'hui
刘书君,liu'shu'jun
柳言成,liu'yan'cheng
刘漾河,liu'yang'he
柳依依,liu'yi'yi
麻花辫,ma'hua'bian
梅兰德,mei'lan'de
梅六发,mei'liu'fa
梅振衣,mei'zhen'yi
梦观成就法,meng'guan'cheng'jiu'fa
明崇俨,ming'chong'yan
魔境,mo'jing
南宫玥,nan'gong'yue
内照,nei'zhao
菩提道次第论,pu'ti'dao'ci'di'lun
七支如意坐,qi'zhi'ru'yi'zuo
七支坐法,qi'zhi'zuo'fa
清尘,qing'chen
青冥镜,qing'ming'jing
曲怡敏,qu'yi'min
曲正波,qu'zheng'bo
润物枝,run'wu'zhi
色欲,se'yu
尚云飞,shang'yun'fei
身受,shen'shou
神游,shen'you
盛龙,sheng'long
石东,shi'dong
时强,shi'qiang
石小三,shi'xiao'san
石野,shi'ye
石柱村,shi'zhu'cun
四禅八定,si'chan'ba'ding
司马知北,si'ma'zhi'bei
宋春来,song'chun'lai
穗儿,sui'er
他心通,ta'xin'tong
胎动,tai'dong
天劫,tian'jie
天台宗,tian'tai'zong
田玮,tian'wei
天月,tian'yue
听涛山庄,ting'tao'shan'zhuang
脱胎,tuo'tai
忘情,wang'qing
忘情天宫,wang'qing'tian'gong
望天吼,wang'tian'hou
妄心,wang'xin
韦无言,wei'wu'yan
问天,wen'tian
芜城,wu'cheng
吴贾铭,wu'jia'ming
无量光,wu'liang'guang
吴桐,wu'tong
吴小溪,wu'xiao'xi
吴燕青,wu'yan'qing
先天元气,xian'tian'yuan'qi
向影华,xiang'ying'hua
小白,xiao'bai
邪触,xie'chu
心念力,xin'nian'li
杨履霜,yang'lv'shuang
阳神,yang'shen
易斌,yi'bin
婴儿,ying'er
樱宁,ying'ning
游成方,you'cheng'fang
游方,you'fang
于飞,yu'fei
欲界定,yu'jie'ding
玉真,yu'zhen
约格,yue'ge
云飞,yun'fei
云少闲,yun'shao'xian
泽仁,ze'ren
张潇潇,zhang'xiao'xiao
昭亭山,zhao'ting'shan
真空,zhen'kong
甄诗蕊,zhen'shi'rui
郑朗,zheng'lang
止观,zhi'guan
止心随息,zhi'xin'sui'xi
秩序之刃,zhi'xu'zhi'ren
钟离权,zhong'li'quan
中阴成就法,zhong'yin'cheng'jiu'fa
庄茹,zhuang'ru
状元桥,zhuang'yuan'qiao
訾浩,zi'hao
宗喀巴,zong'ka'ba
坐忘,zuo'wang
