阿巴多纳多,a'ba'duo'na'duo
阿贝尔,a'bei'er
阿德勒,a'de'le
阿多,a'duo
阿多贝,a'duo'bei
阿尔格斯,a'er'ge'si
阿尔梅达,a'er'mei'da
阿尔滕托普,a'er'teng'tuo'pu
阿加利,a'jia'li
阿莱士,a'lai'shi
阿洛内夫蒂斯,a'luo'nei'fu'di'si
阿马纳蒂迪斯,a'ma'na'di'di'si
阿梅迪克,a'mei'di'ke
阿萨莫阿,a'sa'mo'a
阿特曼,a'te'man
阿图巴,a'tu'ba
阿瓦洛斯,a'wa'luo'si
阿扎瓦格,a'zha'wa'ge
埃伯特,ai'bo'te
埃德,ai'de
艾格勒,ai'ge'le
艾格纳,ai'ge'na
埃格特,ai'ge'te
埃吉曼,ai'ji'man
埃帕莱,ai'pa'lai
艾希纳,ai'xi'na
安德烈利马,an'de'lie'li'ma
安格洛夫,an'ge'luo'fu
奥尔,ao'er
奥吉贾奥福,ao'ji'jia'ao'fu
奥科隆克沃,ao'ke'long'ke'wo
奥克斯,ao'ke'si
奥雷斯特斯,ao'lei'si'te'si
奥利奇,ao'li'qi
奥索里奥,ao'suo'li'ao
奥特尔,ao'te'er
奥沃莫耶拉,ao'wo'mo'ye'la
巴巴雷茨,ba'ba'lei'ci
巴德,ba'de
巴尔德斯,ba'er'de'si
巴尔内塔,ba'er'nei'ta
巴格,ba'ge
巴克利,ba'ke'li
巴雷拉,ba'lei'la
巴利奇,ba'li'qi
巴斯图尔克,ba'si'tu'er'ke
巴特尔,ba'te'er
巴特尔斯,ba'te'er'si
巴西拉,ba'xi'la
巴伊拉莫维奇,ba'yi'la'mo'wei'qi
拜尔,bai'er
拜因利希,bai'yin'li'xi
班克特,ban'ke'te
鲍曼,bao'man
贝克,bei'ke
贝克曼,bei'ke'man
贝纳利奥,bei'na'li'ao
本哈提拉,ben'ha'ti'la
本杰明,ben'jie'ming
本科,ben'ke
比彻姆,bi'che'mu
比达尔,bi'da'er
彼得里奇,bi'de'li'qi
比克马兹,bi'ke'ma'zi
比勒,bi'le
比洛夫,bi'luo'fu
比朔夫,bi'shuo'fu
