癌落可,ai'luo'ke
俺句,an'ju
绊倒,ban'dao
报你,bao'ni
背时,bei'shi
冰浸,bing'jin
蚕拟,can'ni
尺噶,chi'ga
次嘎屋,ci'ga'wu
搭车,da'che
等哈,deng'ha
逗把,dou'ba
高套,gao'tao
姑即,gu'ji
过过,guo'guo
过客泥,guo'ke'ni
哈巴谷,ha'ba'gu
哈办捏,ha'ban'nie
哈及,ha'ji
还嗨海几,hai'hai'hai'ji
候泥,hou'ni
后头,hou'tou
回刻,hui'ke
火闪,huo'shan
或许,huo'xu
几噶几,ji'ga'ji
佳佳,jia'jia
讲谷,jiang'gu
焦湿,jiao'shi
今泥,jin'ni
快加急,kuai'jia'ji
困告子,kun'gao'zi
郎罢公,lang'ba'gong
浪哈,lang'ha
浪哈几,lang'ha'ji
老火,lao'huo
里头,li'tou
凉骸,liang'hai
满满,man'man
满娘,man'niang
毛去,mao'qu
毛晓得,mao'xiao'de
妹几嘎,mei'ji'ga
棉泥,mian'ni
磨汗具,mo'han'ju
脑壳,nao'ke
你果子心翻,ni'guo'zi'xin'fan
哦自搞地,o'zi'gao'di
排奈,pai'nai
披孔,pi'kong
撇果,pie'guo
漆骂黑,qi'ma'hei
恰饭,qia'fan
钱拟,qian'ni
前头,qian'tou
青里妈早,qing'li'ma'zao
秋果子,qiu'guo'zi
秋哈几,qiu'ha'ji
却几,que'ji
尚办捏,shang'ban'nie
社子,she'zi
手板,shou'ban
手指嘎,shou'zhi'ga
炭脑壳,tan'nao'ke
拖把骸,tuo'ba'hai
外候泥,wai'hou'ni
屋里,wu'li
物子,wu'zi
鸭客,ya'ke
丫丫,ya'ya
亚呀,ya'ya
要好久,yao'hao'jiu
要思,yao'si
要子,yao'zi
要自条,yao'zi'tiao
一过林,yi'guo'lin
展劲,zhan'jin
中干,zhong'gan
捉弄,zhuo'nong
自嘛,zi'ma
