阿保机,a'bao'ji
阿达拉,a'da'la
阿尔贝,a'er'bei
阿发满,a'fa'man
阿甘正传,a'gan'zheng'zhuan
阿骨打,a'gu'da
阿奎那,a'kui'na
阿隆著,a'long'zhu
阿诺德,a'nuo'de
阿斯特瓦德化学原理程瀛章译上海商务印书馆影印,a'si'te'wa'de'hua'xue'yuan'li'cheng'ying'zhang'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
阿斯忒罗夫斯奇贫非罪郑振铎译上海商务印书馆影印,a'si'tei'luo'fu'si'qi'pin'fei'zui'zheng'zhen'duo'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
阿速吉八,a'su'ji'ba
艾庵密箴,ai'an'mi'zhen
哀悼活动和新国,ai'dao'huo'dong'he'xin'guo
艾尔曼,ai'er'man
艾尔曼著,ai'er'man'zhu
哀皇帝,ai'huang'di
哀江南賦注一卷北周庾信撰王闓咦集部第冊影印南京圖書館藏稿本,ai'jiang'nan'fu'zhu'yi'juan'bei'zhou'yu'xin'zhuan'wang'kai'yi'ji'bu'di'ce'ying'yin'nan'jing'tu'shu'guan'cang'gao'ben
爱玛,ai'ma
爱弥儿,ai'mi'er
爱默生散文选,ai'mo'sheng'san'wen'xuan
爱默生文集,ai'mo'sheng'wen'ji
爱日吟庐书画别录,ai'ri'yin'lu'shu'hua'bie'lu
爱日吟庐书画补录,ai'ri'yin'lu'shu'hua'bu'lu
爱日吟庐书画录,ai'ri'yin'lu'shu'hua'lu
爱日吟庐书画续录,ai'ri'yin'lu'shu'hua'xu'lu
爱日斋丛钞,ai'ri'zhai'cong'chao
爱日斋丛钞五卷宋叶撰景守山阁丛书本,ai'ri'zhai'cong'chao'wu'juan'song'ye'zhuan'jing'shou'shan'ge'cong'shu'ben
爱上陌生人,ai'shang'mo'sheng'ren
爱吾鼎斋藏器目一卷淸李璋煜撰据灵鹣阁丛书本影印,ai'wu'ding'zhai'cang'qi'mu'yi'juan'qing'li'zhang'yu'zhuan'ju'ling'jian'ge'cong'shu'ben'ying'yin
爱吾庐文钞一卷淸吕世宜撰,ai'wu'lu'wen'chao'yi'juan'qing'lv'shi'yi'zhuan
爱新觉罗,ai'xin'jue'luo
爱因斯坦相对论浅释夏元上海商务印书馆影印,ai'yin'si'tan'xiang'dui'lun'qian'shi'xia'yuan'shang'hai'shang'wu'yin'shu'guan'ying'yin
爱育黎拔力八达,ai'yu'li'ba'li'ba'da
爱与痛的边缘,ai'yu'tong'de'bian'yuan
癌症楼,ai'zheng'lou
爱滋病患者死亡实录,ai'zi'bing'huan'zhe'si'wang'shi'lu
艾子杂说一卷宋苏轼撰,ai'zi'za'shuo'yi'juan'song'su'shi'zhuan
哀宗,ai'zong
安般簃集十卷淸袁昶撰,an'ban'yi'ji'shi'juan'qing'yuan'chang'zhuan
安德烈,an'de'lie
安得长者言,an'de'zhang'zhe'yan
安得长者言一卷明陈继儒撰据宝颜堂秘笈本排印,an'de'zhang'zhe'yan'yi'juan'ming'chen'ji'ru'zhuan'ju'bao'yan'tang'mi'ji'ben'pai'yin
安帝和靖庆安皇帝,an'di'he'jing'qing'an'huang'di
安皇帝,an'huang'di
安居金镜,an'ju'jin'jing
安乐抚民,an'le'fu'min
安乐抚民曰康,an'le'fu'min'yue'kang
安民立政,an'min'li'zheng
安民立政曰成,an'min'li'zheng'yue'cheng
安默庵先生文集五卷元安熙撰,an'mo'an'xian'sheng'wen'ji'wu'juan'yuan'an'xi'zhuan
安娜,an'na
安南传二卷明王世贞撰,an'nan'chuan'er'juan'ming'wang'shi'zhen'zhuan
安南纪游一卷淸潘鼎珪撰,an'nan'ji'you'yi'juan'qing'pan'ding'gui'zhuan
安南杂记一卷淸李仙根撰,an'nan'za'ji'yi'juan'qing'li'xian'gen'zhuan
安歧,an'qi
安仁止孝,an'ren'zhi'xiao
暗算,an'suan
安图,an'tu
安吴论书一卷淸包世臣撰,an'wu'lun'shu'yi'juan'qing'bao'shi'chen'zhuan
安吴论书一卷淸包世臣撰据咫进斋丛书本排印,an'wu'lun'shu'yi'juan'qing'bao'shi'chen'zhuan'ju'zhi'jin'zhai'cong'shu'ben'pai'yin
安正忘筌集,an'zheng'wang'quan'ji
安正斋,an'zheng'zhai
傲慢与偏见,ao'man'yu'pian'jian
奥秘心理学,ao'mi'xin'li'xue
澳太利亚洲新志一卷淸吴宗濂译淸赵元益译,ao'tai'li'ya'zhou'xin'zhi'yi'juan'qing'wu'zong'lian'yi'qing'zhao'yuan'yi'yi
敖英辑,ao'ying'ji
聱隅子歔欷琐微论二卷宋黄晞撰,ao'yu'zi'xu'xi'suo'wei'lun'er'juan'song'huang'xi'zhuan
八编类纂,ba'bian'lei'zuan
八次荒史一卷淸陆次云撰,ba'ci'huang'shi'yi'juan'qing'lu'ci'yun'zhuan
八大人觉经,ba'da'ren'jue'jing
巴哈特,ba'ha'te
八纮译史四卷淸陆次云撰,ba'hong'yi'shi'si'juan'qing'lu'ci'yun'zhuan
八卷卷首一卷,ba'juan'juan'shou'yi'juan
巴伦,ba'lun
巴士特发酵之生理学上海商务印书馆影印,ba'shi'te'fa'jiao'zhi'sheng'li'xue'shang'hai'shang'wu'yin'shu'guan'ying'yin
巴士特胡适上海商务印书馆影印,ba'shi'te'hu'shi'shang'hai'shang'wu'yin'shu'guan'ying'yin
巴巫,ba'wu
八宅四书,ba'zhai'si'shu
八阵合变图说,ba'zhen'he'bian'tu'shuo
八阵合变图说一卷明龙正撰,ba'zhen'he'bian'tu'shuo'yi'juan'ming'long'zheng'zhuan
巴佐浩物理与政理锺建闳上海商务印书馆影印,ba'zuo'hao'wu'li'yu'zheng'li'zhong'jian'hong'shang'hai'shang'wu'yin'shu'guan'ying'yin
百分算及利息算郑心南上海商务印书馆影印,bai'fen'suan'ji'li'xi'suan'zheng'xin'nan'shang'hai'shang'wu'yin'shu'guan'ying'yin
白喉条辨,bai'hou'tiao'bian
白喉治法忌表抉微,bai'hou'zhi'fa'ji'biao'jue'wei
白虎通,bai'hu'tong
白虎通德论,bai'hu'tong'de'lun
白虎通疏证,bai'hu'tong'shu'zheng
白虎通四卷阙文一卷坿校勘补遗一卷坿考一卷汉班固撰淸庐文弨校并撰校勘,bai'hu'tong'si'juan'que'wen'yi'juan'fu'jiao'kan'bu'yi'yi'juan'fu'kao'yi'juan'han'ban'gu'zhuan'qing'lu'wen'chao'xiao'bing'zhuan'jiao'kan
白虎通义,bai'hu'tong'yi
白虎通义汉班固撰汉陈立疏证,bai'hu'tong'yi'han'ban'gu'zhuan'han'chen'li'shu'zheng
百家讲坛,bai'jia'jiang'tan
百家姓,bai'jia'xing
拜经楼藏书题跋记,bai'jing'lou'cang'shu'ti'ba'ji
拜经楼集外诗一卷坿珠楼遗稿一卷淸吴骞撰妾徐贞撰坿录据拜经楼丛书本排印,bai'jing'lou'ji'wai'shi'yi'juan'fu'zhu'lou'yi'gao'yi'juan'qing'wu'qian'zhuan'qie'xu'zhen'zhuan'fu'lu'ju'bai'jing'lou'cong'shu'ben'pai'yin
拜经楼集外诗一卷淸吴骞撰,bai'jing'lou'ji'wai'shi'yi'juan'qing'wu'qian'zhuan
拜经楼诗话四卷淸吴骞撰,bai'jing'lou'shi'hua'si'juan'qing'wu'qian'zhuan
拜经楼诗话四卷淸吴骞撰据艺海珠尘本排印,bai'jing'lou'shi'hua'si'juan'qing'wu'qian'zhuan'ju'yi'hai'zhu'chen'ben'pai'yin
拜经日记,bai'jing'ri'ji
白居易诗傅东华上海商务印书馆影印,bai'ju'yi'shi'fu'dong'hua'shang'hai'shang'wu'yin'shu'guan'ying'yin
白居易诗全集,bai'ju'yi'shi'quan'ji
百可漫志一卷明陈鼐撰,bai'ke'man'zhi'yi'juan'ming'chen'nai'zhuan
