爱国主义重点,ai'guo'zhu'yi'zhong'dian
爱好和平表现和作用理解,ai'hao'he'ping'biao'xian'he'zuo'yong'li'jie
按劳分配为主体,an'lao'fen'pei'wei'zhu'ti
按生产要素分配,an'sheng'chan'yao'su'fen'pei
保持人民币币值稳定,bao'chi'ren'min'bi'bi'zhi'wen'ding
保险规避风险,bao'xian'gui'bi'feng'xian
必定是讲信誉的政府,bi'ding'shi'jiang'xin'yu'de'zheng'fu
必定是依法行政的政府,bi'ding'shi'yi'fa'xing'zheng'de'zheng'fu
必然性物质基础生产力发展水平,bi'ran'xing'wu'zhi'ji'chu'sheng'chan'li'fa'zhan'shui'ping
必须承担义务自觉依法诚信纳税,bi'xu'cheng'dan'yi'wu'zi'jue'yi'fa'cheng'xin'na'shui
必须与弘扬时代精神相结合,bi'xu'yu'hong'yang'shi'dai'jing'shen'xiang'jie'he
必要性,bi'yao'xing
必要性第一弥补市场调节的不足,bi'yao'xing'di'yi'mi'bu'shi'chang'tiao'jie'de'bu'zu
辩证法的革命批判精神,bian'zheng'fa'de'ge'ming'pi'pan'jing'shen
辩证否定观,bian'zheng'fou'ding'guan
不利于出口有利于进口,bu'li'yu'chu'kou'you'li'yu'jin'kou
不同区域文化之间的关系,bu'tong'qu'yu'wen'hua'zhi'jian'de'guan'xi
财政收入,cai'zheng'shou'ru
财政收支关系,cai'zheng'shou'zhi'guan'xi
财政支出,cai'zheng'zhi'chu
参与社会主义民主政治建设,can'yu'she'hui'zhu'yi'min'zhu'zheng'zhi'jian'she
常设机关全国人大常务委员会,chang'she'ji'guan'quan'guo'ren'da'chang'wu'wei'yuan'hui
常用的信用工具信用卡支票,chang'yong'de'xin'yong'gong'ju'xin'yong'ka'zhi'piao
处理好效率与公平的关系,chu'li'hao'xiao'lv'yu'gong'ping'de'guan'xi
传统文化的特点记忆,chuan'tong'wen'hua'de'te'dian'ji'yi
传统文化的影响理解,chuan'tong'wen'hua'de'ying'xiang'li'jie
创新的社会作用,chuang'xin'de'she'hui'zuo'yong
次要矛盾,ci'yao'mao'dun
促进国民经济又好又快发展,cu'jin'guo'min'jing'ji'you'hao'you'kuai'fa'zhan
当前国际竞争,dang'qian'guo'ji'jing'zheng
第八课走近国际社会,di'ba'ke'zou'jin'guo'ji'she'hui
第八课走进文化生活,di'ba'ke'zou'jin'wen'hua'sheng'huo
