啊得得,a'de'de
阿门,a'men
挨黑打,ai'hei'da
挨球,ai'qiu
挨球了,ai'qiu'le
挨头子,ai'tou'zi
安得儿逸,an'de'er'yi
按起,an'qi
安逸,an'yi
安逸得,an'yi'de
傲起,ao'qi
坝坝,ba'ba
巴巴掌,ba'ba'zhang
霸道,ba'dao
爸儿,ba'er
粑耳朵,ba'er'duo
巴结,ba'jie
巴结狗儿,ba'jie'gou'er
巴连不得,ba'lian'bu'de
巴式,ba'shi
巴适,ba'shi
把住,ba'zhu
白逛逛,bai'guang'guang
白火石,bai'huo'shi
白卡卡,bai'ka'ka
摆龙门阵,bai'long'men'zhen
摆牌子,bai'pai'zi
白眼油,bai'yan'you
板板,ban'ban
拌壳儿,ban'ke'er
板命,ban'ming
拌桶,ban'tong
邦臭,bang'chou
帮干忙,bang'gan'mang
邦紧,bang'jin
棒客,bang'ke
棒老二,bang'lao'er
绑硬,bang'ying
磅重,bang'zhong
邦重,bang'zhong
宝宝器器,bao'bao'qi'qi
爆肚子,bao'du'zi
宝儿,bao'er
宝儿宝儿,bao'er'bao'er
包谷,bao'gu
苞谷,bao'gu
抱鸡婆,bao'ji'po
宝林镇,bao'lin'zhen
宝器,bao'qi
宝气,bao'qi
宝塞塞,bao'sai'sai
宝筛筛,bao'shai'shai
保险,bao'xian
背时,bei'shi
边花儿,bian'hua'er
标得,biao'de
标跟我,biao'gen'wo
表喊我,biao'han'wo
标了,biao'le
憋憋,bie'bie
憋遭,bie'zao
冰粉儿,bing'fen'er
钵钵鸡,bo'bo'ji
钵钵肉,bo'bo'rou
不摆了,bu'bai'le
不存在,bu'cun'zai
不经事,bu'jing'shi
不开腔,bu'kai'qiang
不落教,bu'luo'jiao
不孃,bu'niang
不球懂,bu'qiu'dong
不认黄,bu'ren'huang
不识疼,bu'shi'teng
不甩识,bu'shuai'shi
不胎海,bu'tai'hai
不虚你,bu'xu'ni
擦黑,ca'hei
踩假水,cai'jia'shui
藏猫儿,cang'mao'er
苍蝇儿,cang'ying'er
苍蝇馆子,cang'ying'guan'zi
操哥,cao'ge
操社会,cao'she'hui
草猪,cao'zhu
衩衩裤,cha'cha'ku
茶园乡,cha'yuan'xiang
查渣面,cha'zha'mian
铲铲,chan'chan
颤翎子,chan'ling'zi
场坝头,chang'ba'tou
长虫,chang'chong
长杆子,chang'gan'zi
长毛兔,chang'mao'tu
扯把子,che'ba'zi
扯白撩谎,che'bai'liao'huang
扯称,che'cheng
扯舵子,che'duo'zi
扯个幌子,che'ge'huang'zi
扯拐,che'guai
车过来,che'guo'lai
车过去,che'guo'qu
扯忽闪,che'hu'shan
扯筋,che'jin
车开,che'kai
车了,che'le
扯马股,che'ma'gu
扯脯鼾,che'pu'han
扯蒲憨,che'pu'han
车疼了,che'teng'le
车远点,che'yuan'dian
抻抖,chen'dou
称东西,cheng'dong'xi
称抖,cheng'dou
撑唤,cheng'huan
城墙倒拐,cheng'qiang'dao'guai
痴吧头,chi'ba'tou
尺多深,chi'duo'shen
吃嘎嘎,chi'ga'ga
吃胡,chi'hu
吃胡了,chi'hu'le
吃九斗碗,chi'jiu'dou'wan
吃酒碗,chi'jiu'wan
吃皮,chi'pi
吃婆婆儿饭,chi'po'po'er'fan
吃欺头,chi'qi'tou
吃球多了,chi'qiu'duo'le
吃赏午,chi'shang'wu
宠祸,chong'huo
冲壳壳,chong'ke'ke
冲嗑子,chong'ke'zi
冲壳子,chong'ke'zi
冲屎棒,chong'shi'bang
抽活,chou'huo
出脱,chu'tuo
揣起,chuai'qi
穿鼻子,chuan'bi'zi
川川,chuan'chuan
川饺子油糕,chuan'jiao'zi'you'gao
川普,chuan'pu
闯你妈个鬼哟,chuang'ni'ma'ge'gui'yo
吹壳子,chui'ke'zi
锤子,chui'zi
春饼儿,chun'bing'er
春卷儿,chun'juan'er
春台会,chun'tai'hui
戳拐,chuo'guai
戳锅漏,chuo'guo'lou
戳脱,chuo'tuo
糍粑子,ci'ba'zi
枞果朵儿,cong'guo'duo'er
枞须子,cong'xu'zi
粗箅子,cu'bi'zi
窜窜儿,cuan'cuan'er
窜耳胡,cuan'er'hu
撮儿,cuo'er
打摆子,da'bai'zi
打饱嗝,da'bao'ge
大北街,da'bei'jie
打标枪,da'biao'qiang
打啵儿,da'bo'er
打冲拳,da'chong'quan
打捶,da'chui
打锤,da'chui
大大,da'da
跶倒,da'dao
打鼎锅盖,da'ding'guo'gai
耷耳狗,da'er'gou
打发女,da'fa'nv
打黑猫,da'hei'mao
打伙,da'huo
打豁嗨,da'huo'hai
打键儿,da'jian'er
打经章,da'jing'zhang
打烂帐,da'lan'zhang
打烂账,da'lan'zhang
大老爷,da'lao'ye
打麻子眼,da'ma'zi'yan
打猫心肠,da'mao'xin'chang
打梦脚,da'meng'jiao
打醚头儿,da'mi'tou'er
打摩登,da'mo'deng
打平伙,da'ping'huo
打燃火,da'ran'huo
打丧火,da'sang'huo
打上靶,da'shang'ba
打摔手,da'shuai'shou
打霜,da'shuang
大天白亮,da'tian'bai'liang
大同乡,da'tong'xiang
打嗡咙,da'weng'long
打牙祭,da'ya'ji
打扬尘,da'yang'chen
打幺台,da'yao'tai
打一头,da'yi'tou
打圆促,da'yuan'cu
逮猫儿,dai'mao'er
单被子,dan'bei'zi
弹绷子,dan'beng'zi
但得居儿腾,dan'de'ju'er'teng
蛋烘糕,dan'hong'gao
但居儿腾,dan'ju'er'teng
蛋球疼,dan'qiu'teng
淡瓦瓦,dan'wa'wa
荡荡,dang'dang
荡荡头,dang'dang'tou
刀儿匠,dao'er'jiang
倒拐,dao'guai
倒拐子,dao'guai'zi
倒欠皮,dao'qian'pi
倒栽盅,dao'zai'zhong
叨嘴,dao'zui
道佐乡,dao'zuo'xiang
登犊,deng'du
灯儿啊当,deng'er'a'dang
灯儿啊当卖麻糖,deng'er'a'dang'mai'ma'tang
灯竿,deng'gan
等哈哈儿,deng'ha'ha'er
等一哈儿,deng'yi'ha'er
地瓜儿,di'gua'er
抵拢,di'long
抵拢倒拐,di'long'dao'guai
地转转儿,di'zhuan'zhuan'er
地转子,di'zhuan'zi
叠子,die'zi
丁点儿,ding'dian'er
丁丁猫,ding'ding'mao
丁丁猫儿,ding'ding'mao'er
定起切,ding'qi'qie
定子,ding'zi
碇子,ding'zi
东啊当儿,dong'a'dang'er
冻糕,dong'gao
东睃西睃,dong'suo'xi'suo
豆腐帘子,dou'fu'lian'zi
逗毛,dou'mao
逗是,dou'shi
都是好朋友西,dou'shi'hao'peng'you'xi
豆子神,dou'zi'shen
嘟儿,du'er
断黑,duan'hei
对头,dui'tou
墩子,dun'zi
剁皮,duo'pi
饿龙饿虾,e'long'e'xia
额楼,e'lou
恶扎,e'zha
耳巴子,er'ba'zi
二百五,er'bai'wu
二不垮五,er'bu'kua'wu
二锤,er'chui
二杆子,er'gan'zi
儿跟年,er'gen'nian
尔跟前,er'gen'qian
耳瓜子,er'gua'zi
尔合儿,er'he'er
二回,er'hui
二夹梁,er'jia'liang
二麻二麻,er'ma'er'ma
二盘,er'pan
尔去了,er'qu'le
二天,er'tian
二些年,er'xie'nian
发呱气,fa'gua'qi
发蒙,fa'meng
发梦癫,fa'meng'dian
放黄,fang'huang
纺麻姑儿,fang'ma'gu'er
方脑壳,fang'nao'ke
放生会,fang'sheng'hui
枋子,fang'zi
肥肠血旺,fei'chang'xue'wang
肥胴胴,fei'dong'dong
飞飞儿,fei'fei'er
费迁翻,fei'qian'fan
费头子,fei'tou'zi
粉子,fen'zi
疯扯扯,feng'che'che
风车车,feng'che'che
凤凰大道,feng'huang'da'dao
疯球了,feng'qiu'le
风丝麻木,feng'si'ma'mu
风屑,feng'xie
拂你两耳屎,fu'ni'liang'er'shi
凫上水,fu'shang'shui
桴炭儿,fu'tan'er
桴炭子,fu'tan'zi
嘎嘎,ga'ga
嘠嘎,ga'ga
旮旮角角,ga'ga'jiao'jiao
该死鸡儿球朝天,gai'si'ji'er'qiu'chao'tian
赶场,gan'chang
干灰蘑儿,gan'hui'mo'er
干豇豆,gan'jiang'dou
干精火旺,gan'jing'huo'wang
干坎,gan'kan
干啥子,gan'sha'zi
搞不懂,gao'bu'dong
搞不醒豁,gao'bu'xing'huo
高埂镇,gao'geng'zhen
高何镇,gao'he'zhen
搞紧,gao'jin
搞球,gao'qiu
搞球事,gao'qiu'shi
高头,gao'tou
哥老倌,ge'lao'guan
格老子,ge'lao'zi
各人,ge'ren
跟了我噻,gen'le'wo'sai
跟头儿扑爬,gen'tou'er'pu'pa
弓起,gong'qi
勾子,gou'zi
鼓到,gu'dao
古丁爆赞,gu'ding'bao'zan
骨都子,gu'dou'zi
姑姑筵儿,gu'gu'yan'er
姑老爷,gu'lao'ye
咕噜子,gu'lu'zi
牯牛,gu'niu
姑婆,gu'po
固驿镇,gu'yi'zhen
瓜不兮兮,gua'bu'xi'xi
瓜不兮兮的,gua'bu'xi'xi'de
瓜戳戳,gua'chuo'chuo
寡淡,gua'dan
瓜的翻山,gua'de'fan'shan
瓜得很,gua'de'hen
寡骨脸,gua'gu'lian
挂挂钱,gua'gua'qian
瓜了,gua'le
瓜眉瓜眼,gua'mei'gua'yan
瓜眉日眼,gua'mei'ri'yan
瓜迷日眼,gua'mi'ri'yan
瓜婆娘,gua'po'niang
呱孙儿,gua'sun'er
呱娃子,gua'wa'zi
瓜娃子,gua'wa'zi
瓜兮兮,gua'xi'xi
瓜兮兮的,gua'xi'xi'de
罐罐鸡,guan'guan'ji
关火,guan'huo
关你球事,guan'ni'qiu'shi
光膀膀,guang'bang'bang
光宝儿宝儿,guang'bao'er'bao'er
光叉叉,guang'cha'cha
光董董,guang'dong'dong
广耳屎,guang'er'shi
光生,guang'sheng
鬼把你找到了,gui'ba'ni'zhao'dao'le
鬼扯,gui'che
鬼冬哥,gui'dong'ge
龟儿,gui'er
龟儿子,gui'er'zi
鬼火冲,gui'huo'chong
鬼火冒,gui'huo'mao
鬼迷日眼,gui'mi'ri'yan
鬼头子,gui'tou'zi
滚滚儿,gun'gun'er
滚龙,gun'long
滚水,gun'shui
滚烫,gun'tang
锅魁,guo'kui
锅裂,guo'lie
哈巴狗,ha'ba'gou
哈宝儿,ha'bao'er
哈戳戳,ha'chuo'chuo
哈儿,ha'er
哈开,ha'kai
哈筢子,ha'pa'zi
哈批,ha'pi
害喜,hai'xi
憨包,han'bao
憨口水,han'kou'shui
憨眯日眼,han'mi'ri'yan
夯那个,hang'na'ge
行实,hang'shi
好昂,hao'ang
好吃嘴,hao'chi'zui
好港,hao'gang
好孔雀哦,hao'kong'que'o
