别墅,bie'shu
超高层,chao'gao'ceng
成本经理,cheng'ben'jing'li
城市总,cheng'shi'zong
大悦城,da'yue'cheng
到岗,dao'gang
地产公司,di'chan'gong'si
工程副总,gong'cheng'fu'zong
工程副总裁,gong'cheng'fu'zong'cai
工程监理,gong'cheng'jian'li
工程师,gong'cheng'shi
花园洋房,hua'yuan'yang'fang
基本年薪,ji'ben'nian'xin
集团人力资源总监,ji'tuan'ren'li'zi'yuan'zong'jian
简历,jian'li
建筑设计,jian'zhu'she'ji
结构设计,jie'gou'she'ji
景观设计,jing'guan'she'ji
精装修,jing'zhuang'xiu
猎聘网,lie'pin'wang
猎头公司,lie'tou'gong'si
幕墙,mu'qiang
年薪,nian'xin
商业项目,shang'ye'xiang'mu
设计副总裁,she'ji'fu'zong'cai
试用期,shi'yong'qi
土建工程师,tu'jian'gong'cheng'shi
万达广场,wan'da'guang'chang
项目,xiang'mu
项目总,xiang'mu'zong
薪资架构,xin'zi'jia'gou
助理建筑师,zhu'li'jian'zhu'shi
装饰设计,zhuang'shi'she'ji
综合体,zong'he'ti
