安兴苑,an'xing'yuan
奥都花城,ao'du'hua'cheng
奥都花城南门,ao'du'hua'cheng'nan'men
奥都花城西门,ao'du'hua'cheng'xi'men
巴黎春天,ba'li'chun'tian
八里镇政府,ba'li'zhen'zheng'fu
八里中学,ba'li'zhong'xue
八南村,ba'nan'cun
八桥村,ba'qiao'cun
八桥工业区,ba'qiao'gong'ye'qu
八字桥,ba'zi'qiao
百祥路,bai'xiang'lu
百祥园,bai'xiang'yuan
宝城厂,bao'cheng'chang
堡城村,bao'cheng'cun
宝带宾馆,bao'dai'bin'guan
保集半岛,bao'ji'ban'dao
鲍家,bao'jia
北固山公园,bei'gu'shan'gong'yuan
北洲中队北中,bei'zhou'zhong'dui'bei'zhong
碧水栖庭,bi'shui'qi'ting
变电所,bian'dian'suo
变压器厂,bian'ya'qi'chang
便益门,bian'yi'men
卜杨村,bo'yang'cun
卜庄,bo'zhuang
步家,bu'jia
漕河桥,cao'he'qiao
漕河桥御河院,cao'he'qiao'yu'he'yuan
汊河镇,cha'he'zhen
柴圩村,chai'wei'cun
长城饭店,chang'cheng'fan'dian
长泉电器,chang'quan'dian'qi
长生,chang'sheng
长途公司四联家电,chang'tu'gong'si'si'lian'jia'dian
潮龙村,chao'long'cun
车管所,che'guan'suo
陈港,chen'gang
陈四房,chen'si'fang
陈巷,chen'xiang
陈庄,chen'zhuang
城北乡政府,cheng'bei'xiang'zheng'fu
城南医院,cheng'nan'yi'yuan
崇文苑,chong'wen'yuan
崇文苑天虹大酒店,chong'wen'yuan'tian'hong'da'jiu'dian
仇庄,chou'zhuang
川奇光电,chuan'qi'guang'dian
创利皮革公司,chuang'li'pi'ge'gong'si
创业园,chuang'ye'yuan
创业中心,chuang'ye'zhong'xin
春江花园,chun'jiang'hua'yuan
春兰大酒店,chun'lan'da'jiu'dian
翠岗路,cui'gang'lu
翠岗小区,cui'gang'xiao'qu
翠岗中学,cui'gang'zhong'xue
大酒店,da'jiu'dian
大里桥,da'li'qiao
大刘庄,da'liu'zhuang
大明寺,da'ming'si
大桥东,da'qiao'dong
大润发,da'run'fa
大润发广陵店,da'run'fa'guang'ling'dian
大润发邗江店汇好数码广场,da'run'fa'han'jiang'dian'hui'hao'shu'ma'guang'chang
大市口北站,da'shi'kou'bei'zhan
