阿金沟,a'jin'gou
阿金沟沟口,a'jin'gou'gou'kou
阿金沟口,a'jin'gou'kou
阿金沟派出所,a'jin'gou'pai'chu'suo
阿金路,a'jin'lu
安城街,an'cheng'jie
安城街北,an'cheng'jie'bei
安城街南,an'cheng'jie'nan
安居小区,an'ju'xiao'qu
安康街,an'kang'jie
拔萃学校,ba'cui'xue'xiao
八中,ba'zhong
百货二库,bai'huo'er'ku
北关,bei'guan
北海新,bei'hai'xin
北厚屯,bei'hou'tun
北厚一街,bei'hou'yi'jie
北龙凤,bei'long'feng
北山社区,bei'shan'she'qu
北山头,bei'shan'tou
北站,bei'zhan
北镇街,bei'zhen'jie
北镇街南,bei'zhen'jie'nan
变电所,bian'dian'suo
滨河路东段,bin'he'lu'dong'duan
滨河路中段,bin'he'lu'zhong'duan
残联,can'lian
长城街,chang'cheng'jie
长城街北,chang'cheng'jie'bei
长城街南,chang'cheng'jie'nan
长城街中,chang'cheng'jie'zhong
长春街,chang'chun'jie
长春街北,chang'chun'jie'bei
长春桥北,chang'chun'qiao'bei
长客修配厂,chang'ke'xiu'pei'chang
昌图街,chang'tu'jie
城东大道,cheng'dong'da'dao
城东新区,cheng'dong'xin'qu
城东幼儿园,cheng'dong'you'er'yuan
程家,cheng'jia
城顺桥,cheng'shun'qiao
传染病院,chuan'ran'bing'yuan
春华街,chun'hua'jie
茨沟,ci'gou
茨沟北街,ci'gou'bei'jie
茨沟沟口,ci'gou'gou'kou
茨沟南街,ci'gou'nan'jie
催化剂厂,cui'hua'ji'chang
大官屯,da'guan'tun
搭连,da'lian
搭连桥,da'lian'qiao
搭连小区,da'lian'xiao'qu
大南,da'nan
大南桥头,da'nan'qiao'tou
大瓦,da'wa
电车站,dian'che'zhan
电镀厂,dian'du'chang
丁家村,ding'jia'cun
东安街,dong'an'jie
东华村,dong'hua'cun
东林路,dong'lin'lu
东七路,dong'qi'lu
东山路口,dong'shan'lu'kou
东台,dong'tai
东洲,dong'zhou
东洲大街,dong'zhou'da'jie
东洲交警大队,dong'zhou'jiao'jing'da'dui
东洲桥北,dong'zhou'qiao'bei
东洲桥南,dong'zhou'qiao'nan
东洲区政府,dong'zhou'qu'zheng'fu
东洲三校,dong'zhou'san'xiao
东洲商场,dong'zhou'shang'chang
二厂路口,er'chang'lu'kou
二培,er'pei
二十六中,er'shi'liu'zhong
二校,er'xiao
二院,er'yuan
二院西门,er'yuan'xi'men
二职专,er'zhi'zhuan
二中,er'zhong
方大上上城,fang'da'shang'shang'cheng
方晓,fang'xiao
富贵嘉苑,fu'gui'jia'yuan
富平路,fu'ping'lu
抚顺八纬路,fu'shun'ba'wei'lu
抚顺白云商场,fu'shun'bai'yun'shang'chang
抚顺大学,fu'shun'da'xue
抚顺南站,fu'shun'nan'zhan
抚顺卫校,fu'shun'wei'xiao
抚顺县医院,fu'shun'xian'yi'yuan
抚顺职业技术学院,fu'shun'zhi'ye'ji'shu'xue'yuan
抚西河桥,fu'xi'he'qiao
盖县街,gai'xian'jie
钢管厂,gang'guan'chang
高山路,gao'shan'lu
高山路东,gao'shan'lu'dong
高山社区,gao'shan'she'qu
高湾开发区管委会,gao'wan'kai'fa'qu'guan'wei'hui
高湾农场,gao'wan'nong'chang
高湾区政府,gao'wan'qu'zheng'fu
高湾小学,gao'wan'xiao'xue
高阳路,gao'yang'lu
高中,gao'zhong
葛布北沟,ge'bu'bei'gou
葛布北街,ge'bu'bei'jie
葛布东街北,ge'bu'dong'jie'bei
葛布东街南,ge'bu'dong'jie'nan
葛布东街中,ge'bu'dong'jie'zhong
葛布新村,ge'bu'xin'cun
工农街,gong'nong'jie
供应科,gong'ying'ke
公园东门,gong'yuan'dong'men
公园南门,gong'yuan'nan'men
公园一校,gong'yuan'yi'xiao
沟茨沟口,gou'ci'gou'kou
