阿巴达,a'ba'da
阿比让,a'bi'rang
阿德莱德,a'de'lai'de
阿尔伯格,a'er'bo'ge
阿尔及尔,a'er'ji'er
阿加图里亚斯,a'jia'tu'li'ya'si
阿克拉,a'ke'la
阿雷格里港,a'lei'ge'li'gang
阿利坎特,a'li'kan'te
阿曼,a'man
阿姆斯特丹,a'mu'si'te'dan
阿斯马拉,a'si'ma'la
埃德蒙顿,ai'de'meng'dun
爱丁堡,ai'ding'bao
埃里温,ai'li'wen
埃莫西约,ai'mo'xi'yue
埃因霍温,ai'yin'huo'wen
安卡拉,an'ka'la
安科纳,an'ke'na
安齐奥,an'qi'ao
安托法加斯塔,an'tuo'fa'jia'si'ta
敖得萨,ao'de'sa
奥胡斯,ao'hu'si
奥克兰,ao'ke'lan
奥兰,ao'lan
澳门,ao'men
奥斯路,ao'si'lu
巴尔蒂摩尔,ba'er'di'mo'er
巴格达,ba'ge'da
巴库,ba'ku
巴兰基亚,ba'lan'ji'ya
巴勒莫,ba'le'mo
巴里,ba'li
巴黎,ba'li
巴林机场,ba'lin'ji'chang
巴马科,ba'ma'ke
巴拿马,ba'na'ma
巴塞罗纳,ba'sai'luo'na
巴西利亚,ba'xi'li'ya
巴亚尔塔港,ba'ya'er'ta'gang
百慕大机场,bai'mu'da'ji'chang
白沙瓦,bai'sha'wa
班吉,ban'ji
班加尔罗,ban'jia'er'luo
班加西,ban'jia'xi
班珠尔,ban'zhu'er
贝尔法斯特,bei'er'fa'si'te
贝尔格来德,bei'er'ge'lai'de
贝伦,bei'lun
毕尔巴鄂,bi'er'ba'e
比伦德,bi'lun'de
比萨,bi'sa
比绍,bi'shao
槟城,bin'cheng
波尔多,bo'er'duo
伯尔尼,bo'er'ni
波迩图,bo'er'tu
波哥大,bo'ge'da
伯根,bo'gen
柏林,bo'lin
玻罗尼亚,bo'luo'ni'ya
伯明翰,bo'ming'han
波士顿,bo'shi'dun
波特兰,bo'te'lan
布达佩斯,bu'da'pei'si
布加勒斯特,bu'jia'le'si'te
布拉柴维尔,bu'la'chai'wei'er
布拉格,bu'la'ge
不莱梅,bu'lai'mei
布兰太尔,bu'lan'tai'er
布里斯班,bu'li'si'ban
布里斯托尔,bu'li'si'tuo'er
布林迪西,bu'lin'di'xi
布隆方丹,bu'long'fang'dan
布鲁塞尔,bu'lu'sai'er
布琼布拉,bu'qiong'bu'la
布宜诺斯艾利斯,bu'yi'nuo'si'ai'li'si
长崎,chang'qi
冲绳岛,chong'sheng'dao
大阪,da'ban
达尔文,da'er'wen
大加那利岛,da'jia'na'li'dao
达卡,da'ka
达喀尔,da'ka'er
达拉斯,da'la'si
达累斯萨拉母,da'lei'si'sa'la'mu
大马士革,da'ma'shi'ge
代顿,dai'dun
丹佛,dan'fo
丹吉尔,dan'ji'er
德班,de'ban
德黑兰,de'hei'lan
得垒斯顿,de'lei'si'dun
的黎波里,de'li'bo'li
的里雅斯特,de'li'ya'si'te
迪拜,di'bai
第比利斯,di'bi'li'si
蒂华纳,di'hua'na
地拉那,di'la'na
底特律,di'te'lv
东京,dong'jing
东伦敦,dong'lun'dun
杜阿拉,du'a'la
都柏林,du'bo'lin
杜兰戈,du'lan'ge
都灵,du'ling
杜塞尔多夫,du'sai'er'duo'fu
多哈,duo'ha
多伦多,duo'lun'duo
恩多拉,en'duo'la
恩贾梅纳,en'jia'mei'na
法兰克福,fa'lan'ke'fu
法鲁,fa'lu
费城,fei'cheng
费里顿,fei'li'dun
费萨拉巴德,fei'sa'la'ba'de
腓特烈港,fei'te'lie'gang
凤凰城,feng'huang'cheng
丰沙尔,feng'sha'er
福冈,fu'gang
釜山,fu'shan
哥本哈根,ge'ben'ha'gen
哥德堡,ge'de'bao
哥拉斯格,ge'la'si'ge
格拉兹,ge'la'zi
哥伦布,ge'lun'bu
根西岛,gen'xi'dao
瓜达拉哈拉,gua'da'la'ha'la
瓜尔基尔,gua'er'ji'er
广岛,guang'dao
哈博罗内,ha'bo'luo'nei
哈佛,ha'fo
哈拉蕾,ha'la'lei
哈利法克斯,ha'li'fa'ke'si
海得拉巴,hai'de'la'ba
汉堡,han'bao
汉城,han'cheng
汉诺威,han'nuo'wei
赫尔辛基,he'er'xin'ji
荷台达,he'tai'da
黑角,hei'jiao
胡志明,hu'zhi'ming
华雷斯,hua'lei'si
华沙,hua'sha
华盛顿,hua'sheng'dun
惠灵顿,hui'ling'dun
火奴鲁鲁,huo'nu'lu'lu
吉布提,ji'bu'ti
吉达,ji'da
基多,ji'duo
基辅,ji'fu
基加里,ji'jia'li
吉隆坡,ji'long'po
基特韦,ji'te'wei
加的夫,jia'de'fu
加德满都,jia'de'man'du
加拉加斯,jia'la'jia'si
金边,jin'bian
金伯利,jin'bo'li
金沙萨,jin'sha'sa
旧金山,jiu'jin'shan
巨港巴邻旁,ju'gang'ba'lin'pang
君斯坦丁,jun'si'tan'ding
喀布尔,ka'bu'er
卡尔加里,ka'er'jia'li
卡拉奇,ka'la'qi
卡利,ka'li
卡利卡特,ka'li'ka'te
卡里亚里,ka'li'ya'li
卡隆,ka'long
卡诺,ka'nuo
卡萨布兰卡,ka'sa'bu'lan'ka
卡苏美尔,ka'su'mei'er
卡塔尼亚,ka'ta'ni'ya
喀土木,ka'tu'mu
开罗,kai'luo
开普顿,kai'pu'dun
坎昆,kan'kun
堪萨斯城,kan'sa'si'cheng
康赛普西恩,kang'sai'pu'xi'en
科克,ke'ke
克拉根福,ke'la'gen'fu
克拉克夫,ke'la'ke'fu
克来斯特彻奇,ke'lai'si'te'che'qi
克里夫兰,ke'li'fu'lan
克里斯蒂安桑,ke'li'si'di'an'sang
科伦坡,ke'lun'po
科那克里,ke'na'ke'li
科托努,ke'tuo'nu
科威特,ke'wei'te
库里蒂巴,ku'li'di'ba
库利亚坎,ku'li'ya'kan
奎达,kui'da
拉巴斯,la'ba'si
拉巴特,la'ba'te
拉各斯,la'ge'si
拉合尔,la'he'er
拉纳卡,la'na'ka
莱比锡,lai'bi'xi
劳德代尔堡,lao'de'dai'er'bao
雷焦卡拉布里亚,lei'jiao'ka'la'bu'li'ya
雷克亚未克,lei'ke'ya'wei'ke
利昂,li'ang
利伯维尔,li'bo'wei'er
里加,li'jia
莉丽,li'li
利隆圭,li'long'gui
利马,li'ma
里米尼,li'mi'ni
里斯本,li'si'ben
利文斯顿,li'wen'si'dun
利物浦,li'wu'pu
利亚德,li'ya'de
里约热内卢,li'yue're'nei'lu
利兹,li'zi
列宁格勒,lie'ning'ge'le
林茨,lin'ci
卢布尔亚那,lu'bu'er'ya'na
卢萨卡,lu'sa'ka
卢森堡,lu'sen'bao
伦敦,lun'dun
罗安达,luo'an'da
罗马,luo'ma
洛美,luo'mei
洛杉矶,luo'shan'ji
马埃岛,ma'ai'dao
马德拉斯,ma'de'la'si
马德里,ma'de'li
马恩岛,ma'en'dao
马尔他,ma'er'ta
马拉博,ma'la'bo
马拉基波,ma'la'ji'bo
马拉加,ma'la'jia
马瑙斯,ma'nao'si
马尼拉,ma'ni'la
马普托,ma'pu'tuo
马萨特兰,ma'sa'te'lan
马赛,ma'sai
马斯喀特,ma'si'ka'te
迈阿密,mai'a'mi
麦德林,mai'de'lin
曼彻斯特,man'che'si'te
曼谷,man'gu
毛里求斯,mao'li'qiu'si
梅里达,mei'li'da
蒙巴萨,meng'ba'sa
蒙得维拉得,meng'de'wei'la'de
蒙罗维亚,meng'luo'wei'ya
孟买,meng'mai
蒙特雷,meng'te'lei
蒙特利尔,meng'te'li'er
米尔活基,mi'er'huo'ji
米兰,mi'lan
米卢斯,mi'lu'si
棉兰,mian'lan
名古屋,ming'gu'wu
明尼阿波利,ming'ni'a'bo'li
明斯克,ming'si'ke
墨尔本,mo'er'ben
摩加迪沙,mo'jia'di'sha
莫罗尼,mo'luo'ni
莫斯科,mo'si'ke
墨西哥,mo'xi'ge
木尔坦,mu'er'tan
慕尼黑,mu'ni'hei
穆斯特,mu'si'te
那不勒斯,na'bu'le'si
拿骚,na'sao
南特,nan'te
内罗比,nei'luo'bi
尼克西亚,ni'ke'xi'ya
尼斯,ni'si
尼雪平,ni'xue'ping
尼亚美,ni'ya'mei
纽卡斯尔,niu'ka'si'er
纽伦堡,niu'lun'bao
纽约,niu'yue
努美阿,nu'mei'a
努瓦克肖特,nu'wa'ke'xiao'te
诺里奇,nuo'li'qi
帕尔马,pa'er'ma
帕皮提,pa'pi'ti
潘泰莱亚岛,pan'tai'lai'ya'dao
佩斯卡拉,pei'si'ka'la
匹慈堡,pi'ci'bao
平壤,ping'rang
珀斯,po'si
乞力马扎罗,qi'li'ma'zha'luo
热那亚,re'na'ya
日内瓦,ri'nei'wa
萨尔布吕肯,sa'er'bu'lv'ken
萨尔茨堡,sa'er'ci'bao
萨格勒布,sa'ge'le'bu
萨拉戈萨,sa'la'ge'sa
萨拉热窝,sa'la're'wo
萨马拉,sa'ma'la
萨那,sa'na
塞萨罗尼基,sai'sa'luo'ni'ji
桑给巴尔,sang'ji'ba'er
塞维利亚,se'wei'li'ya
沙迦,sha'jia
圣埃斯皮里图岛,sheng'ai'si'pi'li'tu'dao
圣保罗,sheng'bao'luo
圣丹尼斯,sheng'dan'ni'si
圣地哥,sheng'di'ge
圣地亚哥,sheng'di'ya'ge
圣地亚哥德孔波斯特,sheng'di'ya'ge'de'kong'bo'si'te
圣多美,sheng'duo'mei
圣胡安,sheng'hu'an
圣路伊丝,sheng'lu'yi'si
圣皮艾尔,sheng'pi'ai'er
圣向塞德尔卡沃,sheng'xiang'se'de'er'ka'wo
圣约翰斯,sheng'yue'han'si
斯得哥尔摩,si'de'ge'er'mo
思德培,si'de'pei
斯科普里,si'ke'pu'li
斯里巴加湾市,si'li'ba'jia'wan'shi
斯塔万格,si'ta'wan'ge
斯特拉斯堡,si'te'la'si'bao
斯图加特,si'tu'jia'te
苏黎士,su'li'shi
索菲亚,suo'fei'ya
塔拉拉,ta'la'la
塔林,ta'lin
塔那那利佛,ta'na'na'li'fo
塔伊兹,ta'yi'zi
台北,tai'bei
坦佩雷,tan'pei'lei
坦皮科,tan'pi'ke
特拉帕尼,te'la'pa'ni
特拉维夫,te'la'wei'fu
特内里费,te'nei'li'fei
图尔库,tu'er'ku
图卢兹,tu'lu'zi
突尼斯,tu'ni'si
瓦哈卡,wa'ha'ka
瓦加杜古,wa'jia'du'gu
瓦伦西亚,wa'lun'xi'ya
万象,wan'xiang
维多利亚,wei'duo'li'ya
维尔纽斯,wei'er'niu'si
维拉港,wei'la'gang
维罗纳,wei'luo'na
威尼斯,wei'ni'si
维也纳,wei'ye'na
温得和克,wen'de'he'ke
温哥华,wen'ge'hua
温尼伯,wen'ni'bo
渥太华,wo'tai'hua
乌兰巴托,wu'lan'ba'tuo
西班牙港,xi'ban'ya'gang
悉尼,xi'ni
西雅图,xi'ya'tu
下诺夫哥罗德,xia'nuo'fu'ge'luo'de
香港,xiang'gang
香农,xiang'nong
新德里,xin'de'li
新加坡,xin'jia'po
休斯顿,xiu'si'dun
亚伯丁,ya'bo'ding
亚地斯亚贝巴,ya'di'si'ya'bei'ba
雅典,ya'dian
亚丁,ya'ding
雅加达,ya'jia'da
亚松森,ya'song'sen
亚特兰大,ya'te'lan'da
雅温得,ya'wen'de
延雪平,yan'xue'ping
仰光,yang'guang
伊基托斯,yi'ji'tuo'si
伊利莎白港,yi'li'sha'bai'gang
伊斯兰堡,yi'si'lan'bao
伊斯坦布尔,yi'si'tan'bu'er
伊兹密尔,yi'zi'mi'er
因斯布鲁克,yin'si'bu'lu'ke
约翰内斯堡,yue'han'nei'si'bao
泽西,ze'xi
札幌,zha'huang
直布罗陀,zhi'bu'luo'tuo
芝加哥,zhi'jia'ge
