爱恶欲,ai'wu'yu
八百载,ba'bai'zai
百而千,bai'er'qian
北元魏,bei'yuan'wei
本风人,ben'feng'ren
本乎数,ben'hu'shu
彼不教,bi'bu'jiao
鼻所嗅,bi'suo'xiu
必有初,bi'you'chu
遍水陆,bian'shui'lu
辨王载,bian'wang'zai
别善恶,bie'shan'e
并文雄,bing'wen'xiong
波既成,bo'ji'cheng
波既老,bo'ji'lao
波既仕,bo'ji'shi
波女子,bo'nv'zi
波虽幼,bo'sui'you
波无书,bo'wu'shu
波颖悟,bo'ying'wu
不成器,bu'cheng'qi
不可乱,bu'ke'luan
不容紊,bu'rong'wen
不如物,bu'ru'wu
不再传,bu'zai'chuan
不知义,bu'zhi'yi
蔡文姬,cai'wen'ji
参通鉴,can'tong'jian
蚕吐丝,can'tu'si
禅尊位,chan'zun'wei
朝於斯,chao'yu'si
称大明,cheng'da'ming
成廿五,cheng'nian'wu
称三王,cheng'san'wang
逞士戈,cheng'shi'ge
称五代,cheng'wu'dai
称行省,cheng'xing'sheng
赤道下,chi'dao'xia
楚汉争,chu'han'zheng
除隋乱,chu'sui'luan
传二世,chuan'er'shi
创国基,chuang'guo'ji
春秋作,chun'qiu'zuo
此动物,ci'dong'wu
此二篇,ci'er'pian
次见闻,ci'jian'wen
此六畜,ci'liu'chu
此六谷,ci'liu'gu
此莫先,ci'mo'xian
此四渎,ci'si'du
此四方,ci'si'fang
此四民,ci'si'min
此四声,ci'si'sheng
此四史,ci'si'shi
此四时,ci'si'shi
此五常,ci'wu'chang
此五臭,ci'wu'chou
此五色,ci'wu'se
此五味,ci'wu'wei
此五行,ci'wu'xing
此五音,ci'wu'yin
此五岳,ci'wu'yue
次兄弟,ci'xiong'di
此植物,ci'zhi'wu
撮其要,cuo'qi'yao
大小戴,da'xiao'dai
大小篆,da'xiao'zhuan
大学者,da'xue'zhe
迨成祖,dai'cheng'zu
迨至隋,dai'zhi'sui
逮邹枚,dai'zou'mei
但略说,dan'lue'shuo
当讽诵,dang'feng'song
当顺叙,dang'shun'xu
当效之,dang'xiao'zhi
当中权,dang'zhong'quan
当自警,dang'zi'jing
稻粱菽,dao'liang'shu
地所生,di'suo'sheng
弟于长,di'yu'chang
窦燕山,dou'yan'shan
都金陵,du'jin'ling
读鲁论,du'lu'lun
读史者,du'shi'zhe
读书籍,du'shu'ji
读有次,du'you'ci
读诸史,du'zhu'shi
断机杼,duan'ji'zhu
多亡佚,duo'wang'yi
尔男子,er'nan'zi
二十传,er'shi'chuan
二十篇,er'shi'pian
二十七,er'shi'qi
耳所取,er'suo'qu
尔细学,er'xi'xue
尔小生,er'xiao'sheng
尔雅者,er'ya'zhe
尔幼学,er'you'xue
返沙碛,fan'sha'qi
凡学者,fan'xue'zhe
凡训蒙,fan'xun'meng
凡正史,fan'zheng'shi
方读子,fang'du'zi
方七岁,fang'qi'sui
方少时,fang'shao'shi
非所宜,fei'suo'yi
分东西,fen'dong'xi
蜂酿蜜,feng'niang'mi
父而身,fu'er'shen
夫妇顺,fu'fu'shun
父之过,fu'zhi'guo
父子亲,fu'zi'qin
父子先,fu'zi'xian
高曾祖,gao'zeng'zu
高祖兴,gao'zu'xing
宫商角,gong'shang'jiao
苟不教,gou'bu'jiao
苟不学,gou'bu'xue
古九流,gu'jiu'liu
古九州,gu'jiu'zhou
古六艺,gu'liu'yi
古圣贤,gu'sheng'xian
古圣著,gu'sheng'zhu
光于前,guang'yu'qian
贵以专,gui'yi'zhuan
国号商,guo'hao'shang
国乃改,guo'nai'gai
国之良,guo'zhi'liang
国志四,guo'zhi'si
汉贾董,han'jia'dong
汉书二,han'shu'er
汉业建,han'ye'jian
寒燠均,han'yu'jun
韩与柳,han'yu'liu
号三国,hao'san'guo
号三皇,hao'san'huang
号四诗,hao'si'shi
号唐虞,hao'tang'yu
合群经,he'qun'jing
曷为人,he'wei'ren
后汉三,hou'han'san
及白黑,ji'bai'hei
及汉周,ji'han'zhou
纪洪武,ji'hong'wu
及老庄,ji'lao'zhuang
集礼记,ji'li'ji
及朋友,ji'peng'you
记其事,ji'qi'shi
暨卿云,ji'qing'yun
鸡犬豕,ji'quan'shi
记善言,ji'shan'yan
既识字,ji'shi'zi
鸡司晨,ji'si'chen
及辛咸,ji'xin'xian
及腥朽,ji'xing'xiu
及许郑,ji'xu'zheng
及徵羽,ji'zheng'yu
家虽贫,jia'sui'pin
家天下,jia'tian'xia
甲至癸,jia'zhi'gui
兼戎狄,jian'rong'di
兼证经,jian'zheng'jing
讲说文,jiang'shuo'wen
教不严,jiao'bu'yan
教五子,jiao'wu'zi
教之道,jiao'zhi'dao
皆道学,jie'dao'xue
皆经师,jie'jing'shi
皆夷裔,jie'yi'yi
皆有由,jie'you'you
戒之哉,jie'zhi'zai
今不具,jin'bu'ju
今单行,jin'dan'xing
今改制,jin'gai'zhi
金满籯,jin'man'ying
金之后,jin'zhi'hou
经既明,jing'ji'ming
经子通,jing'zi'tong
九十年,jiu'shi'nian
九族者,jiu'zu'zhe
惧其繁,ju'qi'fan
举神童,ju'shen'tong
绝宋世,jue'song'shi
君臣后,jun'chen'hou
君臣义,jun'chen'yi
考实录,kao'shi'lu
考世系,kao'shi'xi
孔子述,kong'zi'shu
口而诵,kou'er'song
口所含,kou'suo'han
老何为,lao'he'wei
乐经亡,le'jing'wang
隶草继,li'cao'ji
礼春秋,li'chun'qiu
历代事,li'dai'shi
礼法备,li'fa'bei
李若杜,li'ruo'du
历宣幽,li'xuan'you
礼乐射,li'yue'she
礼智信,li'zhi'xin
莅中国,li'zhong'guo
梁陈承,liang'chen'cheng
梁灭之,liang'mie'zhi
梁唐晋,liang'tang'jin
辽兴金,liao'xing'jin
六百载,liu'bai'zai
六经者,liu'jing'zhe
流寇起,liu'kou'qi
论语者,lun'yu'zhe
蠃秦氏,luo'qin'shi
马牛羊,ma'niu'yang
麦黍稷,mai'shu'ji
孟子者,meng'zi'zhe
泌七岁,mi'qi'sui
勉而致,mian'er'zhi
明句读,ming'ju'dou
名俱扬,ming'ju'yang
明王氏,ming'wang'shi
木金土,mu'jin'tu
木石金,mu'shi'jin
目所识,mu'suo'shi
乃八音,nai'ba'yin
乃大同,nai'da'tong
乃曾子,nai'zeng'zi
南北混,nan'bei'hun
能辩琴,neng'bian'qin
能飞走,neng'fei'zou
能赋棋,neng'fu'qi
能让梨,neng'rang'li
能述圣,neng'shu'sheng
能温席,neng'wen'xi
能咏诗,neng'yong'shi
能咏吟,neng'yong'yin
能知源,neng'zhi'yuan
廿四部,nian'si'bu
年五十,nian'wu'shi
匏土革,pao'tu'ge
披薄编,pi'bo'bian
迄两晋,qi'liang'jin
七篇止,qi'pian'zhi
七情具,qi'qing'ju
七雄出,qi'xiong'chu
起义师,qi'yi'shi
千而万,qian'er'wan
迁宛平,qian'wan'ping
迁夏社,qian'xia'she
且聪敏,qie'cong'min
且知勉,qie'zhi'mian
亲师友,qin'shi'you
勤有功,qin'you'gong
青赤黄,qing'chi'huang
清太祖,qing'tai'zu
清祚终,qing'zuo'zhong
求经训,qiu'jing'xun
取五种,qu'wu'zhong
屈原赋,qu'yuan'fu
犬守夜,quan'shou'ye
权阉肆,quan'yan'si
全在兹,quan'zai'zi
群弟子,qun'di'zi
人不学,ren'bu'xue
人称奇,ren'cheng'qi
人共遵,ren'gong'zun
人所食,ren'suo'shi
人所饲,ren'suo'si
人遗子,ren'yi'zi
