阿伯丁,a'bo'ding
阿部道子,a'bu'dao'zi
阿部敦,a'bu'dun
阿澄佳奈,a'cheng'jia'nai
阿川恭子,a'chuan'gong'zi
阿蒂亚,a'di'ya
阿尔彼特罗,a'er'bi'te'luo
阿莉亚,a'li'ya
阿良良木历,a'liang'liang'mu'li
阿妮艾斯,a'ni'ai'si
阿塞妮,a'sai'ni
阿斯特雷亚,a'si'te'lei'ya
阿托子,a'tuo'zi
艾尔,ai'er
爱河里花子,ai'he'li'hua'zi
艾蕾多,ai'lei'duo
艾蕾诺亚,ai'lei'nuo'ya
艾莉森威汀顿,ai'li'sen'wei'ting'dun
爱丽丝,ai'li'si
艾利西亚,ai'li'xi'ya
艾莉茲,ai'li'zi
艾露克露,ai'lu'ke'lu
艾鲁西,ai'lu'xi
艾斯托,ai'si'tuo
爱维利露,ai'wei'li'lu
岸博之,an'bo'zhi
安达忍,an'da'ren
安达直人,an'da'zhi'ren
闇绘,an'hui
安井邦彦,an'jing'bang'yan
安井絵里,an'jing'hui'li
安井绘里,an'jing'hui'li
安居升,an'ju'sheng
安莉艾塔,an'li'ai'ta
安利亚林格,an'li'ya'lin'ge
安琪三叶,an'qi'san'ye
安藤,an'teng
安藤爱子,an'teng'ai'zi
安藤麻吹,an'teng'ma'chui
安田美和,an'tian'mei'he
安田未央,an'tian'wei'yang
安田早希,an'tian'zao'xi
岸尾大辅,an'wei'da'fu
安西英美,an'xi'ying'mei
岸野幸正,an'ye'xing'zheng
岸野真一,an'ye'zhen'yi
岸祐二,an'you'er
安原丽子,an'yuan'li'zi
安元洋贵,an'yuan'yang'gui
奥井雅美,ao'jing'ya'mei
奥路卡特,ao'lu'ka'te
奥山弥生,ao'shan'mi'sheng
奥田民义,ao'tian'min'yi
奥沢菜穂子,ao'ze'cai'sui'zi
奥真纪子,ao'zhen'ji'zi
八坂一,ba'ban'yi
八幡平司,ba'fan'ping'si
八户优,ba'hu'you
巴菁子,ba'jing'zi
八九寺真宵,ba'jiu'si'zhen'xiao
巴罗多,ba'luo'duo
巴麻美,ba'ma'mei
八木光生,ba'mu'guang'sheng
八木田真树,ba'mu'tian'zhen'shu
八奈见乘儿,ba'nai'jian'cheng'er
八奈见乘児,ba'nai'jian'cheng'er
八十川真由野,ba'shi'chuan'zhen'you'ye
八束,ba'shu
八云,ba'yun
八云滨路,ba'yun'bin'lu
百百麻子,bai'bai'ma'zi
白坂道子,bai'ban'dao'zi
白仓麻,bai'cang'ma
白仓麻子,bai'cang'ma'zi
白川直也,bai'chuan'zhi'ye
柏恩斯坦,bai'en'si'tan
柏谷雄太,bai'gu'xiong'tai
白河真由,bai'he'zhen'you
百花缭乱,bai'hua'liao'luan
白井黑子,bai'jing'hei'zi
白井黒子,bai'jing'hei'zi
白井桃子,bai'jing'tao'zi
百瀬圭,bai'lai'gui
柏木弘美,bai'mu'hong'mei
柏木胧,bai'mu'long
白木杏奈,bai'mu'xing'nai
白鸟由里,bai'niao'you'li
白鸟哲,bai'niao'zhe
白石冬美,bai'shi'dong'mei
白石凉子,bai'shi'liang'zi
白石奈亚美,bai'shi'nai'ya'mei
白石稔,bai'shi'ren
白石遥,bai'shi'yao
白藤杏子,bai'teng'xing'zi
白土麻子,bai'tu'ma'zi
白熊寛嗣,bai'xiong'kuan'si
白雪霙,bai'xue'ying
百野栞,bai'ye'kan
坂本千夏,ban'ben'qian'xia
坂本雄二,ban'ben'xiong'er
坂本真绫,ban'ben'zhen'ling
坂本梓马,ban'ben'zi'ma
板仓光隆,ban'cang'guang'long
坂场秀夫,ban'chang'xiu'fu
半场友惠,ban'chang'you'hui
板东爱,ban'dong'ai
坂诘贵之,ban'jie'gui'zhi
斑鸠菖蒲,ban'jiu'chang'pu
斑鸠笼目,ban'jiu'long'mu
斑鸠千早,ban'jiu'qian'zao
斑鸠伊吹,ban'jiu'yi'chui
坂卷亮祐,ban'juan'liang'you
阪口大助,ban'kou'da'zhu
坂口候一,ban'kou'hou'yi
坂口哲夫,ban'kou'zhe'fu
阪口周平,ban'kou'zhou'ping
坂崎嘉穂,ban'qi'jia'sui
板橋渉,ban'qiao'she
坂上智代,ban'shang'zhi'dai
阪田佳代,ban'tian'jia'dai
半田雅和,ban'tian'ya'he
阪田伊都,ban'tian'yi'dou
坂田有希,ban'tian'you'xi
坂熊孝彦,ban'xiong'xiao'yan
阪脩,ban'xiu
半妖少女,ban'yao'shao'nv
坂元奈月,ban'yuan'nai'yue
邦巴,bang'ba
浜田贤二,bang'tian'xian'er
保村真,bao'cun'zhen
宝龟克寿,bao'gui'ke'shou
保志总一朗,bao'zhi'zong'yi'lang
北浜晴子,bei'bang'qing'zi
北滨晴子,bei'bin'qing'zi
北川春香,bei'chuan'chun'xiang
北川米彦,bei'chuan'mi'yan
北村弘一,bei'cun'hong'yi
北村祐作,bei'cun'you'zuo
北岛淳司,bei'dao'chun'si
北岛智恵子,bei'dao'zhi'hui'zi
北都南,bei'du'nan
贝可,bei'ke
贝鲁霍鲁多,bei'lu'huo'lu'duo
北山裕隆,bei'shan'yu'long
北原久仁香,bei'yuan'jiu'ren'xiang
北原美和,bei'yuan'mei'he
北沢洋,bei'ze'yang
本城雄太郎,ben'cheng'xiong'tai'lang
笨蛋测验召唤兽,ben'dan'ce'yan'zhao'huan'shou
本多阳子,ben'duo'yang'zi
本多真梨子,ben'duo'zhen'li'zi
本多智惠子,ben'duo'zhi'hui'zi
本多知惠子,ben'duo'zhi'hui'zi
本间仁,ben'jian'ren
本井,ben'jing
本美奈子,ben'mei'nai'zi
本名阳子,ben'ming'yang'zi
本田贵子,ben'tian'gui'zi
本田乔治,ben'tian'qiao'zhi
