阿迪热村,a'di're'cun
阿都克阿勒迪村,a'dou'ke'a'le'di'cun
阿尔浪喀村,a'er'lang'ka'cun
阿尔勒村,a'er'le'cun
阿尔帕英依孜村,a'er'pa'ying'yi'zi'cun
阿番多克村,a'fan'duo'ke'cun
阿格其布拉克社区,a'ge'qi'bu'la'ke'she'qu
阿格孜康博依社区,a'ge'zi'kang'bo'yi'she'qu
阿洪鲁库木村,a'hong'lu'ku'mu'cun
阿洪鲁库木乡,a'hong'lu'ku'mu'xiang
阿吉阿瓦提村,a'ji'a'wa'ti'cun
阿吉勒格里克村,a'ji'le'ge'li'ke'cun
阿克艾额孜村,a'ke'ai'e'zi'cun
阿克艾日克村,a'ke'ai'ri'ke'cun
阿克巴什村,a'ke'ba'shi'cun
阿克布鲁买村,a'ke'bu'lu'mai'cun
阿克墩村,a'ke'dun'cun
阿克墩结米村,a'ke'dun'jie'mi'cun
阿克江巴孜村,a'ke'jiang'ba'zi'cun
阿克喀吾斯塘村,a'ke'ka'wu'si'tang'cun
阿克库勒村,a'ke'ku'le'cun
阿克库木麻扎村,a'ke'ku'mu'ma'zha'cun
阿克阔纳克勒克村,a'ke'kuo'na'ke'le'ke'cun
阿克兰干村,a'ke'lan'gan'cun
阿克勒恰村,a'ke'le'qia'cun
阿克买里村,a'ke'mai'li'cun
阿克美其特村,a'ke'mei'qi'te'cun
阿克其格村,a'ke'qi'ge'cun
阿克恰勒乡,a'ke'qia'le'xiang
阿克切坎勒村,a'ke'qie'kan'le'cun
阿克切克勒村,a'ke'qie'ke'le'cun
阿克萨克玛热勒村,a'ke'sa'ke'ma're'le'cun
阿克萨克玛热勒乡,a'ke'sa'ke'ma're'le'xiang
阿克萨拉依村,a'ke'sa'la'yi'cun
阿克萨拉依乡,a'ke'sa'la'yi'xiang
阿克塔木村,a'ke'ta'mu'cun
阿克塔什村,a'ke'ta'shen'cun
阿克塔什社区,a'ke'ta'shen'she'qu
阿克提坎村,a'ke'ti'kan'cun
阿克提其村,a'ke'ti'qi'cun
阿克提什村,a'ke'ti'shen'cun
阿克铁热克村,a'ke'tie're'ke'cun
阿克吐尔村,a'ke'tu'er'cun
阿克托尕兰干村,a'ke'tuo'ga'lan'gan'cun
阿克托格拉克村,a'ke'tuo'ge'la'ke'cun
阿克托喀依村,a'ke'tuo'ka'yi'cun
阿克吾斯塘村,a'ke'wu'si'tang'cun
阿克央塔克村,a'ke'yang'ta'ke'cun
阿拉多斯村,a'la'duo'si'cun
阿拉格尔买里村,a'la'ge'er'mai'li'cun
阿拉格尔且克村,a'la'ge'er'qie'ke'cun
阿拉格尔乡,a'la'ge'er'xiang
阿拉库木村,a'la'ku'mu'cun
阿拉勒村,a'la'le'cun
阿拉买提乡,a'la'mai'ti'xiang
阿拉萨依干村,a'la'sa'yi'gan'cun
阿勒艾日克村,a'le'ai'ri'ke'cun
阿勒喀库勒村,a'le'ka'ku'le'cun
阿勒玛勒克村,a'le'ma'le'ke'cun
阿勒米勒克村,a'le'mi'le'ke'cun
阿勒台开斯克村,a'le'tai'kai'si'ke'cun
阿勒台买里村,a'le'tai'mai'li'cun
阿勒提来村,a'le'ti'lai'cun
阿勒吞其村,a'le'tun'qi'cun
阿鲁阿依拉村,a'lu'a'yi'la'cun
阿鲁艾日克村,a'lu'ai'ri'ke'cun
阿鲁博依村,a'lu'bo'yi'cun
阿鲁库勒村,a'lu'ku'le'cun
阿鲁买里社区,a'lu'mai'li'she'qu
阿曼托格拉克村,a'man'tuo'ge'la'ke'cun
阿曼夏村,a'man'xia'cun
阿木巴尔其村,a'mu'ba'er'qi'cun
阿纳尔巴格社区,a'na'er'ba'ge'she'qu
阿纳库勒乡,a'na'ku'le'xiang
阿帕铁热木村,a'pa'tie're'mu'cun
阿其克拜勒都尔村,a'qi'ke'bai'le'dou'er'cun
阿其克村,a'qi'ke'cun
阿其克塔勒村,a'qi'ke'ta'le'cun
阿其克塔勒克村,a'qi'ke'ta'le'ke'cun
阿其克乌依村,a'qi'ke'wu'yi'cun
阿其克乡,a'qi'ke'xiang
阿其玛村,a'qi'ma'cun
阿恰艾日克村,a'qia'ai'ri'ke'cun
阿恰贝希村,a'qia'bei'xi'cun
阿恰墩村,a'qia'dun'cun
阿恰勒村,a'qia'le'cun
阿恰勒社区,a'qia'le'she'qu
阿曲村,a'qu'cun
阿热巴格村,a're'ba'ge'cun
阿热盖买村,a're'gai'mai'cun
阿热果勒村,a're'guo'le'cun
阿热江尕勒村,a're'jiang'ga'le'cun
阿热坎特村,a're'kan'te'cun
阿热克什拉克村,a're'ke'shi'la'ke'cun
阿热勒巴格村,a're'le'ba'ge'cun
阿热勒村,a're'le'cun
阿热麻扎村,a're'ma'zha'cun
阿热买里村,a're'mai'li'cun
阿热夏普吐勒村,a're'xia'pu'tu'le'cun
阿热肖拉克村,a're'xiao'la'ke'cun
阿热肖拉克社区,a're'xiao'la'ke'she'qu
阿热亚村,a're'ya'cun
阿日希村,a'ri'xi'cun
阿容村,a'rong'cun
阿荣村,a'rong'cun
阿萨尔村,a'sa'er'cun
阿斯提阔什村,a'si'ti'kuo'shen'cun
阿特巴扎村,a'te'ba'zha'cun
阿特贝希村,a'te'bei'xi'cun
阿特加依里村,a'te'jia'yi'li'cun
阿特库都克村,a'te'ku'dou'ke'cun
阿特恰帕尔村,a'te'qia'pa'er'cun
阿特艾格勒村,a'te'yi'ge'le'cun
阿提巴扎尔社区,a'ti'ba'zha'er'she'qu
阿瓦提巴格村,a'wa'ti'ba'ge'cun
阿瓦提村,a'wa'ti'cun
阿瓦提买里斯村,a'wa'ti'mai'li'si'cun
阿瓦提镇,a'wa'ti'zhen
阿西克古勒鲁克村,a'xi'ke'gu'le'lu'ke'cun
阿亚格阿克达里亚村,a'ya'ge'a'ke'da'li'ya'cun
阿亚格阿其玛村,a'ya'ge'a'qi'ma'cun
阿亚格阿曲村,a'ya'ge'a'qu'cun
阿亚格阿瓦提村,a'ya'ge'a'wa'ti'cun
阿亚格奥依塔格村,a'ya'ge'ao'yi'ta'ge'cun
阿亚格巴格拉村,a'ya'ge'ba'ge'la'cun
阿亚格巴仁村,a'ya'ge'ba'ren'cun
阿亚格拜什塔木村,a'ya'ge'bai'shen'ta'mu'cun
阿亚格拜什铁热克村,a'ya'ge'bai'shen'tie're'ke'cun
阿亚格古勒巴格村,a'ya'ge'gu'le'ba'ge'cun
阿亚格喀拉巴格村,a'ya'ge'ka'la'ba'ge'cun
阿亚格喀其村,a'ya'ge'ka'qi'cun
阿亚格康萨依村,a'ya'ge'kang'sa'yi'cun
阿亚格科克塔勒村,a'ya'ge'ke'ke'ta'le'cun
阿亚格克皮乃克村,a'ya'ge'ke'pi'nai'ke'cun
阿亚格库木巴村,a'ya'ge'ku'mu'ba'cun
阿亚格库其村,a'ya'ge'ku'qi'cun
阿亚格阔什库勒村,a'ya'ge'kuo'shen'ku'le'cun
阿亚格拉依喀村,a'ya'ge'la'yi'ka'cun
阿亚格兰干村,a'ya'ge'lan'gan'cun
阿亚格勒格勒德玛村,a'ya'ge'le'ge'le'de'ma'cun
阿亚格麻扎库木村,a'ya'ge'ma'zha'ku'mu'cun
阿亚格欧尔达贝格村,a'ya'ge'ou'er'da'bei'ge'cun
阿亚格欧依托格拉克村,a'ya'ge'ou'yi'tuo'ge'la'ke'cun
阿亚格恰萨美其特村,a'ya'ge'qia'sa'mei'qi'te'cun
阿亚格乔拉克村,a'ya'ge'qiao'la'ke'cun
阿亚格却普村,a'ya'ge'que'pu'cun
阿亚格色日克阿塔村,a'ya'ge'se'ri'ke'a'ta'cun
阿亚格苏盖特艾日克村,a'ya'ge'su'gai'te'ai'ri'ke'cun
阿亚格塔尕其艾日克村,a'ya'ge'ta'ga'qi'ai'ri'ke'cun
阿亚格铁热木村,a'ya'ge'tie're'mu'cun
阿亚格吐格曼贝希村,a'ya'ge'tu'ge'man'bei'xi'cun
阿亚格吐古其村,a'ya'ge'tu'gu'qi'cun
阿亚格托格拉勒村,a'ya'ge'tuo'ge'la'le'cun
阿亚格托普贝格村,a'ya'ge'tuo'pu'bei'ge'cun
阿亚格乌吉热克村,a'ya'ge'wu'ji're'ke'cun
阿亚格硝尔艾日克村,a'ya'ge'xiao'er'ai'ri'ke'cun
阿亚格亚巴格村,a'ya'ge'ya'ba'ge'cun
阿亚格亚尕其村,a'ya'ge'ya'ga'qi'cun
阿亚格也依克村,a'ya'ge'ye'yi'ke'cun
阿亚格依提木玉瑞克村,a'ya'ge'yi'ti'mu'yu'rui'ke'cun
阿亚格英买里村,a'ya'ge'ying'mai'li'cun
阿亚格英温村,a'ya'ge'ying'wen'cun
阿亚格宗朗村,a'ya'ge'zong'lang'cun
阿亚古热村,a'ya'gu're'cun
阿亚克阿吉艾格勒村,a'ya'ke'a'ji'yi'ge'le'cun
阿亚克阿热果勒村,a'ya'ke'a're'guo'le'cun
阿亚克阿特巴什村,a'ya'ke'a'te'ba'shi'cun
阿亚克艾曼里克村,a'ya'ke'ai'man'li'ke'cun
阿亚克艾斯克村,a'ya'ke'ai'si'ke'cun
阿亚克奥依库勒村,a'ya'ke'ao'yi'ku'le'cun
阿亚克巴格艾日克村,a'ya'ke'ba'ge'ai'ri'ke'cun
阿亚克巴格恰村,a'ya'ke'ba'ge'qia'cun
阿亚克村,a'ya'ke'cun
阿亚克哈萨克村,a'ya'ke'ha'sa'ke'cun
阿亚克吉勒尕村,a'ya'ke'ji'le'ga'cun
阿亚克加依村,a'ya'ke'jia'yi'cun
阿亚克喀拉库勒村,a'ya'ke'ka'la'ku'le'cun
阿亚克喀依古鲁克村,a'ya'ke'ka'yi'gu'lu'ke'cun
阿亚克库都克拉村,a'ya'ke'ku'dou'ke'la'cun
阿亚克库木巴格村,a'ya'ke'ku'mu'ba'ge'cun
阿亚克麻扎村,a'ya'ke'ma'zha'cun
阿亚克米克拉村,a'ya'ke'mi'ke'la'cun
阿亚克诺村,a'ya'ke'nuo'cun
阿亚克帕万村,a'ya'ke'pa'wan'cun
阿亚克普恰克其村,a'ya'ke'pu'qia'ke'qi'cun
阿亚克前墩村,a'ya'ke'qian'dun'cun
阿亚克塔木村,a'ya'ke'ta'mu'cun
阿亚克吐格曼艾日克村,a'ya'ke'tu'ge'man'ai'ri'ke'cun
阿亚克亚尕其村,a'ya'ke'ya'ga'qi'cun
阿亚克依格孜艾日克村,a'ya'ke'yi'ge'zi'ai'ri'ke'cun
阿亚克依希塔其村,a'ya'ke'yi'xi'ta'qi'cun
阿亚克英买里村,a'ya'ke'ying'mai'li'cun
阿依丁村,a'yi'ding'cun
阿依丁库勒村,a'yi'ding'ku'le'cun
阿依坎尼特村,a'yi'kan'ni'te'cun
阿依坎特村,a'yi'kan'te'cun
阿依克日克村,a'yi'ke'ri'ke'cun
阿依库勒社区,a'yi'ku'le'she'qu
阿依玛克村,a'yi'ma'ke'cun
阿扎特巴格村,a'zha'te'ba'ge'cun
阿扎特巴格乡,a'zha'te'ba'ge'xiang
阿孜干阿勒迪村,a'zi'gan'a'le'di'cun
阿孜干巴格村,a'zi'gan'ba'ge'cun
阿孜干村,a'zi'gan'cun
阿孜干萨勒村,a'zi'gan'sa'le'cun
阿孜拉村,a'zi'la'cun
阿孜乃巴扎村,a'zi'nai'ba'zha'cun
艾德莱斯村,ai'de'lai'si'cun
艾各铁热克村,ai'ge'tie're'ke'cun
艾吉克村,ai'ji'ke'cun
艾吉赛村,ai'ji'sai'cun
艾肯博依村,ai'ken'bo'yi'cun
艾兰木布隆村,ai'lan'mu'bu'long'cun
艾力克坎土曼村,ai'li'ke'kan'tu'man'cun
艾里克坎土曼村,ai'li'ke'kan'tu'man'cun
艾里玛塔木村,ai'li'ma'ta'mu'cun
艾力什贝希村,ai'li'shen'bei'xi'cun
艾普艾格勒村,ai'pu'yi'ge'le'cun
艾然巴格村,ai'ran'ba'ge'cun
艾热恰克村,ai're'qia'ke'cun
艾赛勒巴格村,ai'sai'le'ba'ge'cun
艾散亚村,ai'san'ya'cun
艾山铁米村,ai'shan'tie'mi'cun
艾斯里坎特村,ai'si'li'kan'te'cun
艾提尕村,ai'ti'ga'cun
艾提卡尔社区,ai'ti'ka'er'she'qu
艾吾再力库木村,ai'wu'zai'li'ku'mu'cun
艾西曼镇,ai'xi'man'zhen
艾孜克松迪村,ai'zi'ke'song'di'cun
安江艾日克村,an'jiang'ai'ri'ke'cun
安江阔恰社区,an'jiang'kuo'qia'she'qu
安江买里社区,an'jiang'mai'li'she'qu
安江买里斯村,an'jiang'mai'li'si'cun
安拉买村,an'la'mai'cun
昂格特勒克村,ang'ge'te'le'ke'cun
昂格特勒克乡,ang'ge'te'le'ke'xiang
奥尔曼村,ao'er'man'cun
奥米夏村,ao'mi'xia'cun
奥塔克赛依村,ao'ta'ke'sai'yi'cun
奥特热米斯尔村,ao'te're'mi'si'er'cun
奥依巴格村,ao'yi'ba'ge'cun
奥依巴格社区,ao'yi'ba'ge'she'qu
奥依布格达依村,ao'yi'bu'ge'da'yi'cun
奥依村,ao'yi'cun
奥依阔坦村,ao'yi'kuo'tan'cun
巴楚县,ba'chu'xian
巴楚镇,ba'chu'zhen
巴格阿瓦提村,ba'ge'a'wa'ti'cun
巴格阿瓦提乡,ba'ge'a'wa'ti'xiang
巴格艾日克博依社区,ba'ge'ai'ri'ke'bo'yi'she'qu
巴格艾日克村,ba'ge'ai'ri'ke'cun
巴格达特村,ba'ge'da'te'cun
巴格霍伊拉村,ba'ge'huo'yi'la'cun
巴格吉格代村,ba'ge'ji'ge'dai'cun
巴格拉村,ba'ge'la'cun
巴格买里社区,ba'ge'mai'li'she'qu
巴格其村,ba'ge'qi'cun
巴格其社区,ba'ge'qi'she'qu
巴格其镇,ba'ge'qi'zhen
巴格恰村,ba'ge'qia'cun
巴格热克村,ba'ge're'ke'cun
巴格托格拉克村,ba'ge'tuo'ge'la'ke'cun
巴格托格热克村,ba'ge'tuo'ge're'ke'cun
巴格万村,ba'ge'wan'cun
巴哈希村,ba'ha'xi'cun
巴合希艾日克村,ba'he'xi'ai'ri'ke'cun
巴克墩村,ba'ke'dun'cun
巴拉玛斯村,ba'la'ma'si'cun
巴拉木苏依村,ba'la'mu'su'yi'cun
巴丘克村,ba'qiu'ke'cun
巴热特拉村,ba're'te'la'cun
巴仁村,ba'ren'cun
