阿巴赖,a'ba'lai
阿巴索夫,a'ba'suo'fu
阿拜,a'bai
阿不都哈力克维吾尔,a'bu'dou'ha'li'ke'wei'wu'er
阿不都哈林汗,a'bu'dou'ha'lin'han
阿不都克日木买合苏木,a'bu'dou'ke'ri'mu'mai'he'su'mu
阿布都拉托卡依,a'bu'dou'la'tuo'ka'yi
阿不都鲁苏,a'bu'dou'lu'su
阿不都热合满穆义提,a'bu'dou're'he'man'mu'yi'ti
阿不都热依木那扎尔,a'bu'dou're'yi'mu'na'zha'er
阿不都拉哈汗,a'bu'du'la'ha'han
阿不都拉提夫汗,a'bu'du'la'ti'fu'han
阿布赉,a'bu'lai
阿布勒班毕特,a'bu'le'ban'bi'te
阿布勒比斯,a'bu'le'bi'si
阿布勒海尔汗,a'bu'le'hai'er'han
阿布纳斯尔萨曼尼,a'bu'na'si'er'sa'man'ni
阿布思,a'bu'si
阿德尔乃,a'de'er'nai
阿嘀,a'di
阿跌,a'die
阿都剌因汗,a'dou'la'yin'han
阿多裴罗,a'duo'pei'luo
阿多于越,a'duo'yu'yue
阿尔巴布伯克,a'er'ba'bu'bo'ke
阿尔班尼阿哈,a'er'ban'ni'a'ha
阿尔达尔考沙,a'er'da'er'kao'sha
阿尔泰乌梁海,a'er'tai'wu'liang'hai
阿尔泰月刊,a'er'tai'yue'kan
阿尔腾麻扎,a'er'teng'ma'zha
阿尔屯伯克,a'er'tun'bo'ke
阿凡提的故事,a'fan'ti'de'gu'shi
阿凡提的笑话和故事,a'fan'ti'de'xiao'hua'he'gu'shi
阿伏至罗,a'fu'zhi'luo
阿钩羌国,a'gou'qiang'guo
阿含经,a'han'jing
阿合买提江,a'he'mai'ti'jiang
阿黑麻汗,a'hei'ma'han
阿訇,a'hong
阿吉,a'ji
阿克伯克,a'ke'bo'ke
阿克托依,a'ke'tuo'yi
阿肯,a'ken
阿肯弹唱,a'ken'tan'chang
阿拉沟的木椁墓,a'la'gou'de'mu'guo'mu
阿拉沟和鱼儿沟墓葬,a'la'gou'he'yu'er'gou'mu'zang
阿拉克依孜,a'la'ke'yi'zi
阿拉善和硕特,a'la'shan'he'shuo'te
阿拉孙,a'la'sun
阿拉特,a'la'te
阿兰,a'lan
阿老丁,a'lao'ding
阿老瓦丁,a'lao'wa'ding
阿勒巴图,a'le'ba'tu
阿勒巴图宰桑,a'le'ba'tu'zai'sang
阿里不哥,a'li'bu'ge
阿里海牙,a'li'hai'ya
阿里帕米斯,a'li'pa'mi'si
阿里特勤,a'li'te'qin
阿邻帖木儿,a'lin'tie'mu'er
阿鲁浑萨里,a'lu'hun'sa'li
阿鲁浑萨理,a'lu'hun'sa'li
阿罗多,a'luo'duo
阿罗缓,a'luo'huan
阿洛斯,a'luo'si
阿玛散查,a'ma'san'cha
阿曼尼莎汗,a'man'ni'sha'han
阿密特,a'mi'te
阿弥载,a'mi'zai
阿睦尔撒纳,a'mu'er'sa'na
阿那瓖,a'na'xiang
阿帕克和卓,a'pa'ke'he'zhuo
阿帕克和卓麻扎,a'pa'ke'he'zhuo'ma'zha
阿奇木伯克,a'qi'mu'bo'ke
阿萨兰回鹘,a'sa'lan'hui'hu
阿萨兰回鹘大王府,a'sa'lan'hui'hu'da'wang'fu
阿山归化军自卫队,a'shan'gui'hua'jun'zi'wei'dui
阿山海戈,a'shan'hai'ge
阿史德元珍,a'shi'de'yuan'zhen
阿史那步真,a'shi'na'bu'zhen
阿史那都支,a'shi'na'dou'zhi
阿史那贺鲁,a'shi'na'he'lu
阿史那斛塞罗,a'shi'na'hu'sai'luo
阿史那怀道,a'shi'na'huai'dao
阿史那弥射,a'shi'na'mi'she
阿史那社尔,a'shi'na'she'er
