阿伯特,a'bo'te
暗黑执政官,an'hei'zhi'zheng'guan
摆字,bai'zi
暴兵,bao'bing
保护罩,bao'hu'zhao
暴雪,bao'xue
爆炸攻击,bao'zha'gong'ji
孢子塔,bao'zi'ta
崩甲弹,beng'jia'dan
必输,bi'shu
冰封战场,bing'feng'zhan'chang
玻璃渣,bo'li'zha
不朽,bu'xiu
不朽者,bu'xiu'zhe
裁决者,cai'jue'zhe
采矿,cai'kuang
叉叉,cha'cha
豺狼,chai'lang
巢虫,chao'chong
超级进化病毒,chao'ji'jin'hua'bing'du
斥候,chi'hou
冲击波,chong'ji'bo
虫族,chong'zu
传送门,chuan'song'men
穿梭机,chuan'suo'ji
刺蛇,ci'she
刺蛇塔,ci'she'ta
崔然星,cui'ran'xing
大和炮,da'he'pao
大和战舰,da'he'zhan'jian
大舰,da'jian
大脚,da'jiao
大脚怪,da'jiao'guai
大脚机械人,da'jiao'ji'xie'ren
大牛,da'niu
大师,da'shi
大型单位,da'xing'dan'wei
大漩涡,da'xuan'wo
单兵营开矿,dan'bing'ying'kai'kuang
刀锋女皇,dao'feng'nv'huang
地堡,di'bao
地刺,di'ci
地扎,di'zha
电兵,dian'bing
叮当,ding'dang
毒爆虫,du'bao'chong
毒雾,du'wu
渡鸦,du'ya
多线,duo'xian
二龙,er'long
反馈,fan'kui
反应堆,fan'ying'dui
防空塔,fang'kong'ta
防御地刺,fang'yu'di'ci
肥虫,fei'chong
飞机场,fei'ji'chang
飞龙,fei'long
飞龙塔,fei'long'ta
飞天大猪头,fei'tian'da'zhu'tou
飞天螃蟹,fei'tian'pang'xie
飞天猪头,fei'tian'zhu'tou
分农民,fen'nong'min
凤凰战机,feng'huang'zhan'ji
封锁,feng'suo
腐化者,fu'hua'zhe
副矿,fu'kuang
辐射,fu'she
腐蚀兽,fu'shi'shou
附属工厂,fu'shu'gong'chang
感染,gan'ran
感染虫,gan'ran'chong
感应塔,gan'ying'ta
攻防,gong'fang
共享视野,gong'xiang'shi'ye
观察者,guan'cha'zhe
光芒执政官,guang'mang'zhi'zheng'guan
光明圣堂,guang'ming'sheng'tang
光明圣堂武士,guang'ming'sheng'tang'wu'shi
光明执政官,guang'ming'zhi'zheng'guan
光头,guang'tou
光子炮塔,guang'zi'pao'ta
鬼兵,gui'bing
海盗船,hai'dao'chuan
海盗机,hai'dao'ji
航母,hang'mu
核武兵,he'wu'bing
黑暗圣堂,hei'an'sheng'tang
黑暗圣堂武士,hei'an'sheng'tang'wu'shi
黑暗执政官,hei'an'zhi'zheng'guan
黑雾,hei'wu
红泥,hong'ni
红胖子,hong'pang'zi
红血,hong'xue
护士塔,hu'shi'ta
花生,hua'sheng
幻象,huan'xiang
皇后,huang'hou
黄金狗,huang'jin'gou
混乱,hun'luan
火车,huo'che
火枪兵,huo'qiang'bing
基地,ji'di
机甲巨人,ji'jia'ju'ren
吉姆,ji'mu
机枪兵,ji'qiang'bing
机枪兵营,ji'qiang'bing'ying
寄生,ji'sheng
机械研究所,ji'xie'yan'jiu'suo
舰队航标,jian'dui'hang'biao
劫掠者,jie'lue'zhe
金甲虫,jin'jia'chong
净化,jing'hua
精神控制,jing'shen'kong'zhi
巨像,ju'xiang
巨型机器人,ju'xing'ji'qi'ren
卡利甘,ka'li'gan
开矿,kai'kuang
科技球,ke'ji'qiu
科技实验室,ke'ji'shi'yan'shi
科技树,ke'ji'shu
科学球,ke'xue'qiu
坑道虫,keng'dao'chong
空间传送,kong'jian'chuan'song
空投,kong'tou
控制台,kong'zhi'tai
狂狗,kuang'gou
狂热者,kuang're'zhe
狂徒,kuang'tu
狂战士,kuang'zhan'shi
扩张,kuo'zhang
蓝火火车,lan'huo'huo'che
雷车,lei'che
雷车埋雷,lei'che'mai'lei
雷诺,lei'nuo
雷神,lei'shen
雷兽,lei'shou
棱镜,leng'jing
力场,li'chang
李解冻,li'jie'dong
离子,li'zi
离子盾,li'zi'dun
离子风暴,li'zi'feng'bao
离子攻击,li'zi'gong'ji
离子光刀,li'zi'guang'dao
离子炮,li'zi'pao
联邦,lian'bang
林耀焕,lin'yao'huan
领主,ling'zhu
龙骑,long'qi
龙骑房,long'qi'fang
路标,lu'biao
猛犸,meng'ma
猛犸洞,meng'ma'dong
母后,mu'hou
母舰,mu'jian
奶大,nai'da
牛头人陆战兵,niu'tou'ren'lu'zhan'bing
女王,nv'wang
女武神战机,nv'wu'shen'zhan'ji
女妖,nv'yao
女妖战机,nv'yao'zhan'ji
喷火兵,pen'huo'bing
普通攻击,pu'tong'gong'ji
朴正石,pu'zheng'shi
气盾,qi'dun
气矿,qi'kuang
潜伏,qian'fu
人族,ren'zu
入侵,ru'qin
三矿,san'kuang
骚扰,sao'rao
上上下下,shang'shang'xia'xia
哨兵,shao'bing
射程,she'cheng
神族,shen'zu
圣堂,sheng'tang
圣堂档案馆,sheng'tang'dang'an'guan
时间炸弹,shi'jian'zha'dan
实验室,shi'yan'shi
守护者,shou'hu'zhe
手速,shou'su
输入法,shu'ru'fa
双兵营,shuang'bing'ying
水晶,shui'jing
瞬间移动,shun'jian'yi'dong
斯克特,si'ke'te
搜狗,sou'gou
搜狗拼音,sou'gou'pin'yin
搜狗拼音输入法,sou'gou'pin'yin'shu'ru'fa
宿主,su'zhu
酸液,suan'ye
锁定,suo'ding
坦克厂,tan'ke'chang
坦克架起,tan'ke'jia'qi
提速,ti'su
跳科技,tiao'ke'ji
偷渡仓,tou'du'cang
秃鹫战车,tu'jiu'zhan'che
推进,tui'jin
吞噬者,tun'shi'zhe
拖把流,tuo'ba'liu
瓦格雷,wa'ge'lei
王誉桥,wang'yu'qiao
微操作,wei'cao'zuo
维京,wei'jing
猥琐秘籍,wei'suo'mi'ji
猥琐宗师,wei'suo'zong'shi
瘟疫,wen'yi
无敌迷雾,wu'di'mi'wu
相位棱镜,xiang'wei'leng'jing
小飞机,xiao'fei'ji
小胖,xiao'pang
小型单位,xiao'xing'dan'wei
蝎子,xie'zi
蝎子垛,xie'zi'duo
心灵风暴,xin'ling'feng'bao
兴奋剂,xing'fen'ji
星轨,xing'gui
星际争霸,xing'ji'zheng'ba
星门,xing'men
行星要塞,xing'xing'yao'sai
徐智秀,xu'zhi'xiu
血池,xue'chi
压制,ya'zhi
