爱送不送,ai'song'bu'song
奥维斗地主,ao'wei'dou'di'zhu
坝尾槽,ba'wei'cao
把斋,ba'zhai
白鹤滩,bai'he'tan
白鹤滩镇,bai'he'tan'zhen
白啦啦,bai'la'la
班师,ban'shi
包谷垴乡,bao'gu'nao'xiang
保健街,bao'jian'jie
包婆娘,bao'po'niang
背时了,bei'shi'le
北顺城,bei'shun'cheng
北闸,bei'zha
北闸镇,bei'zha'zhen
不尔我,bu'er'wo
不放眼里,bu'fang'yan'li
不然乃,bu'ran'nai
不是们,bu'shi'men
不准我走,bu'zhun'wo'zou
蔡国军,cai'guo'jun
茶木,cha'mu
岔片,cha'pian
车路村,che'lu'cun
成怪,cheng'guai
驰宏,chi'hong
赤水源,chi'shui'yuan
茨院,ci'yuan
村民组,cun'min'zu
大坝子,da'ba'zi
大板厂,da'ban'chang
大关,da'guan
大关县,da'guan'xian
大河边,da'he'bian
大山包,da'shan'bao
大山包乡,da'shan'bao'xiang
大水井,da'shui'jing
大寨,da'zhai
大寨村,da'zhai'cun
大寨子,da'zhai'zi
带上我吗,dai'shang'wo'ma
淡化的,dan'hua'de
到昭通,dao'zhao'tong
的得瑟,de'de'se
得很了,de'hen'le
得咋子,de'za'zi
点打我,dian'da'wo
滇东北,dian'dong'bei
电力小区,dian'li'xiao'qu
都怕是,dou'pa'shi
豆沙关,dou'sha'guan
斗头,dou'tou
杜吧,du'ba
读高几,du'gao'ji
对竹村,dui'zhu'cun
躲都躲不,duo'dou'duo'bu
儿编,er'bian
发挥举报,fa'hui'ju'bao
翻脸比翻书,fan'lian'bi'fan'shu
凤池,feng'chi
凤霞路,feng'xia'lu
改时,gai'shi
改时候,gai'shi'hou
高滩,gao'tan
高滩坝,gao'tan'ba
高田乡,gao'tian'xiang
给还要,gei'hai'yao
给怕是,gei'pa'shi
给起来了,gei'qi'lai'le
给是啦,gei'shi'la
给是了,gei'shi'le
给是嘛,gei'shi'ma
给要吃,gei'yao'chi
给要克,gei'yao'ke
给要来,gei'yao'lai
给要去,gei'yao'qu
姑儿,gu'er
官寨,guan'zhai
桧溪,gui'xi
哈鲜族,ha'xian'zu
海楼,hai'lou
海楼路,hai'lou'lu
还在早,hai'zai'zao
好不容易可以,hao'bu'rong'yi'ke'yi
好大哈,hao'da'ha
好好哩,hao'hao'li
昊龙,hao'long
号码归属,hao'ma'gui'shu
何振军,he'zhen'jun
黑颈鹤,hei'jing'he
恒帮,heng'bang
红布村,hong'bu'cun
红路,hong'lu
猴子沟,hou'zi'gou
花包谷,hua'bao'gu
花椒湾,hua'jiao'wan
欢得很,huan'de'hen
环东路,huan'dong'lu
黄葛,huang'ge
黄葛槽,huang'ge'cao
黄角树,huang'jiao'shu
黄连河,huang'lian'he
回答不回答,hui'da'bu'hui'da
会咋个,hui'za'ge
回昭通,hui'zhao'tong
火德红,huo'de'hong
记好掉,ji'hao'diao
即可攻,ji'ke'gong
家乡宝,jia'xiang'bao
角奎,jiao'kui
角奎镇,jiao'kui'zhen
戒备心理,jie'bei'xin'li
金江锦城,jin'jiang'jin'cheng
金钱与物质,jin'qian'yu'wu'zhi
金沙江,jin'sha'jiang
金沙时代,jin'sha'shi'dai
就嫩个,jiu'nen'ge
旧圃镇,jiu'pu'zhen
救灾,jiu'zai
