巴公,ba'gong
巴公桥,ba'gong'qiao
百纺公司,bai'fang'gong'si
百丽园,bai'li'yuan
白马寺,bai'ma'si
白水社区,bai'shui'she'qu
柏杨平村,bai'yang'ping'cun
白云社区,bai'yun'she'qu
保伏口,bao'fu'kou
北大街,bei'da'jie
北华学校,bei'hua'xue'xiao
北街菜市场,bei'jie'cai'shi'chang
北连氏,bei'lian'shi
背萌,bei'meng
北岩,bei'yan
北岩煤矿,bei'yan'mei'kuang
背荫,bei'yin
碧春园小区,bi'chun'yuan'xiao'qu
碧落寺,bi'luo'si
泊村,bo'cun
泊南,bo'nan
博物馆,bo'wu'guan
畅安路口,chang'an'lu'kou
长途汽车站,chang'tu'qi'che'zhan
厂小区,chang'xiao'qu
朝天宫,chao'tian'gong
陈沟,chen'gou
城郊供电公司,cheng'jiao'gong'dian'gong'si
城区法院,cheng'qu'fa'yuan
城区国税局,cheng'qu'guo'shui'ju
城区检察院,cheng'qu'jian'cha'yuan
城区政府,cheng'qu'zheng'fu
城区中医院,cheng'qu'zhong'yi'yuan
城运驾校,cheng'yun'jia'xiao
春棚小区,chun'peng'xiao'qu
崔庄,cui'zhuang
大岭头,da'ling'tou
大十字,da'shi'zi
大张村,da'zhang'cun
道头,dao'tou
电厂,dian'chang
电厂小区,dian'chang'xiao'qu
电力小区,dian'li'xiao'qu
东大建材城,dong'da'jian'cai'cheng
东街派出所,dong'jie'pai'chu'suo
东四义,dong'si'yi
东唐小镇,dong'tang'xiao'zhen
东田石,dong'tian'shi
东谢匠,dong'xie'jiang
东元庆,dong'yuan'qing
段匠,duan'jiang
二化,er'hua
二仙掌,er'xian'zhang
凤城路口,feng'cheng'lu'kou
风城路口,feng'cheng'lu'kou
凤河,feng'he
凤华学校,feng'hua'xue'xiao
凤凰岭公园,feng'huang'ling'gong'yuan
凤凰山矿,feng'huang'shan'kuang
冯匠,feng'jiang
峰景香槟花园,feng'jing'xiang'bin'hua'yuan
凤鸣小区,feng'ming'xiao'qu
凤鸣中学,feng'ming'zhong'xue
凤庆小区,feng'qing'xiao'qu
凤台加油站,feng'tai'jia'you'zhan
凤西广场,feng'xi'guang'chang
凤翔南区,feng'xiang'nan'qu
凤翔小区,feng'xiang'xiao'qu
凤瀛小区,feng'ying'xiao'qu
凤苑小区,feng'yuan'xiao'qu
凤展,feng'zhan
凤展购物广场,feng'zhan'gou'wu'guang'chang
府城,fu'cheng
富丽莱大酒店,fu'li'lai'da'jiu'dian
富民小区,fu'min'xiao'qu
富士康,fu'shi'kang
富泽小区,fu'ze'xiao'qu
甘润,gan'run
岗头,gang'tou
高都,gao'du
高都大酒店,gao'du'da'jiu'dian
高庄技校,gao'zhuang'ji'xiao
公交公司,gong'jiao'gong'si
公交加油站,gong'jiao'jia'you'zhan
公交总公司,gong'jiao'zong'gong'si
古矿,gu'kuang
古矿东门,gu'kuang'dong'men
古矿绿苑小区,gu'kuang'lv'yuan'xiao'qu
古矿西区,gu'kuang'xi'qu
古矿医院,gu'kuang'yi'yuan
管院口,guan'yuan'kou
郭家庄,guo'jia'zhuang
国贸中心,guo'mao'zhong'xin
果品冷库,guo'pin'leng'ku
郝匠,hao'jiang
河东,he'dong
和景小区,he'jing'xiao'qu
恒通韩国城,heng'tong'han'guo'cheng
红满堂超市,hong'man'tang'chao'shi
侯匠,hou'jiang
花园头,hua'yuan'tou
黄头,huang'tou
黄头村,huang'tou'cun
汇杰体检中心,hui'jie'ti'jian'zhong'xin
回军,hui'jun
汇仟小区,hui'qian'xiao'qu
汇仟小区东门,hui'qian'xiao'qu'dong'men
火车站,huo'che'zhan
霍秀,huo'xiu
集配站,ji'pei'zhan
驾考中心,jia'kao'zhong'xin
佳润尚城,jia'run'shang'cheng
鉴园小区,jian'yuan'xiao'qu
江淮,jiang'huai
交警三队三中队,jiao'jing'san'dui'san'zhong'dui
交警四大队,jiao'jing'si'da'dui
交警一大队,jiao'jing'yi'da'dui
晋城宾馆,jin'cheng'bin'guan
晋城二中,jin'cheng'er'zhong
晋城技校,jin'cheng'ji'xiao
晋城七中,jin'cheng'qi'zhong
晋城三中,jin'cheng'san'zhong
晋城四中,jin'cheng'si'zhong
晋城五中,jin'cheng'wu'zhong
晋城一中,jin'cheng'yi'zhong
金村,jin'cun
晋钢,jin'gang
晋钢东区,jin'gang'dong'qu
晋广电器,jin'guang'dian'qi
金华大酒店,jin'hua'da'jiu'dian
金建集团,jin'jian'ji'tuan
晋煤集团,jin'mei'ji'tuan
晋煤技校,jin'mei'ji'xiao
晋煤总医院,jin'mei'zong'yi'yuan
金辇超市,jin'nian'chao'shi
金辇大酒店,jin'nian'da'jiu'dian
金三角建材市场,jin'san'jiao'jian'cai'shi'chang
景潮印务,jing'chao'yin'wu
开发区,kai'fa'qu
开发区管委会,kai'fa'qu'guan'wei'hui
康达建材市场,kang'da'jian'cai'shi'chang
客运东站,ke'yun'dong'zhan
客运中心站,ke'yun'zhong'xin'zhan
老毛沟,lao'mao'gou
临泽口,lin'ze'kou
龙化,long'hua
马沟村,ma'gou'cun
美好家园,mei'hao'jia'yuan
煤气公司,mei'qi'gong'si
孟匠,meng'jiang
孟匠村口,meng'jiang'cun'kou
苗匠,miao'jiang
铭基凤凰城,ming'ji'feng'huang'cheng
南村,nan'cun
南村镇政府,nan'cun'zhen'zheng'fu
南村中学,nan'cun'zhong'xue
南沟,nan'gou
南田石,nan'tian'shi
南营岭小区,nan'ying'ling'xiao'qu
牛匠,niu'jiang
庞圪塔,pang'ge'ta
裴圪塔,pei'ge'ta
裴屹塔,pei'yi'ta
七岭店,qi'ling'dian
七星广场,qi'xing'guang'chang
前村,qian'cun
前进路社区,qian'jin'lu'she'qu
强民乳业,qiang'min'ru'ye
桥岭村,qiao'ling'cun
区东门,qu'dong'men
区西门,qu'xi'men
热力公司,re'li'gong'si
人民广场,ren'min'guang'chang
瑞丰大厦,rui'feng'da'sha
三安汽检中心,san'an'qi'jian'zhong'xin
三里桥,san'li'qiao
山耳东,shan'er'dong
山沟,shan'gou
山口,shan'kou
上辇社区,shang'nian'she'qu
商饮街,shang'yin'jie
市电厂,shi'dian'chang
市二医院,shi'er'yi'yuan
市妇幼院,shi'fu'you'yuan
市骨科医院,shi'gu'ke'yi'yuan
时家岭,shi'jia'ling
市交警支队,shi'jiao'jing'zhi'dui
市交通执法局,shi'jiao'tong'zhi'fa'ju
市客运处,shi'ke'yun'chu
市粮食局,shi'liang'shi'ju
市人防办,shi'ren'fang'ban
市水泥厂,shi'shui'ni'chang
市体育场,shi'ti'yu'chang
市医院,shi'yi'yuan
石油公司,shi'you'gong'si
市邮政局,shi'you'zheng'ju
市政府,shi'zheng'fu
市政公司,shi'zheng'gong'si
十字坂,shi'zi'ban
书院街口,shu'yuan'jie'kou
水北,shui'bei
水东,shui'dong
水陆院,shui'lu'yuan
水泥厂,shui'ni'chang
水西,shui'xi
寺河,si'he
司家掌,si'jia'zhang
四粮店,si'liang'dian
饲料公司,si'liao'gong'si
司徒,si'tu
太行路口,tai'hang'lu'kou
太行日报,tai'hang'ri'bao
太平洋大厦,tai'ping'yang'da'sha
泰森工矿机电城,tai'sen'gong'kuang'ji'dian'cheng
泰森商贸区,tai'sen'shang'mao'qu
泰森小区,tai'sen'xiao'qu
太印,tai'yin
唐一能源,tang'yi'neng'yuan
通达汽检中心,tong'da'qi'jian'zhong'xin
王台,wang'tai
王台铺矿,wang'tai'pu'kuang
王台生产区,wang'tai'sheng'chan'qu
文体宫,wen'ti'gong
物茂广场,wu'mao'guang'chang
五门,wu'men
五门山口,wu'men'shan'kou
屋夏村,wu'xia'cun
屋夏桥,wu'xia'qiao
西关口,xi'guan'kou
西环路口,xi'huan'lu'kou
西环路南口,xi'huan'lu'nan'kou
西街派出所,xi'jie'pai'chu'suo
喜临门家具中心,xi'lin'men'jia'ju'zhong'xin
西马匠,xi'ma'jiang
西坡村,xi'po'cun
西上庄,xi'shang'zhuang
西上庄派出所,xi'shang'zhuang'pai'chu'suo
西四义,xi'si'yi
西田石,xi'tian'shi
西巷新华小区,xi'xiang'xin'hua'xiao'qu
西谢匠,xi'xie'jiang
西秀园,xi'xiu'yuan
西峪,xi'yu
西元庆,xi'yuan'qing
夏匠,xia'jiang
晓光三区,xiao'guang'san'qu
小后河村,xiao'hou'he'cun
小十字,xiao'shi'zi
小张村,xiao'zhang'cun
晓庄社区,xiao'zhuang'she'qu
新华书店,xin'hua'shu'dian
心脑血管医院,xin'nao'xue'guan'yi'yuan
新太行,xin'tai'hang
新太行家居博览中心,xin'tai'hang'jia'ju'bo'lan'zhong'xin
星河小学,xing'he'xiao'xue
星河学校,xing'he'xue'xiao
岩安小区,yan'an'xiao'qu
烟草公司,yan'cao'gong'si
阳电小区,yang'dian'xiao'qu
杨洼,yang'wa
窑坡,yao'po
尧头,yao'tou
叶家河,ye'jia'he
怡凤小区北门,yi'feng'xiao'qu'bei'men
一粮店,yi'liang'dian
银河,yin'he
银座花园,yin'zuo'hua'yuan
宇光电缆公司,yu'guang'dian'lan'gong'si
域区国税局,yu'qu'guo'shui'ju
原家口,yuan'jia'kou
岳匠村,yue'jiang'cun
泽北油站,ze'bei'you'zhan
泽州法院,ze'zhou'fa'yuan
泽州公安局,ze'zhou'gong'an'ju
泽州公园,ze'zhou'gong'yuan
泽州公园北门,ze'zhou'gong'yuan'bei'men
泽州公园西门,ze'zhou'gong'yuan'xi'men
泽州县妇幼院,ze'zhou'xian'fu'you'yuan
泽州县委党校,ze'zhou'xian'wei'dang'xiao
泽州医院,ze'zhou'yi'yuan
泽州一中,ze'zhou'yi'zhong
赵树理文学院,zhao'shu'li'wen'xue'yuan
赵树埋文学馆,zhao'shu'mai'wen'xue'guan
植物园,zhi'wu'yuan
职业病医院,zhi'ye'bing'yi'yuan
职业技术学院,zhi'ye'ji'shu'xue'yuan
职业一中,zhi'ye'yi'zhong
钟家庄派出所,zhong'jia'zhuang'pai'chu'suo
中晋药业,zhong'jin'yao'ye
中原建材市场,zhong'yuan'jian'cai'shi'chang
中原街口,zhong'yuan'jie'kou
中原街小学,zhong'yuan'jie'xiao'xue
庄头,zhuang'tou
自来水公司,zi'lai'shui'gong'si
