阿尔法罗米欧,a'er'fa'luo'mi'ou
阿斯顿马丁,a'si'dun'ma'ding
爱迪尔,ai'di'er
爱虎,ai'hu
爱丽舍,ai'li'she
爱腾,ai'teng
安德拉,an'de'la
昂科雷,ang'ke'lei
奥德赛,ao'de'sai
奥迪,ao'di
奥丁,ao'ding
傲虎,ao'hu
翱龙,ao'long
奥拓,ao'tuo
霸锐,ba'rui
保时捷,bao'shi'jie
北斗星,bei'dou'xing
北京奔驰,bei'jing'ben'chi
北京奔驰戴克,bei'jing'ben'chi'dai'ke
北京现代,bei'jing'xian'dai
奔奔,ben'ben
奔驰,ben'chi
奔驰级,ben'chi'ji
奔腾,ben'teng
毕加索,bi'jia'suo
比亚迪,bi'ya'di
宾利,bin'li
宾悦,bin'yue
铂锐,bo'rui
博悦,bo'yue
布嘉迪,bu'jia'di
长安福特,chang'an'fu'te
长安铃木,chang'an'ling'mu
长安马自达,chang'an'ma'zi'da
长安汽车,chang'an'qi'che
长安沃尔沃,chang'an'wo'er'wo
长城汽车,chang'cheng'qi'che
昌河铃木,chang'he'ling'mu
昌河汽车,chang'he'qi'che
超级维特拉,chao'ji'wei'te'la
城市,cheng'shi
驰鹏,chi'peng
重庆力帆,chong'qing'li'fan
大捷龙,da'jie'long
大切诺基,da'qie'nuo'ji
道奇,dao'qi
得利卡,de'li'ka
帝豪,di'hao
帝威,di'wei
东方之子,dong'fang'zhi'zi
东风本田,dong'feng'ben'tian
东风标致,dong'feng'biao'zhi
东风风神,dong'feng'feng'shen
东风风行,dong'feng'feng'xing
东风汽车,dong'feng'qi'che
东风日产,dong'feng'ri'chan
东风小康,dong'feng'xiao'kang
东风雪铁龙,dong'feng'xue'tie'long
东风悦达起亚,dong'feng'yue'da'qi'ya
东南汽车,dong'nan'qi'che
东南三菱,dong'nan'san'ling
法比亚,fa'bi'ya
法拉利,fa'la'li
飞度,fei'du
风度,feng'du
锋范,feng'fan
风华,feng'hua
风景,feng'jing
风骏,feng'jun
风尚,feng'shang
风神,feng'shen
风雅,feng'ya
风云,feng'yun
锋哲,feng'zhe
富康,fu'kang
福克斯,fu'ke'si
福美来,fu'mei'lai
福瑞达,fu'rui'da
福瑞迪,fu'rui'di
福仕达,fu'shi'da
福田汽车,fu'tian'qi'che
高尔夫,gao'er'fu
戈蓝,ge'lan
格蓝迪,ge'lan'di
阁瑞斯,ge'rui'si
古思特,gu'si'te
广汽本田,guang'qi'ben'tian
广汽长丰,guang'qi'chang'feng
广汽丰田,guang'qi'feng'tian
贵士,gui'shi
哈飞汽车,ha'fei'qi'che
哈弗,ha'fu
海锋,hai'feng
海福星,hai'fu'xing
海马,hai'ma
海马汽车,hai'ma'qi'che
海尚,hai'shang
海炫,hai'xuan
海迅,hai'xun
海域,hai'yu
海悦,hai'yue
汉兰达,han'lan'da
悍马,han'ma
汗马,han'ma
豪情,hao'qing
昊锐,hao'rui
和悦,he'yue
红旗,hong'qi
华晨宝马,hua'chen'bao'ma
华晨金杯,hua'chen'jin'bei
华晨中华,hua'chen'zhong'hua
花冠,hua'guan
华普汽车,hua'pu'qi'che
华泰汽车,hua'tai'qi'che
欢动,huan'dong
幻影,huan'ying
皇冠,huang'guan
黄海汽车,huang'hai'qi'che
辉腾,hui'teng
吉奥汽车,ji'ao'qi'che
吉利,ji'li
吉姆尼,ji'mu'ni
吉普,ji'pu
佳宝,jia'bao
嘉华,jia'hua
甲壳虫,jia'ke'chong
嘉誉,jia'yu
江淮汽车,jiang'huai'qi'che
捷豹,jie'bao
捷达,jie'da
杰勋,jie'xun
金刚,jin'gang
进口宝马,jin'kou'bao'ma
进口奔驰,jin'kou'ben'chi
进口本田,jin'kou'ben'tian
进口标致,jin'kou'biao'zhi
进口别克,jin'kou'bie'ke
进口大众,jin'kou'da'zhong
进口道奇,jin'kou'dao'qi
进口菲亚特,jin'kou'fei'ya'te
进口丰田,jin'kou'feng'tian
进口福特,jin'kou'fu'te
