阿基米德蜗杆,a'ji'mi'de'wo'gan
安全监控,an'quan'jian'kong
安全监控系统图,an'quan'jian'kong'xi'tong'tu
安全评估,an'quan'ping'gu
安全系数,an'quan'xi'shu
安全载荷,an'quan'zai'he
安装维修,an'zhuang'wei'xiu
凹面,ao'mian
凹面符号,ao'mian'fu'hao
耙头,ba'tou
耙装机,ba'zhuang'ji
摆动从动件,bai'dong'cong'dong'jian
摆动从动件凸轮机构,bai'dong'cong'dong'jian'tu'lun'ji'gou
摆动导杆机构,bai'dong'dao'gan'ji'gou
摆线齿轮,bai'xian'chi'lun
摆线齿形,bai'xian'chi'xing
摆线运动规律,bai'xian'yun'dong'gui'lv
半精车,ban'jing'che
半精珩磨内孔,ban'jing'heng'mo'nei'kong
板料冲压,ban'liao'chong'ya
半圆键,ban'yuan'jian
保持架,bao'chi'jia
包角,bao'jiao
背对背安装,bei'dui'bei'an'zhuang
背锥,bei'zhui
背锥角,bei'zhui'jiao
背锥距,bei'zhui'ju
比例,bi'li
比例尺,bi'li'chi
闭链机构,bi'lian'ji'gou
闭式链,bi'shi'lian
变幅小车牵引机构,bian'fu'xiao'che'qian'yin'ji'gou
变速,bian'su
变速器,bian'su'qi
变速箱,bian'su'xiang
变速箱体,bian'su'xiang'ti
变位齿轮,bian'wei'chi'lun
变位系数,bian'wei'xi'shu
变形,bian'xing
变形力,bian'xing'li
表面传热系数,biao'mian'chuan're'xi'shu
表面粗糙度,biao'mian'cu'cao'du
表面硬度,biao'mian'ying'du
表面质量系数,biao'mian'zhi'liang'xi'shu
标题栏,biao'ti'lan
标准齿轮,biao'zhun'chi'lun
标准公差,biao'zhun'gong'cha
标准件,biao'zhun'jian
标准型弹簧垫圈,biao'zhun'xing'tan'huang'dian'quan
标准直齿轮,biao'zhun'zhi'chi'lun
并联机构,bing'lian'ji'gou
并联式组合,bing'lian'shi'zu'he
并联组合机构,bing'lian'zu'he'ji'gou
并行设计,bing'xing'she'ji
波发生器,bo'fa'sheng'qi
波数,bo'shu
步进电机,bu'jin'dian'ji
不可见棱边线,bu'ke'jian'leng'bian'xian
不可见轮廓线,bu'ke'jian'lun'kuo'xian
不平衡,bu'ping'heng
不平衡量,bu'ping'heng'liang
不平衡相位,bu'ping'heng'xiang'wei
不完全齿轮机构,bu'wan'quan'chi'lun'ji'gou
擦图片,ca'tu'pian
采煤二队,cai'mei'er'dui
采煤一队,cai'mei'yi'dui
残余应力,can'yu'ying'li
槽轮,cao'lun
槽轮机构,cao'lun'ji'gou
槽数,cao'shu
槽凸轮,cao'tu'lun
操纵及控制装置,cao'zong'ji'kong'zhi'zhuang'zhi
侧垂面,ce'chui'mian
恻垂线,ce'chui'xian
侧立投影面,ce'li'tou'ying'mian
侧平面,ce'ping'mian
侧平线,ce'ping'xian
侧隙,ce'xi
插齿,cha'chi
差动轮系,cha'dong'lun'xi
差动螺旋机构,cha'dong'luo'xuan'ji'gou
常用机构,chang'yong'ji'gou
超声传感器,chao'sheng'chuan'gan'qi
车床,che'chuang
车刀,che'dao
车架,che'jia
撤面,che'mian
车削,che'xiao
沉孔,chen'kong
成对安,cheng'dui'an
承载量系数,cheng'zai'liang'xi'shu
承载能力,cheng'zai'neng'li
齿槽,chi'cao
齿槽宽,chi'cao'kuan
齿侧间隙,chi'ce'jian'xi
尺寸标注,chi'cun'biao'zhu
尺寸公差,chi'cun'gong'cha
尺寸基准,chi'cun'ji'zhun
尺寸界线,chi'cun'jie'xian
尺寸系列,chi'cun'xi'lie
齿顶高,chi'ding'gao
齿顶圆,chi'ding'yuan
齿顶圆线,chi'ding'yuan'xian
齿根顶点距,chi'gen'ding'dian'ju
齿根高,chi'gen'gao
齿根线,chi'gen'xian
齿根圆,chi'gen'yuan
齿厚,chi'hou
齿距,chi'ju
齿宽,chi'kuan
齿廓,chi'kuo
齿廓曲线,chi'kuo'qu'xian
齿轮,chi'lun
齿轮泵,chi'lun'beng
齿轮变速箱,chi'lun'bian'su'xiang
齿轮插刀,chi'lun'cha'dao
齿轮齿条,chi'lun'chi'tiao
齿轮齿条机构,chi'lun'chi'tiao'ji'gou
齿轮传动系,chi'lun'chuan'dong'xi
齿轮加工,chi'lun'jia'gong
齿轮联轴器,chi'lun'lian'zhou'qi
齿轮轮坯,chi'lun'lun'pi
齿坯图,chi'pi'tu
齿式棘轮机构,chi'shi'ji'lun'ji'gou
齿数,chi'shu
齿数比,chi'shu'bi
齿条,chi'tiao
齿条插刀,chi'tiao'cha'dao
齿形链,chi'xing'lian
齿形系数,chi'xing'xi'shu
重合点,chong'he'dian
重合度,chong'he'du
重合断面的轮廓线,chong'he'duan'mian'de'lun'kuo'xian
出碴,chu'cha
传动,chuan'dong
传动比,chuan'dong'bi
