阿,a
阿缟,a'gao
阿斯托那出土绞缬绢,a'si'tuo'na'chu'tu'jiao'xie'juan
爱德利斯绸,ai'de'li'si'chou
拔白,ba'bai
八宝云纹锦,ba'bao'yun'wen'jin
八搭晕,ba'da'yun
八答晕,ba'da'yun
八花晕,ba'hua'yun
八吉祥锦,ba'ji'xiang'jin
八吉祥寿字织金缎,ba'ji'xiang'shou'zi'zhi'jin'duan
拔染印花,ba'ran'yin'hua
八梭绫,ba'suo'ling
八仙祝寿图缂丝,ba'xian'zhu'shou'tu'ke'si
八緵布,ba'zong'bu
白地狩猎纹锦,bai'de'shou'lie'wen'jin
白叠,bai'die
拜合衫绸,bai'he'shan'chou
白云母,bai'yun'mu
斑布,ban'bu
半浸半晒漂白法,ban'jin'ban'shai'piao'bai'fa
暴室,bao'shi
宝相花漳缎方袱,bao'xiang'hua'zhang'duan'fang'fu
宝照大花锦,bao'zhao'da'hua'jin
宝照中花锦,bao'zhao'zhong'hua'jin
北朝方格纹毛织品,bei'chao'fang'ge'wen'mao'zhi'pin
北朝棉布,bei'chao'mian'bu
蓓花绸,bei'hua'chou
贝锦,bei'jin
被面,bei'mian
杯纹,bei'wen
壁毯,bi'tan
壁衣,bi'yi
扁金线,bian'jin'xian
裱画绫,biao'hua'ling
冰蚕锦,bing'can'jin
冰梅纹加金锦,bing'mei'wen'jia'jin'jin
冰染染料,bing'ran'ran'liao
冰纨,bing'wan
帛,bo
帛叠,bo'die
帛氎,bo'die
博多织,bo'duo'zhi
玻璃布,bo'li'bu
波纹孔雀纹锦,bo'wen'kong'que'wen'jin
布,bu
布帛,bu'bo
布依锦,bu'yi'jin
彩条动物纹锦,cai'tiao'dong'wu'wen'jin
彩条斜纹经锦,cai'tiao'xie'wen'jing'jin
彩毡,cai'zhan
藏被,cang'bei
草染,cao'ran
茶色地花树对羊锦,cha'se'di'hua'shu'dui'yang'jin
蝉,chan
蝉纱,chan'sha
缠枝芙蓉花绫,chan'zhi'fu'rong'hua'ling
缠枝花卉纹织金缎,chan'zhi'hua'hui'wen'zhi'jin'duan
缠枝花印花布,chan'zhi'hua'yin'hua'bu
缠枝莲纹锦,chan'zhi'lian'wen'jin
缠枝莲妆花绒缎,chan'zhi'lian'zhuang'hua'rong'duan
缠枝牡丹纹金锦,chan'zhi'mu'dan'wen'jin'jin
长春花绫,chang'chun'hua'ling
长乐明光锦,chang'le'ming'guang'jin
长生殿缂丝,chang'sheng'dian'ke'si
长寿明光锦,chang'shou'ming'guang'jin
臣僚袄子锦,chen'liao'ao'zi'jin
絾,cheng
城域,cheng'yu
絺,chi
赤狮凤纹蜀江锦,chi'shi'feng'wen'shu'jiang'jin
紬,chou
绸,chou
抽绞地毯,chou'jiao'di'tan
楚帛画,chu'bo'hua
樗蒲锦,chu'pu'jin
穿枝莲片金锦,chuan'zhi'lian'pian'jin'jin
