矮山塘,ai'shan'tang
安新小区,an'xin'xiao'qu
奥林匹克花园,ao'lin'pi'ke'hua'yuan
澳洲花园,ao'zhou'hua'yuan
澳洲假日,ao'zhou'jia'ri
八里二路路口,ba'li'er'lu'lu'kou
八里街,ba'li'jie
八里街农贸市场,ba'li'jie'nong'mao'shi'chang
八里六路路口,ba'li'liu'lu'lu'kou
八里三路,ba'li'san'lu
八里四路路口,ba'li'si'lu'lu'kou
八里四路中,ba'li'si'lu'zhong
八里五路中,ba'li'wu'lu'zhong
八里一路,ba'li'yi'lu
八中,ba'zhong
八中路口,ba'zhong'lu'kou
八中路口西,ba'zhong'lu'kou'xi
百村,bai'cun
宝贤桥,bao'xian'qiao
北冲,bei'chong
北斗城南旺角,bei'dou'cheng'nan'wang'jiao
北斗商区,bei'dou'shang'qu
北芬村,bei'fen'cun
北极广场,bei'ji'guang'chang
碧水康城,bi'shui'kang'cheng
滨江路口,bin'jiang'lu'kou
玻璃厂,bo'li'chang
骖鸾路南口,can'luan'lu'nan'kou
茶叶研究所,cha'ye'yan'jiu'suo
长海厂,chang'hai'chang
长海五村,chang'hai'wu'cun
长海小学,chang'hai'xiao'xue
长虹饭店,chang'hong'fan'dian
朝阳路尾,chao'yang'lu'wei
车管所,che'guan'suo
陈家村,chen'jia'cun
城南旺角,cheng'nan'wang'jiao
崇信路,chong'xin'lu
出入境管理处,chu'ru'jing'guan'li'chu
川东二路,chuan'dong'er'lu
川东二路中,chuan'dong'er'lu'zhong
川东三路,chuan'dong'san'lu
川东四路,chuan'dong'si'lu
穿山路南口,chuan'shan'lu'nan'kou
穿山桥,chuan'shan'qiao
创业大厦,chuang'ye'da'sha
翠竹路,cui'zhu'lu
翠竹路北巷,cui'zhu'lu'bei'xiang
大风山,da'feng'shan
大律街,da'lv'jie
大律街尾,da'lv'jie'wei
大面路口,da'mian'lu'kou
大学生公寓城,da'xue'sheng'gong'yu'cheng
党校,dang'xiao
第三人民医院,di'san'ren'min'yi'yuan
电厂,dian'chang
电缆厂,dian'lan'chang
电力疗养院,dian'li'liao'yang'yuan
电子工业学院,dian'zi'gong'ye'xue'yuan
电子科技大西区,dian'zi'ke'ji'da'xi'qu
电子科技大学,dian'zi'ke'ji'da'xue
电子科技大学西区,dian'zi'ke'ji'da'xue'xi'qu
电子科技大学尧山校区,dian'zi'ke'ji'da'xue'yao'shan'xiao'qu
叠彩山,die'cai'shan
叠彩商贸城,die'cai'shang'mao'cheng
定江乡,ding'jiang'xiang
定江镇,ding'jiang'zhen
东安红岭路口,dong'an'hong'ling'lu'kou
东安街,dong'an'jie
东安街口,dong'an'jie'kou
东安路,dong'an'lu
东安路中,dong'an'lu'zhong
东环市场,dong'huan'shi'chang
东江市场,dong'jiang'shi'chang
东莲,dong'lian
东莲村,dong'lian'cun
东山,dong'shan
东镇路,dong'zhen'lu
二级,er'ji
二机床厂,er'ji'chuang'chang
二塘,er'tang
二塘中学,er'tang'zhong'xue
二小路口,er'xiao'lu'kou
二药厂,er'yao'chang
芳华路口,fang'hua'lu'kou
飞鸾桥,fei'luan'qiao
分部,fen'bu
凤北路口,feng'bei'lu'kou
风北路口,feng'bei'lu'kou
凤东小区,feng'dong'xiao'qu
风情园,feng'qing'yuan
伏波山,fu'bo'shan
福达公司,fu'da'gong'si
福利医院,fu'li'yi'yuan
伏坡山,fu'po'shan
辅星路,fu'xing'lu
辅星路口,fu'xing'lu'kou
甘棠大桥,gan'tang'da'qiao
钢厂路口,gang'chang'lu'kou
高速路口,gao'su'lu'kou
高新区,gao'xin'qu
高新区创新大厦,gao'xin'qu'chuang'xin'da'sha
公交东环车场,gong'jiao'dong'huan'che'chang
公交集团公司,gong'jiao'ji'tuan'gong'si
公交临时秧塘车场,gong'jiao'lin'shi'yang'tang'che'chang
公交琴潭车场,gong'jiao'qin'tan'che'chang
公交铁西车场,gong'jiao'tie'xi'che'chang
公交秧塘车场,gong'jiao'yang'tang'che'chang
工具厂,gong'ju'chang
工辽,gong'liao
工学院,gong'xue'yuan
卦子山,gua'zi'shan
官桥村,guan'qiao'cun
观漪桥,guan'yi'qiao
观音阁,guan'yin'ge
广西师大,guang'xi'shi'da
广西师范大学雁山校区,guang'xi'shi'fan'da'xue'yan'shan'xiao'qu
桂北客运站,gui'bei'ke'yun'zhan
桂康路口,gui'kang'lu'kou
桂康路中,gui'kang'lu'zhong
桂林,gui'lin
桂林大家俱批发城,gui'lin'da'jia'ju'pi'fa'cheng
桂林高级技校,gui'lin'gao'ji'ji'xiao
桂林师专甲山校区,gui'lin'shi'zhuan'jia'shan'xiao'qu
桂林师专信义校区,gui'lin'shi'zhuan'xin'yi'xiao'qu
桂林四中,gui'lin'si'zhong
桂林医学院,gui'lin'yi'xue'yuan
桂青路,gui'qing'lu
航专,hang'zhuan
号公馆,hao'gong'guan
禾家铺,he'jia'pu
和平村,he'ping'cun
黑山路口,hei'shan'lu'kou
红岭路,hong'ling'lu
猴山社区,hou'shan'she'qu
虎山路,hu'shan'lu
虎山路口,hu'shan'lu'kou
化机分厂,hua'ji'fen'chang
化机路口,hua'ji'lu'kou
花鸟市场,hua'niao'shi'chang
华侨农场场部,hua'qiao'nong'chang'chang'bu
华侨农场农贸市场,hua'qiao'nong'chang'nong'mao'shi'chang
花园村,hua'yuan'cun
花园村口,hua'yuan'cun'kou
环北一路,huan'bei'yi'lu
环城北一路,huan'cheng'bei'yi'lu
环城南三路,huan'cheng'nan'san'lu
黄家村,huang'jia'cun
黄莺岩村,huang'ying'yan'cun
会仙路口,hui'xian'lu'kou
会元路,hui'yuan'lu
火车东站,huo'che'dong'zhan
火车始发,huo'che'shi'fa
火车始发站,huo'che'shi'fa'zhan
火车始发站路口,huo'che'shi'fa'zhan'lu'kou
机场,ji'chang
机场路口,ji'chang'lu'kou
机床公司,ji'chuang'gong'si
技工学校,ji'gong'xue'xiao
甲山,jia'shan
甲山街道办事处,jia'shan'jie'dao'ban'shi'chu
甲天下广场,jia'tian'xia'guang'chang
建干路口,jian'gan'lu'kou
将军路口,jiang'jun'lu'kou
交警支队,jiao'jing'zhi'dui
交通疗养院,jiao'tong'liao'yang'yuan
教育学院,jiao'yu'xue'yuan
解放东路,jie'fang'dong'lu
解放桥,jie'fang'qiao
金地球市场,jin'di'qiu'shi'chang
金鸡路口,jin'ji'lu'kou
金山广场,jin'shan'guang'chang
金山广场北口,jin'shan'guang'chang'bei'kou
金山广场西口,jin'shan'guang'chang'xi'kou
巾山路,jin'shan'lu
巾山路口,jin'shan'lu'kou
金水公园,jin'shui'gong'yuan
金水广场北口,jin'shui'guang'chang'bei'kou
金水路口,jin'shui'lu'kou
金水路中,jin'shui'lu'zhong
金穗路,jin'sui'lu
靖江王陵,jing'jiang'wang'ling
净瓶路,jing'ping'lu
净瓶山大桥,jing'ping'shan'da'qiao
九岗岭,jiu'gang'ling
九岗岭一巷,jiu'gang'ling'yi'xiang
九华路,jiu'hua'lu
九华山,jiu'hua'shan
九美桥,jiu'mei'qiao
绢纺厂,juan'fang'chang
凯风小学,kai'feng'xiao'xue
空军疗养院,kong'jun'liao'yang'yuan
空明路,kong'ming'lu
莱茵生物,lai'yin'sheng'wu
乐群路口,le'qun'lu'kou
雷霹山,lei'pi'shan
理工大学屏风校区,li'gong'da'xue'ping'feng'xiao'qu
理工大学雁山校区,li'gong'da'xue'yan'shan'xiao'qu
李家村,li'jia'cun
漓江剧院,li'jiang'ju'yuan
漓江路,li'jiang'lu
漓江学院,li'jiang'xue'yuan
丽君路,li'jun'lu
丽君路口,li'jun'lu'kou
梨园路,li'yuan'lu
丽泽桥,li'ze'qiao
良丰农场,liang'feng'nong'chang
良丰小学,liang'feng'xiao'xue
临桂滨江路口,lin'gui'bin'jiang'lu'kou
临桂大道,lin'gui'da'dao
临桂建设局,lin'gui'jian'she'ju
临桂交警大队,lin'gui'jiao'jing'da'dui
临桂县医院,lin'gui'xian'yi'yuan
临桂县政府,lin'gui'xian'zheng'fu
临桂县政务中心,lin'gui'xian'zheng'wu'zhong'xin
临桂秧塘公交车场,lin'gui'yang'tang'gong'jiao'che'chang
临桂政务中心,lin'gui'zheng'wu'zhong'xin
林校,lin'xiao
临政路口,lin'zheng'lu'kou
灵川县医院,ling'chuan'xian'yi'yuan
岭上村,ling'shang'cun
龙船坪,long'chuan'ping
龙船坪路口,long'chuan'ping'lu'kou
龙门村委,long'men'cun'wei
龙隐路,long'yin'lu
龙隐桥,long'yin'qiao
芦笛菜市,lu'di'cai'shi
芦笛路,lu'di'lu
芦笛路尾,lu'di'lu'wei
芦笛岩,lu'di'yan
六合路口,lu'he'lu'kou
路口村,lu'kou'cun
鲁山工业园,lu'shan'gong'ye'yuan
鲁山路尾,lu'shan'lu'wei
鲁山水泥厂,lu'shan'shui'ni'chang
鸾东小区,luan'dong'xiao'qu
轮胎厂,lun'tai'chang
轮胎厂门口,lun'tai'chang'men'kou
旅游批发城,lv'you'pi'fa'cheng
旅游商品批发城,lv'you'shang'pin'pi'fa'cheng
旅专,lv'zhuan
旅专校门口,lv'zhuan'xiao'men'kou
旅专校区,lv'zhuan'xiao'qu
旅专雁山校区,lv'zhuan'yan'shan'xiao'qu
美食城,mei'shi'cheng
明珠小区,ming'zhu'xiao'qu
磨床厂,mo'chuang'chang
南城百货,nan'cheng'bai'huo
南村,nan'cun
南环二路,nan'huan'er'lu
南门桥,nan'men'qiao
南溪公园,nan'xi'gong'yuan
南溪医院,nan'xi'yi'yuan
南洲大桥东,nan'zhou'da'qiao'dong
南洲大桥西,nan'zhou'da'qiao'xi
彭家岭,peng'jia'ling
平山,ping'shan
汽车站,qi'che'zhan
奇峰小筑,qi'feng'xiao'zhu
奇峰镇,qi'feng'zhen
七里店,qi'li'dian
栖霞路,qi'xia'lu
七星公园,qi'xing'gong'yuan
七星交警,qi'xing'jiao'jing
七星区武装部,qi'xing'qu'wu'zhuang'bu
琴潭村,qin'tan'cun
琴潭客运站,qin'tan'ke'yun'zhan
琴潭汽车客运站,qin'tan'qi'che'ke'yun'zhan
清风路,qing'feng'lu
青岭路,qing'ling'lu
青竹路四里,qing'zhu'lu'si'li
群众路口,qun'zhong'lu'kou
人民东市场,ren'min'dong'shi'chang
人民路,ren'min'lu
人民路市场,ren'min'lu'shi'chang
榕山路口,rong'shan'lu'kou
榕山路中,rong'shan'lu'zhong
三多路,san'duo'lu
三里店,san'li'dian
三里店广场,san'li'dian'guang'chang
三里店广场西口,san'li'dian'guang'chang'xi'kou
三民路口,san'min'lu'kou
森林公园,sen'lin'gong'yuan
沙河路口,sha'he'lu'kou
沙河路中,sha'he'lu'zhong
沙塘大转盘,sha'tang'da'zhuan'pan
沙子路村,sha'zi'lu'cun
上海路口,shang'hai'lu'kou
上海路南巷,shang'hai'lu'nan'xiang
商贸城,shang'mao'cheng
商业高级技校,shang'ye'gao'ji'ji'xiao
少年宫,shao'nian'gong
胜利路三巷口,sheng'li'lu'san'xiang'kou
胜利桥,sheng'li'qiao
圣隆路,sheng'long'lu
十八中,shi'ba'zhong
市车管所,shi'che'guan'suo
始发站路口,shi'fa'zhan'lu'kou
世纪东路,shi'ji'dong'lu
世纪东路尾,shi'ji'dong'lu'wei
世纪东路中,shi'ji'dong'lu'zhong
石家渡大桥,shi'jia'du'da'qiao
施家园,shi'jia'yuan
施家园路,shi'jia'yuan'lu
施家园路口,shi'jia'yuan'lu'kou
市交警支队,shi'jiao'jing'zhi'dui
市体育中心,shi'ti'yu'zhong'xin
十一中学,shi'yi'zhong'xue
石油六公司,shi'you'liu'gong'si
石油六公司技校,shi'you'liu'gong'si'ji'xiao
市政公司,shi'zheng'gong'si
十字街,shi'zi'jie
十字街解放东路,shi'zi'jie'jie'fang'dong'lu
十字街解放西路,shi'zi'jie'jie'fang'xi'lu
曙光所,shu'guang'suo
水泥厂路口,shui'ni'chang'lu'kou
四合村,si'he'cun
四合村委,si'he'cun'wei
四会路,si'hui'lu
隧道北口,sui'dao'bei'kou
潭下路口,tan'xia'lu'kou
唐家村,tang'jia'cun
桃花新村,tao'hua'xin'cun
体育中心,ti'yu'zhong'xin
天鹅塘,tian'e'tang
田心里村,tian'xin'li'cun
铁佛路,tie'fo'lu
铁路菜市,tie'lu'cai'shi
铁路小学,tie'lu'xiao'xue
铁路医院,tie'lu'yi'yuan
铁山工业园,tie'shan'gong'ye'yuan
