阿姨,a'yi
爱的,ai'de
哀牢山,ai'lao'shan
矮林,ai'lin
爱因斯坦,ai'yin'si'tan
安定,an'ding
俺家,an'jia
安居,an'ju
暗绿色,an'lv'se
安娜,an'na
安排,an'pai
安全,an'quan
安全模式,an'quan'mo'shi
安全卫士,an'quan'wei'shi
暗示,an'shi
安树青,an'shu'qing
按顺序,an'shun'xu
按说,an'shuo
安慰,an'wei
安稳,an'wen
按照,an'zhao
安装,an'zhuang
安装盘,an'zhuang'pan
熬不过,ao'bu'guo
熬夜,ao'ye
奥运,ao'yun
巴布亚,ba'bu'ya
把持不住,ba'chi'bu'zhu
八大处,ba'da'chu
把家还,ba'jia'hai
罢了,ba'le
巴盟,ba'meng
巴拿马,ba'na'ma
拔契,ba'qi
巴森扎布,ba'sen'zha'bu
霸王,ba'wang
霸王岭,ba'wang'ling
巴西,ba'xi
白搭,bai'da
白点兰,bai'dian'lan
百度,bai'du
拜读一下,bai'du'yi'xia
百分比,bai'fen'bi
百分率,bai'fen'lv
百合莲子粥,bai'he'lian'zi'zhou
白花含笑,bai'hua'han'xiao
柏金,bai'jin
百科,bai'ke
百科全书,bai'ke'quan'shu
百年好合,bai'nian'hao'he
白秋,bai'qiu
百人计划,bai'ren'ji'hua
白天,bai'tian
百望山,bai'wang'shan
白云,bai'yun
白纸,bai'zhi
白椎,bai'zhui
版本,ban'ben
颁布,ban'bu
板凳,ban'deng
办法,ban'fa
办法借,ban'fa'jie
拌饭,ban'fan
半附生植物,ban'fu'sheng'zhi'wu
班干部,ban'gan'bu
半个卡,ban'ge'ka
板根,ban'gen
办公,ban'gong
办公室,ban'gong'shi
办公室吧,ban'gong'shi'ba
办公桌,ban'gong'zhuo
办好了没有,ban'hao'le'mei'you
班级,ban'ji
半寄生植物,ban'ji'sheng'zhi'wu
半径,ban'jing
办理,ban'li
班里,ban'li
半落叶,ban'luo'ye
版纳,ban'na
半那所,ban'na'suo
半年,ban'nian
半年吧,ban'nian'ba
半年了,ban'nian'le
半球,ban'qiu
半球形,ban'qiu'xing
半山腰,ban'shan'yao
办事,ban'shi
搬宿舍,ban'su'she
班长,ban'zhang
帮帮我了,bang'bang'wo'le
帮帮小妹我,bang'bang'xiao'mei'wo
帮别人,bang'bie'ren
帮过,bang'guo
帮忙,bang'mang
帮你,bang'ni
帮我,bang'wo
帮助,bang'zhu
包包,bao'bao
宝宝,bao'bao
报春,bao'chun
保存,bao'cun
暴风,bao'feng
报告,bao'gao
保管,bao'guan
包含在,bao'han'zai
饱和,bao'he
保护,bao'hu
保护区,bao'hu'qu
保护身体,bao'hu'shen'ti
保护生物学,bao'hu'sheng'wu'xue
保护研究,bao'hu'yan'jiu
报价,bao'jia
报价网,bao'jia'wang
包括,bao'kuo
报了,bao'le
暴露,bao'lu
报名,bao'ming
