安川,an'chuan
按钮,an'niu
摆臂,bai'bi
扳手,ban'shou
报警,bao'jing
报警代码,bao'jing'dai'ma
被动辊,bei'dong'gun
备件,bei'jian
本体,ben'ti
标砖,biao'zhuan
步进机,bu'jin'ji
布坯条数,bu'pi'tiao'shu
不圧缝,bu'ya'feng
操作柜,cao'zuo'gui
储气罐,chu'qi'guan
传感器,chuan'gan'qi
串气,chuan'qi
川崎,chuan'qi
垂直,chui'zhi
搭接电焊机地线均有损坏的可能,da'jie'dian'han'ji'di'xian'jun'you'sun'huai'de'ke'neng
大立柱,da'li'zhu
大螳螂码坯机,da'tang'lang'ma'pi'ji
导轨轴,dao'gui'zhou
地基,di'ji
地脚连接螺丝,di'jiao'lian'jie'luo'si
电磁阀,dian'ci'fa
电工班,dian'gong'ban
电机,dian'ji
点检手册,dian'jian'shou'ce
电器元件老化,dian'qi'yuan'jian'lao'hua
电圧,dian'ya
掉坯,diao'pi
顶丝,ding'si
定位带,ding'wei'dai
断裂,duan'lie
多孔砖,duo'kong'zhuan
二联体,er'lian'ti
法兰盘,fa'lan'pan
放坯时,fang'pi'shi
分合坯齿条,fen'he'pi'chi'tiao
分合坯气缸,fen'he'pi'qi'gang
分合坯组件,fen'he'pi'zu'jian
分坯定位带,fen'pi'ding'wei'dai
分坯距离,fen'pi'ju'li
分坯设置,fen'pi'she'zhi
风扇,feng'shan
感应开关,gan'ying'kai'guan
干燥机,gan'zao'ji
钢丝,gang'si
钢丝绳,gang'si'sheng
高度校正,gao'du'jiao'zheng
隔板,ge'ban
轨道,gui'dao
辊子,gun'zi
航插线,hang'cha'xian
河南欧帕工业机器人有限公司,he'nan'ou'pa'gong'ye'ji'qi'ren'you'xian'gong'si
滑槽,hua'cao
滑辊,hua'gun
滑块,hua'kuai
缓冲器,huan'chong'qi
环形皮带,huan'xing'pi'dai
换砖型,huan'zhuan'xing
灰尘,hui'chen
混凝土,hun'ning'tu
基础,ji'chu
继电器,ji'dian'qi
集合管,ji'he'guan
机器,ji'qi
机器人,ji'qi'ren
机器人伴侣,ji'qi'ren'ban'lv
奇数层,ji'shu'ceng
技术人员,ji'shu'ren'yuan
急停按钮,ji'ting'an'niu
建材有限公司,jian'cai'you'xian'gong'si
减速机,jian'su'ji
键条,jian'tiao
胶皮,jiao'pi
接头,jie'tou
开封欧帕自动化有限公司,kai'feng'ou'pa'zi'dong'hua'you'xian'gong'si
开焊,kai'han
开机,kai'ji
空翻机,kong'fan'ji
空气圧缩机,kong'qi'ya'suo'ji
款切条切坯机,kuan'qie'tiao'qie'pi'ji
锂基润滑脂,li'ji'run'hua'zhi
联动模块,lian'dong'mo'kuai
链条,lian'tiao
六角螺母,liu'jiao'luo'mu
漏气,lou'qi
螺丝,luo'si
铝合金,lv'he'jin
码垛,ma'duo
码坯层高,ma'pi'ceng'gao
码坯层数,ma'pi'ceng'shu
码坯机,ma'pi'ji
铆接件,mao'jie'jian
磨损较大,mo'sun'jiao'da
内外圧块,nei'wai'ya'kuai
牛腿,niu'tui
欧帕之光,ou'pa'zhi'guang
偶数层,ou'shu'ceng
配料配水机,pei'liao'pei'shui'ji
配重,pei'zhong
平衡气缸,ping'heng'qi'gang
气动切条切坯机,qi'dong'qie'tiao'qie'pi'ji
气缸,qi'gang
气管,qi'guan
砌块,qi'kuai
砌块机,qi'kuai'ji
气圧,qi'ya
气源,qi'yuan
敲击物件,qiao'ji'wu'jian
曲柄,qu'bing
人机界面,ren'ji'jie'mian
日常维护保养,ri'chang'wei'hu'bao'yang
如关节轴承,ru'guan'jie'zhou'cheng
润滑油,run'hua'you
三菱,san'ling
上下原点,shang'xia'yuan'dian
设备,she'bei
生产任务单,sheng'chan'ren'wu'dan
示教器,shi'jiao'qi
湿坯,shi'pi
水平原点,shui'ping'yuan'dian
说明书,shuo'ming'shu
伺服旋转,si'fu'xuan'zhuan
松动,song'dong
台达,tai'da
提升电机,ti'sheng'dian'ji
调整,tiao'zheng
涂油保护,tu'you'bao'hu
图纸,tu'zhi
推坯,tui'pi
维护保养,wei'hu'bao'yang
稳压器,wen'ya'qi
稳圧器,wen'ya'qi
蜗杆涡轮,wo'gan'wo'lun
线圈,xian'quan
显示屏,xian'shi'ping
小车轮,xiao'che'lun
小立柱,xiao'li'zhu
小螳螂码坯机,xiao'tang'lang'ma'pi'ji
小行车,xiao'xing'che
销轴,xiao'zhou
型开关,xing'kai'guan
行走同步带,xing'zou'tong'bu'dai
旋转皮带,xuan'zhuan'pi'dai
旋转窑,xuan'zhuan'yao
旋转原点,xuan'zhuan'yuan'dian
亚德客,ya'de'ke
压坯架,ya'pi'jia
窑车,yao'che
窑炉,yao'lu
业务联系书,ye'wu'lian'xi'shu
异常,yi'chang
油水分离器,you'shui'fen'li'qi
油污,you'wu
油雾器,you'wu'qi
预埋板,yu'mai'ban
原点,yuan'dian
运行范围,yun'xing'fan'wei
扎坯,zha'pi
涨紧套,zhang'jin'tao
找原点,zhao'yuan'dian
真空泵,zhen'kong'beng
正常范围内,zheng'chang'fan'wei'nei
整理机,zheng'li'ji
直角坐标系,zhi'jiao'zuo'biao'xi
指示灯,zhi'shi'deng
直线轴承,zhi'xian'zhou'cheng
重型切条切坯机,zhong'xing'qie'tiao'qie'pi'ji
轴承,zhou'cheng
主动辊,zhu'dong'gun
主机,zhu'ji
主梁,zhu'liang
抓盘,zhua'pan
抓爪,zhua'zhao
砖厂,zhuan'chang
转动摩擦,zhuan'dong'mo'ca
砖坯,zhuan'pi
装车机,zhuang'che'ji
