阿部记之,a'bu'ji'zhi
阿布维洛,a'bu'wei'luo
阿绯,a'fei
阿散井,a'san'jing
阿散井恋次,a'san'jing'lian'ci
岸尾大辅,an'wei'da'fu
安元洋贵,an'yuan'yang'gui
奥斯卡皇金迪拉洛沙,ao'si'ka'huang'jin'di'la'luo'sha
八番队,ba'fan'dui
八千流,ba'qian'liu
八十千,ba'shi'qian
白草莓,bai'cao'mei
白打,bai'da
白刀,bai'dao
白帝剑,bai'di'jian
白梨,bai'li
白莲,bai'lian
白露,bai'lu
白露为霜,bai'lu'wei'shuang
白刃,bai'ren
白桃,bai'tao
白一,bai'yi
白一护,bai'yi'hu
白一露,bai'yi'lu
白哉,bai'zai
白粥,bai'zhou
斑目一角,ban'mu'yi'jiao
半虚,ban'xu
本匠千鹤,ben'jiang'qian'he
本田贵子,ben'tian'gui'zi
崩点,beng'dian
冰轮丸,bing'lun'wan
冰雪系斩魄刀,bing'xue'xi'zhan'po'dao
狛村左阵,bo'cun'zuo'zhen
不良商人,bu'liang'shang'ren
叄舞白刃,can'wu'bai'ren
苍火坠,cang'huo'zhui
草鹿八千流,cao'lu'ba'qian'liu
草莓,cao'mei
草莓君,cao'mei'jun
茶渡,cha'du
茶渡泰虎,cha'du'tai'hu
侘助,cha'zhu
柴田,chai'tian
柴田勇一,chai'tian'yong'yi
长岛雄一,chang'dao'xiong'yi
长嶝高士,chang'deng'gao'shi
瀞灵壁,cheng'ling'bi
瀞灵廷的阴谋之秋,cheng'ling'ting'de'yin'mou'zhi'qiu
成田剑,cheng'tian'jian
成一,cheng'yi
赤火炮,chi'huo'pao
赤火炮白雷,chi'huo'pao'bai'lei
紬屋雨,chou'wu'yu
雏根先生,chu'gen'xian'sheng
雏森桃,chu'sen'tao
初舞,chu'wu
初舞月白,chu'wu'yue'bai
穿点,chuan'dian
穿界门,chuan'jie'men
传令部,chuan'ling'bu
川上友子,chuan'shang'you'zi
椿鬼,chun'gui
春秋,chun'qiu
春水,chun'shui
次舞,ci'wu
次舞白涟,ci'wu'bai'lian
大白,da'bai
大川透,da'chuan'tou
大红莲冰轮丸,da'hong'lian'bing'lun'wan
大红莲氷轮丸,da'hong'lian'bing'lun'wan
大前田,da'qian'tian
大前田希千和,da'qian'tian'xi'qian'he
大虚,da'xu
大原,da'yuan
大冢芳忠,da'zhong'fang'zhong
大冢明夫,da'zhong'ming'fu
岛本须美,dao'ben'xu'mei
稲田彻,dao'tian'che
第二番队,di'er'fan'dui
第二十席,di'er'shi'xi
地缚灵,di'fu'ling
第七席,di'qi'xi
第三席,di'san'xi
第三席官,di'san'xi'guan
第四席,di'si'xi
第四席官,di'si'xi'guan
钉宫,ding'gong
钉宫病,ding'gong'bing
钉宫理惠,ding'gong'li'hui
冬狮郎,dong'shi'lang
东仙,dong'xian
东仙要,dong'xian'yao
冻云,dong'yun
都大人,dou'da'ren
独眼罩,du'yan'zhao
断地风,duan'de'feng
断界,duan'jie
端坐于霜天吧,duan'zuo'yu'shuang'tian'ba
对灵子的隶属,dui'ling'zi'de'li'shu
对灵子的收束,dui'ling'zi'de'shou'shu
饭岛肇,fan'dao'zhao
反鬼相杀,fan'gui'xiang'sha
反膜,fan'mo
狒狒王蛇尾丸,fei'fei'wang'she'wei'wan
飞镰脚,fei'lian'jiao
飞梅,fei'mei
飞田展男,fei'tian'zhan'nan
绯真,fei'zhen
蜂家,feng'jia
缚道,fu'dao
福岛敏行,fu'dao'min'xing
福利多,fu'li'duo
浮露,fu'lu
富美子,fu'mei'zi
福山润,fu'shan'run
浮竹,fu'zhu
浮竹队长,fu'zhu'dui'zhang
浮竹十四郎,fu'zhu'shi'si'lang
咖喱饭,ga'li'fan
改造魂魄,gai'zao'hun'po
高木涉,gao'mu'she
高木佐和子,gao'mu'zuo'he'zi
葛露,ge'lu
戈薇,ge'wei
葛织,ge'zhi
更木队长,geng'mu'dui'zhang
更木剑八,geng'mu'jian'ba
弓亲,gong'qin
工藤昌史,gong'teng'chang'shi
宫田幸季,gong'tian'xing'ji
狗狗,gou'gou
古泽彻,gu'ze'che
关俊彦,guan'jun'yan
观音寺,guan'yin'si
广濑正志,guang'lai'zheng'zhi
光明女神,guang'ming'nv'shen
光之女神,guang'zhi'nv'shen
鬼道,gui'dao
鬼灯丸,gui'deng'wan
桧山修之,gui'shan'xiu'zhi
桧佐木修兵,gui'zuo'mu'xiu'bing
国枝铃,guo'zhi'ling
海露,hai'lu
海燕,hai'yan
海燕大,hai'yan'da
海燕大人,hai'yan'da'ren
黑草莓,hei'cao'mei
黑崎,hei'qi
黑崎草莓,hei'qi'cao'mei
黑崎君,hei'qi'jun
