案子断颠倒了,an'zi'duan'dian'dao'le
巴独便,ba'du'bian
把好腿伸给他医,ba'hao'tui'shen'gei'ta'yi
巴吐地主和章恩,ba'tu'di'zhu'he'zhang'en
巴依的眼疾,ba'yi'de'yan'ji
白搭了修理费,bai'da'le'xiu'li'fei
白天能看到星星吗,bai'tian'neng'kan'dao'xing'xing'ma
半百老翁,ban'bai'lao'weng
搬家,ban'jia
饱食终日,bao'shi'zhong'ri
背石头,bei'shi'tou
背着磨盘骑驴,bei'zhe'mo'pan'qi'lv
比国王早死两天,bi'guo'wang'zao'si'liang'tian
避贼,bi'zei
别人有命我无命,bie'ren'you'ming'wo'wu'ming
不敢属马,bu'gan'shu'ma
布告与烧饼,bu'gao'yu'shao'bing
不会丢的,bu'hui'diu'de
不会磨墨,bu'hui'mo'mo
不认输,bu'ren'shu
不要空手回家,bu'yao'kong'shou'hui'jia
不要命,bu'yao'ming
不宜动土,bu'yi'dong'tu
不知羞,bu'zhi'xiu
财迷虫,cai'mi'chong
财主赴宴,cai'zhu'fu'yan
财主拾帽,cai'zhu'shi'mao
才子,cai'zi
藏在怀里的东西,cang'zai'huai'li'de'dong'xi
草地牧牛图,cao'di'mu'niu'tu
草字大王,cao'zi'da'wang
厕吏,ce'li
馋鬼,chan'gui
撑船,cheng'chuan
吃烧饼,chi'shao'bing
吃一升米和一升苞谷,chi'yi'sheng'mi'he'yi'sheng'bao'gu
吃油炸粑,chi'you'zha'ba
出来怕狗咬哩,chu'lai'pa'gou'yao'li
串蛋,chuan'dan
吹牛的大嘴,chui'niu'de'da'zui
蠢地主,chun'di'zhu
此裤不破,ci'ku'bu'po
聪明的办法,cong'ming'de'ban'fa
粗月,cu'yue
催眠药,cui'mian'yao
打赌,da'du
打狗手,da'gou'shou
打锅熄火,da'guo'xi'huo
大老爷查荒,da'lao'ye'cha'huang
打磨,da'mo
打三斤,da'san'jin
大声和小声,da'sheng'he'xiao'sheng
大丈夫,da'zhang'fu
打着灯笼找不到,da'zhe'deng'long'zhao'bu'dao
呆女婿的故事,dai'nv'xu'de'gu'shi
当喀孜用不着脑子,dang'ka'zi'yong'bu'zhao'nao'zi
到别人家去疼,dao'bie'ren'jia'qu'teng
到驴圈去,dao'lv'quan'qu
地主和老鹰,di'zhu'he'lao'ying
吊唁,diao'yan
冬天没裤穿,dong'tian'mei'ku'chuan
都是真话,dou'shi'zhen'hua
豆有此理,dou'you'ci'li
读别字,du'bie'zi
对不起,dui'bu'qi
对对子,dui'dui'zi
顿顿吃冬瓜,dun'dun'chi'dong'gua
饿了几天,e'le'ji'tian
发誓对联,fa'shi'dui'lian
饭的味道和钱的声音,fan'de'wei'dao'he'qian'de'sheng'yin
翻过来,fan'guo'lai
放蟹喝水,fang'xie'he'shui
肥鸡和鲜笋,fei'ji'he'xian'sun
分银,fen'yin
风水先生,feng'shui'xian'sheng
福气好,fu'qi'hao
富翁和仆人,fu'weng'he'pu'ren
赶蚊符,gan'wen'fu
高升了,gao'sheng'le
割了牛头砸瓦罐,ge'le'niu'tou'za'wa'guan
给我糊的,gei'wo'hu'de
跟在后面,gen'zai'hou'mian
棺材也要,guan'cai'ye'yao
官买金,guan'mai'jin
管帐先生,guan'zhang'xian'sheng
国王的座位,guo'wang'de'zuo'wei
汗到哪里去了,han'dao'na'li'qu'le
好极啦,hao'ji'la
好学不倦,hao'xue'bu'juan
合伙买靴子,he'huo'mai'xue'zi
和加纳斯尔和可汗,he'jia'na'si'er'he'ke'han
喝名的人,he'ming'de'ren
和强盗讲礼貌,he'qiang'dao'jiang'li'mao
合做酒,he'zuo'jiu
厚脸皮,hou'lian'pi
胡大是放高利贷的,hu'da'shi'fang'gao'li'dai'de
虎皮,hu'pi
糊涂虫,hu'tu'chong
糊涂的县官,hu'tu'de'xian'guan
画饼,hua'bing
画财神像,hua'cai'shen'xiang
划得着,hua'de'zhe
画符,hua'fu
画虎,hua'hu
画匠治病,hua'jiang'zhi'bing
画像,hua'xiang
换班,huan'ban
皇帝的身份,huang'di'de'shen'fen
黄鼠狼,huang'shu'lang
吉利话,ji'li'hua
假行家和全不懂,jia'hang'jia'he'quan'bu'dong
假话,jia'hua
假腿,jia'tui
家信,jia'xin
箭垛子助阵,jian'duo'zi'zhu'zhen
见鸡而作,jian'ji'er'zuo
见面钱,jian'mian'qian
江湖滑稽笑话一卷,jiang'hu'hua'ji'xiao'hua'yi'juan
角者无上齿,jiao'zhe'wu'shang'chi
借锤,jie'chui
借锅,jie'guo
戒指,jie'zhi
金葫芦,jin'hu'lu
金老鼠,jin'lao'shu
金钱和正义,jin'qian'he'zheng'yi
近视眼,jin'shi'yan
精明强悍的随从,jing'ming'qiang'han'de'sui'cong
救火,jiu'huo
锯酒壶,ju'jiu'hu
捐前程,juan'qian'cheng
看镜,kan'jing
看屁股,kan'pi'gu
看戏,kan'xi
看在家兄面上,kan'zai'jia'xiong'mian'shang
糠和马鹿,kang'he'ma'lu
可汗的身价,ke'han'de'shen'jia
空城计,kong'cheng'ji
孔子之后有孔明,kong'zi'zhi'hou'you'kong'ming
哭笑不得,ku'xiao'bu'de
夸女婿,kua'nv'xu
来太早早不来,lai'tai'zao'zao'bu'lai
懒妇,lan'fu
老鼠和猫,lao'shu'he'mao
老爷比狗凶,lao'ye'bi'gou'xiong
两个懒少爷上天,liang'ge'lan'shao'ye'shang'tian
两公婆,liang'gong'po
两条梁,liang'tiao'liang
两头驴的东西,liang'tou'lv'de'dong'xi
两头驴的行囊,liang'tou'lv'de'xing'nang
吝啬的财主,lin'se'de'cai'zhu
吝啬鬼贺寿,lin'se'gui'he'shou
领主挨揍,ling'zhu'ai'zou
柳枝,liu'zhi
六只脚更快,liu'zhi'jiao'geng'kuai
乱用字眼,luan'yong'zi'yan
落地,luo'di
吗咖老爷,ma'ka'lao'ye
卖饼,mai'bing
买点心,mai'dian'xin
买桔子,mai'ju'zi
买年货,mai'nian'huo
卖弄,mai'nong
买一饶一,mai'yi'rao'yi
买鱼放生,mai'yu'fang'sheng
慢性子,man'xing'zi
猫名,mao'ming
猫哪去啦,mao'na'qu'la
没有生胡子的巴彦,mei'you'sheng'hu'zi'de'ba'yan
梦见周公,meng'jian'zhou'gong
米是在树上结的,mi'shi'zai'shu'shang'jie'de
妙处难学,miao'chu'nan'xue
磨刀,mo'dao
木锨,mu'xian
拿毛驴做榜样,na'mao'lv'zuo'bang'yang
难倒窦太师,nan'dao'dou'tai'shi
牛病,niu'bing
牛肚子,niu'du'zi
牛皮,niu'pi
弄巧成拙,nong'qiao'cheng'zhuo
诺彦判案,nuo'yan'pan'an
盘踞牙门,pan'ju'ya'men
判银子,pan'yin'zi
跑掉一笔利息,pao'diao'yi'bi'li'xi
屁股还在,pi'gu'hai'zai
菩萨争肉,pu'sa'zheng'rou
奇怪的故事,qi'guai'de'gu'shi
奇妙的药方,qi'miao'de'yao'fang
七与漆,qi'yu'qi
墙头草,qiang'tou'cao
抢枕头,qiang'zhen'tou
巧媳妇做衣裳,qiao'xi'fu'zuo'yi'shang
巧嘴媳妇,qiao'zui'xi'fu
请大老爷公断,qing'da'lao'ye'gong'duan
请袷袢吃,qing'qia'pan'chi
请先生,qing'xian'sheng
秋蝉,qiu'chan
取名字,qu'ming'zi
犬狗之别,quan'gou'zhi'bie
拳头好,quan'tou'hao
让王爷下轿,rang'wang'ye'xia'jiao
人多的地方不要去,ren'duo'de'di'fang'bu'yao'qu
三个糊涂虫,san'ge'hu'tu'chong
三个女婿对诗,san'ge'nv'xu'dui'shi
三件事,san'jian'shi
三天使道,san'tian'shi'dao
三支神箭,san'zhi'shen'jian
杀鸡取蛋,sha'ji'qu'dan
山官是狗,shan'guan'shi'gou
上边长,shang'bian'chang
上关花,shang'guan'hua
烧茶,shao'cha
剩个穷花子,sheng'ge'qiong'hua'zi
剩那两年靠谁养活,sheng'na'liang'nian'kao'shui'yang'huo
圣贤愁,sheng'xian'chou
实践古人的话,shi'jian'gu'ren'de'hua
拾耧脚,shi'lou'jiao
是哪条毛口袋压死的,shi'na'tiao'mao'kou'dai'ya'si'de
书呆子与花狐狸,shu'dai'zi'yu'hua'hu'li
书是印成的,shu'shi'yin'cheng'de
谁比可汗的力量大,shui'bi'ke'han'de'li'liang'da
睡打官司,shui'da'guan'si
谁要你许他日子,shui'yao'ni'xu'ta'ri'zi
死不瞑目,si'bu'ming'mu
死错了人,si'cuo'le'ren
四个急性人,si'ge'ji'xing'ren
四个铜钱,si'ge'tong'qian
死了也不会往下走,si'le'ye'bu'hui'wang'xia'zou
四骆驼的货,si'luo'tuo'de'huo
送礼,song'li
送寿礼,song'shou'li
算卦,suan'gua
锁着的钱柜,suo'zhe'de'qian'gui
他比你更有理,ta'bi'ni'geng'you'li
太师爷问路,tai'shi'ye'wen'lu
太阳和月亮,tai'yang'he'yue'liang
贪吃的媳妇,tan'chi'de'xi'fu
贪心的头人,tan'xin'de'tou'ren
剃头,ti'tou
天不管,tian'bu'guan
天机不可泄漏,tian'ji'bu'ke'xie'lou
天塌下来的时候,tian'ta'xia'lai'de'shi'hou
铜锅生儿,tong'guo'sheng'er
秃地主,tu'di'zhu
兔汤,tu'tang
推磨,tui'mo
吞只活猫,tun'zhi'huo'mao
挖井,wa'jing
万字,wan'zi
王八崽子,wang'ba'zai'zi
往锅里放盐,wang'guo'li'fang'yan
王老三走路,wang'lao'san'zou'lu
王袍,wang'pao
王三做生意,wang'san'zuo'sheng'yi
望孙子出气,wang'sun'zi'chu'qi
闻锄嘴,wen'chu'zui
我爹生我我生你,wo'die'sheng'wo'wo'sheng'ni
我丢啦,wo'diu'la
我家没得良心,wo'jia'mei'de'liang'xin
我你他,wo'ni'ta
我自己去,wo'zi'ji'qu
吴大舌头看球赛,wu'da'she'tou'kan'qiu'sai
五大天地,wu'da'tian'di
喜话,xi'hua
喜欢逢迎,xi'huan'feng'ying
喜礼,xi'li
戏弄蠢官,xi'nong'chun'guan
洗澡,xi'zao
下刀子,xia'dao'zi
县官的三个仆人,xian'guan'de'san'ge'pu'ren
县官断案,xian'guan'duan'an
县官和狗,xian'guan'he'gou
县官看戏,xian'guan'kan'xi
县太爷挨打,xian'tai'ye'ai'da
小洞变大洞,xiao'dong'bian'da'dong
新官上任,xin'guan'shang'ren
新任县官买月亮,xin'ren'xian'guan'mai'yue'liang
学乖,xue'guai
寻找智慧,xun'zhao'zhi'hui
哑巴说话,ya'ba'shuo'hua
衙役受贿,ya'yi'shou'hui
要菜,yao'cai
一倍和同年,yi'bei'he'tong'nian
一不动二不吃,yi'bu'dong'er'bu'chi
一袋烟的工夫,yi'dai'yan'de'gong'fu
一的妙用,yi'de'miao'yong
一枚铜币,yi'mei'tong'bi
一面镜子,yi'mian'jing'zi
一钱不救,yi'qian'bu'jiu
一千两破题,yi'qian'liang'po'ti
一首打油诗,yi'shou'da'you'shi
有初一没十五,you'chu'yi'mei'shi'wu
又跑回来啦,you'pao'hui'lai'la
有天无日,you'tian'wu'ri
鱼头鱼尾,yu'tou'yu'wei
跃也非跳也,yue'ye'fei'tiao'ye
再大便一次,zai'da'bian'yi'ci
糟饼,zao'bing
站在桌上吃,zhan'zai'zhuo'shang'chi
赵土豪的下场,zhao'tu'hao'de'xia'chang
哲蚌喇嘛,zhe'bang'la'ma
这路走哪里去,zhe'lu'zou'na'li'qu
真本事,zhen'ben'shi
针尖和麦芒,zhen'jian'he'mai'mang
争雁,zheng'yan
只差一件小事,zhi'cha'yi'jian'xiao'shi
只吃米饭的狗,zhi'chi'mi'fan'de'gou
致富奇书,zhi'fu'qi'shu
智慧囊,zhi'hui'nang
只看见钱,zhi'kan'jian'qian
至理名言,zhi'li'ming'yan
只凭散篮,zhi'ping'san'lan
只有说谎了,zhi'you'shuo'huang'le
种金子,zhong'jin'zi
种毛驴,zhong'mao'lv
住店吃肉,zhu'dian'chi'rou
朱老爷,zhu'lao'ye
煮竹篓,zhu'zhu'lou
捉虱子,zhuo'shi'zi
自食其果,zi'shi'qi'guo
自圆其说,zi'yuan'qi'shuo
租牛,zu'niu
钻和刺,zuan'he'ci
作诗欠打,zuo'shi'qian'da
作文章和生崽子,zuo'wen'zhang'he'sheng'zai'zi
