帮扎,bang'zha
帮扎钢筋,bang'zha'gang'jin
包箍,bao'gu
泵站,beng'zhan
泵座,beng'zuo
边墩,bian'dun
丙烯酸,bing'xi'suan
丙烯酸涂料,bing'xi'suan'tu'liao
玻璃幕墙,bo'li'mu'qiang
草袋,cao'dai
承插管,cheng'cha'guan
除锈,chu'xiu
穿墙管,chuan'qiang'guan
次坚石,ci'jian'shi
粗料石,cu'liao'shi
挡土墙,dang'tu'qiang
倒虹吸,dao'hong'xi
倒运,dao'yun
底板,di'ban
垫板,dian'ban
垫层,dian'ceng
电动蝶阀,dian'dong'die'fa
电动葫芦,dian'dong'hu'lu
电动启闭机,dian'dong'qi'bi'ji
吊车,diao'che
调水,diao'shui
蝶阀,die'fa
陡坡,dou'po
墩帽,dun'mao
多级泵,duo'ji'beng
反滤层,fan'lv'ceng
方块石,fang'kuai'shi
粉刷涂料,fen'shua'tu'liao
盖板,gai'ban
钢管脚手架,gang'guan'jiao'shou'jia
钢筋混凝土管,gang'jin'hun'ning'tu'guan
钢筒混凝土管,gang'tong'hun'ning'tu'guan
沟槽,gou'cao
勾缝,gou'feng
管件,guan'jian
灌注桩,guan'zhu'zhuang
海漫,hai'man
夯实,hang'shi
护坡,hu'po
黄砂,huang'sha
回填,hui'tian
混凝土管,hun'ning'tu'guan
基础,ji'chu
检查井,jian'cha'jing
建管科,jian'guan'ke
坚石,jian'shi
浆砌,jiang'qi
浆砌砖,jiang'qi'zhuan
脚手架,jiao'shou'jia
井盖,jing'gai
井座,jing'zuo
开挖,kai'wa
块石,kuai'shi
拦污栅,lan'wu'shan
离心泵,li'xin'beng
临时房屋建筑工程,lin'shi'fang'wu'jian'zhu'gong'cheng
路沿石,lu'yan'shi
螺杆启闭机,luo'gan'qi'bi'ji
螺杆式闸阀,luo'gan'shi'zha'fa
履带,lv'dai
履带式拖拉机,lv'dai'shi'tuo'la'ji
锚固,mao'gu
锚固螺栓,mao'gu'luo'shuan
抹面,mo'mian
幕墙,mu'qiang
木制脚手架,mu'zhi'jiao'shou'jia
碾压,nian'ya
爬梯,pa'ti
排气井,pai'qi'jing
排气孔,pai'qi'kong
排水孔,pai'shui'kong
膨胀水泥,peng'zhang'shui'ni
破碎机,po'sui'ji
铺盖,pu'gai
普坚石,pu'jian'shi
启闭机,qi'bi'ji
启闭机梁,qi'bi'ji'liang
汽吊,qi'diao
前池,qian'chi
潜水泵,qian'shui'beng
桥墩,qiao'dun
桥台,qiao'tai
桥柱,qiao'zhu
桥桩,qiao'zhuang
清坡,qing'po
青铅,qing'qian
青铅接口,qing'qian'jie'kou
清水井,qing'shui'jing
球磨,qiu'mo
球墨铸铁管,qiu'mo'zhu'tie'guan
三毡四油,san'zhan'si'you
砂浆,sha'jiang
伸缩缝,shen'suo'feng
伸缩器,shen'suo'qi
手动蝶阀,shou'dong'die'fa
手动葫芦,shou'dong'hu'lu
水泥砂浆,shui'ni'sha'jiang
松石,song'shi
塑料薄膜,su'liao'bao'mo
碎石,sui'shi
台班,tai'ban
台日,tai'ri
抬运,tai'yun
套袖,tao'xiu
特坚石,te'jian'shi
天棚,tian'peng
土工布,tu'gong'bu
土石方,tu'shi'fang
蛙式打夯及,wa'shi'da'hang'ji
挖装,wa'zhuang
弯头,wan'tou
围堰,wei'yan
污水泵,wu'shui'beng
污水井,wu'shui'jing
细砂,xi'sha
橡胶坝,xiang'jiao'ba
橡胶坝袋,xiang'jiao'ba'dai
橡胶垫,xiang'jiao'dian
镶面,xiang'mian
消力池,xiao'li'chi
泄水井,xie'shui'jing
行车,xing'che
压顶,ya'ding
液压,ye'ya
液压锤,ye'ya'chui
液压止回阀,ye'ya'zhi'hui'fa
溢流堰,yi'liu'yan
油毡,you'zhan
预插管,yu'cha'guan
预应力,yu'ying'li
预应力钢筋混凝土,yu'ying'li'gang'jin'hun'ning'tu
预应力钢筋混凝土管,yu'ying'li'gang'jin'hun'ning'tu'guan
闸底板,zha'di'ban
闸墩,zha'dun
闸孔,zha'kong
闸门,zha'men
闸门槽,zha'men'cao
闸室,zha'shi
止回阀,zhi'hui'fa
止水,zhi'shui
止水槽,zhi'shui'cao
止水带,zhi'shui'dai
中墩,zhong'dun
中砂,zhong'sha
轴流泵,zhou'liu'beng
主阀井,zhu'fa'jing
自卸汽车,zi'xie'qi'che
钻孔,zuan'kong
