啊哑夺着死猫,a'ya'duo'zhe'si'mao
爱这,ai'zhe
安居工程,an'ju'gong'cheng
奥马眼镜,ao'ma'yan'jing
澳头,ao'tou
澳头村,ao'tou'cun
白白下,bai'bai'xia
百花路,bai'hua'lu
百花路口,bai'hua'lu'kou
百乐,bai'le
百载网吧,bai'zai'wang'ba
北大附中,bei'da'fu'zhong
北墩,bei'dun
北郊公园,bei'jiao'gong'yuan
北山湾泳场,bei'shan'wan'yong'chang
奔你约,ben'ni'yue
碧霞庄南,bi'xia'zhuang'nan
滨河路口,bin'he'lu'kou
病症仔,bing'zheng'zi
搏扑克,bo'pu'ke
搏钱,bo'qian
参详,can'xiang
草鱼粥,cao'yu'zhou
查啊你腊腊,cha'a'ni'la'la
柴浪,chai'lang
长城招待所,chang'cheng'zhao'dai'suo
长春路,chang'chun'lu
长江路东,chang'jiang'lu'dong
长江路西,chang'jiang'lu'xi
长江路中,chang'jiang'lu'zhong
长平路西,chang'ping'lu'xi
长平路中,chang'ping'lu'zhong
长荣路口,chang'rong'lu'kou
潮安汽车站,chao'an'qi'che'zhan
炒糕粿,chao'gao'guo
潮南,chao'nan
潮汕,chao'shan
潮汕歌曲,chao'shan'ge'qu
潮汕客运站,chao'shan'ke'yun'zhan
潮汕路客运站,chao'shan'lu'ke'yun'zhan
潮语,chao'yu
潮语歌曲,chao'yu'ge'qu
陈慈黉故居,chen'ci'hong'gu'ju
陈厝合,chen'cuo'he
陈店,chen'dian
陈四文,chen'si'wen
澄海路,cheng'hai'lu
澄海汽车总站,cheng'hai'qi'che'zong'zhan
澄海外砂镇,cheng'hai'wai'sha'zhen
澄江路口,cheng'jiang'lu'kou
程洋岗,cheng'yang'gang
痴哥,chi'ge
痴哥兄,chi'ge'xiong
赤窖,chi'jiao
臭际,chou'ji
抽歇未,chou'xie'wei
触牛肉,chu'niu'rou
出日,chu'ri
吹吕,chui'lv
春梅里,chun'mei'li
春源工业村,chun'yuan'gong'ye'cun
春泽园,chun'ze'yuan
刺流,ci'liu
刺噗,ci'pu
刺噗老爷,ci'pu'lao'ye
达部,da'bu
大场天港,da'chang'tian'gang
