凹模套,ao'mo'tao
背沉深,bei'chen'shen
背面,bei'mian
沉头,chen'tou
沉头孔,chen'tou'kong
冲头,chong'tou
穿丝孔,chuan'si'kong
此边研磨作线割基准,ci'bian'yan'mo'zuo'xian'ge'ji'zhun
氮气弹簧,dan'qi'tan'huang
点焊挂台,dian'han'gua'tai
定位板,ding'wei'ban
放电加工,fang'dian'jia'gong
改模,gai'mo
基准铰,ji'zhun'jiao
螺丝过孔,luo'si'guo'kong
螺丝孔,luo'si'kong
盲孔螺纹,mang'kong'luo'wen
热处理前预铣通,re'chu'li'qian'yu'xi'tong
斜楔,xie'xie
新制,xin'zhi
修割,xiu'ge
研磨,yan'mo
依红线实数线割,yi'hong'xian'shi'shu'xian'ge
正沉深,zheng'chen'shen
正面,zheng'mian
正面放电深,zheng'mian'fang'dian'shen
正面铣深,zheng'mian'xi'shen
正钻深,zheng'zuan'shen
