安全教育学校,an'quan'jiao'yu'xue'xiao
奥林匹克花园,ao'lin'pi'ke'hua'yuan
奥森环境公司,ao'sen'huan'jing'gong'si
奥体中心,ao'ti'zhong'xin
八棵树,ba'ke'shu
八棵树驾驶人考试中心,ba'ke'shu'jia'shi'ren'kao'shi'zhong'xin
八棵树驾校,ba'ke'shu'jia'xiao
八棵树检车线,ba'ke'shu'jian'che'xian
八棵树考场,ba'ke'shu'kao'chang
八里堡,ba'li'bao
八里堡小学,ba'li'bao'xiao'xue
巴黎香榭,ba'li'xiang'xie
八王寺,ba'wang'si
八纬路,ba'wei'lu
八一仓库,ba'yi'cang'ku
八一公园,ba'yi'gong'yuan
八一公园西门,ba'yi'gong'yuan'xi'men
八院,ba'yuan
百花山路,bai'hua'shan'lu
百花小区,bai'hua'xiao'qu
白家,bai'jia
百脑汇,bai'nao'hui
百鸟公园,bai'niao'gong'yuan
白清,bai'qing
白山路,bai'shan'lu
白山路五彩新村,bai'shan'lu'wu'cai'xin'cun
白塔工业园,bai'ta'gong'ye'yuan
白塔路,bai'ta'lu
白塔市场,bai'ta'shi'chang
白辛台,bai'xin'tai
班家寨,ban'jia'zhai
邦士台,bang'shi'tai
薄板厂,bao'ban'chang
保工北街,bao'gong'bei'jie
保工北街北二中路,bao'gong'bei'jie'bei'er'zhong'lu
保工街,bao'gong'jie
保工街南六中路,bao'gong'jie'nan'liu'zhong'lu
保工街南七中路,bao'gong'jie'nan'qi'zhong'lu
保工南街,bao'gong'nan'jie
保和,bao'he
鲍家,bao'jia
保利海棠花园,bao'li'hai'tang'hua'yuan
保利花园,bao'li'hua'yuan
保利上林湾,bao'li'shang'lin'wan
宝盛花园,bao'sheng'hua'yuan
报业印务中心,bao'ye'yin'wu'zhong'xin
北大营,bei'da'ying
北二马路,bei'er'ma'lu
北方航空城万豪,bei'fang'hang'kong'cheng'wan'hao
北方客运公司,bei'fang'ke'yun'gong'si
北方石油,bei'fang'shi'you
北方医院,bei'fang'yi'yuan
北方制药厂,bei'fang'zhi'yao'chang
北海街,bei'hai'jie
北滑翔路,bei'hua'xiang'lu
北京街,bei'jing'jie
北九路,bei'jiu'lu
北李官,bei'li'guan
北陵电影院,bei'ling'dian'ying'yuan
北陵东门,bei'ling'dong'men
北陵公园,bei'ling'gong'yuan
北陵开发区,bei'ling'kai'fa'qu
北陵西门,bei'ling'xi'men
北刘家,bei'liu'jia
北六马路,bei'liu'ma'lu
北启工街,bei'qi'gong'jie
北启工街北一西路,bei'qi'gong'jie'bei'yi'xi'lu
北三东路,bei'san'dong'lu
北三经街,bei'san'jing'jie
北三路,bei'san'lu
北三台子,bei'san'tai'zi
北三西路,bei'san'xi'lu
北市百货大楼,bei'shi'bai'huo'da'lou
北市场,bei'shi'chang
北市场西,bei'shi'chang'xi
北市场西口,bei'shi'chang'xi'kou
北四东路,bei'si'dong'lu
北四西路,bei'si'xi'lu
北塔,bei'ta
北五马路,bei'wu'ma'lu
北行,bei'xing
